[2026-09-02T12:58:58.347Z] GET https://vercel.com/login → 200 (279ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/media/797e433ab948586e.p.1v5bejj26fx9h.woff2 → pending (?ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/media/Geist_Variable-s.p.2v-cf9syxr5ni.woff2 → pending (?ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/chunks/09b7duyzy2iy0.css → pending (?ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/chunks/2g2ilz99nicpn.css → pending (?ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/chunks/3-qb-ev6vlqj7.css → pending (?ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/chunks/0d1ylwbsfvw34.css → pending (?ms, ?B)
[2026-09-02T12:58:58.667Z] GET https://vercel.com/_next/static/immutable/chunks/0aumur8n2fp9i.css → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/16pihbfozsy1r.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/0gkqer3o6_q53.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/2ofc2wu54zqs5.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/09bognj3n0dzk.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/0dywe_av5ahyp.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/turbopack-39jhl194si51o.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/1ghl9030pk7z4.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/2_5ijns-kh-p_.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/1w1609r-r8kff.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/4537enm2dilf3.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/1j8i0k_22fxel.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/232qzp3qy0bg2.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/04dvo0vl-kkp7.js → pending (?ms, ?B)
[2026-09-02T12:58:58.668Z] GET https://vercel.com/_next/static/immutable/chunks/31czi5jev656m.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/0-cuqjr_qip93.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/1c_pb9t69gdyi.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/2k41i9-2rtbll.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/0fuj49c3r917c.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3_wwk6xcw86de.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/351t4f4jr2fjt.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/0dicr_a6c53ew.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/0h3usadhjaiwk.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/444vie017ums5.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3q08q1lb82g90.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/18g1ndds6zbos.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3jm6q31_koox1.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/2ciwgzn5-o1t9.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/42m2cfg5ot1v4.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3tof1cg4uumvd.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3a9ya26s-qzd1.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/2wfzna5t8z39c.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/0t6pawz872gew.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3lithfpepcakb.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/3ojvw07r2unpo.js → pending (?ms, ?B)
[2026-09-02T12:58:58.669Z] GET https://vercel.com/_next/static/immutable/chunks/1dkp8n54pkk1x.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3izttin3pk8vx.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/2u3r97zvy3v66.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3vc4fyukjntiz.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/0khuw3y_0i2rm.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/0v-l-qe926kjb.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/30v1voau9cngx.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3mb09cl9pq72_.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3x3bbyivzzlgc.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/0106q7biw-fzn.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/1qpu05wpeajm2.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/443eh85mmmbfj.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/23cuksrzu15wh.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/1wfj6new5zqek.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/2o02vb8hh3aji.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3o7hfg6m0bcce.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/1xbf45-j54xje.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/2j6hz_ho_ew3v.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3k8p27zgcqvpx.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/29yfn1k5fk9d1.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/41l85_wto73yx.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/28ea83c4glnnj.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/0el2njxh64qi4.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/0ilpoycmudd4j.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/3r3pa4zknsbgi.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/1su1dgp7lpbw3.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/0te8_8m4posfd.js → pending (?ms, ?B)
[2026-09-02T12:58:58.670Z] GET https://vercel.com/_next/static/immutable/chunks/35t_33bvlbwnf.js → pending (?ms, ?B)
