COMPANY_SCHEMA	AS_OF	CATEGORY	CATEGORY_KIND	IS_CASH_AND_BANK	GL_ACCT_CODE	GL_DRAWER	GL_ACCT_LABEL_MASKED	BANK_CODE	BANK_NAME	BANK_NAME_SOURCE	BRANCH	IS_HOUSE_BANK	HOUSE_BANK_AGREES	ACCT_NO_MASKED	ACCT_NO_SOURCE	ACCT_NO_NDIGITS	BALANCE_L	CURRTOTAL_TODAY_L	BALANCE_SIGN	FUNDS_AVAILABLE_L	AMOUNT_DRAWN_L	OVERDRAWN_FLAG	EST_ANNUAL_INTEREST_L	RECEIPTS_IN_12M_L	PAYMENTS_OUT_12M_L	NET_12M_L	AVG_MONTHLY_OUT_L	CANCELLED_GROSS_12M_L	INTERCO_IN_12M_L	INTERCO_OUT_12M_L	N_LINES_12M	ACTIVE_MONTHS_12M	MANUAL_JE_LINE_PCT_12M	FIRST_MOVE_DATE	LAST_MOVE_DATE	DAYS_SINCE_LAST_MOVE	DORMANT_90D_FLAG	NEVER_USED_FLAG	BOOK_OPENING_DATE	OPENING_BAL_L	MONTHLY_IN_L_SERIES	MONTHLY_OUT_L_SERIES	MONTHLY_NET_L_SERIES	TOT_CASH_AND_BANK_L	TOT_BANK_CURRENT_L	TOT_CASH_IN_HAND_L	TOT_WALLET_L	TOT_CC_OD_NET_L	TOT_FIXED_DEPOSIT_L	TOT_BORROWINGS_L
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104106	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx7887	GL_ACCT_NAME	10	35.58	35.58	DEBIT	35.58	0	N	0	1050.89	1019.08	31.8	84.92	183.84	40.45	0	1651	12	1.8	2024-10-01	2026-08-22	0	N	N	2024-09-30	0	2025-09=60.04;2025-10=49.87;2025-11=90.59;2025-12=86.36;2026-01=35.88;2026-02=23.58;2026-03=122.52;2026-04=282.47;2026-05=65.35;2026-06=48.79;2026-07=135.11;2026-08=50.35	2025-09=59.01;2025-10=47.00;2025-11=80.44;2025-12=81.00;2026-01=50.00;2026-02=22.38;2026-03=121.60;2026-04=274.94;2026-05=12.53;2026-06=75.20;2026-07=144.98;2026-08=50.00	2025-09=1.03;2025-10=2.86;2025-11=10.15;2025-12=5.36;2026-01=-14.12;2026-02=1.20;2026-03=0.91;2026-04=7.53;2026-05=52.82;2026-06=-26.41;2026-07=-9.87;2026-08=0.35	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104107	BANK ACCOUNTS	ICICI BANK- xxxxxxxxxxxx	ICICI	ICICI BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2545	GL_ACCT_NAME	12	6.93	6.93	DEBIT	6.93	0	N	0	870.75	865.71	5.04	72.14	100.13	0	0	842	12	0.7	2025-02-01	2026-08-22	0	N	N	2024-09-30	0	2025-09=100.83;2025-10=102.36;2025-11=86.26;2025-12=57.92;2026-01=31.84;2026-02=41.70;2026-03=25.19;2026-04=35.49;2026-05=98.92;2026-06=114.49;2026-07=85.02;2026-08=90.73	2025-09=101.78;2025-10=96.51;2025-11=90.39;2025-12=57.13;2026-01=34.15;2026-02=38.78;2026-03=0.00;2026-04=0.35;2026-05=146.54;2026-06=124.11;2026-07=80.99;2026-08=94.97	2025-09=-0.95;2025-10=5.84;2025-11=-4.13;2025-12=0.78;2026-01=-2.31;2026-02=2.91;2026-03=25.19;2026-04=35.14;2026-05=-47.62;2026-06=-9.62;2026-07=4.03;2026-08=-4.23	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104101	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx6254	GL_ACCT_NAME	10	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104102	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	Y	MISMATCH	xxxx2016	GL_ACCT_NAME	10	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104103	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx0859	GL_ACCT_NAME	10	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104104	BANK ACCOUNTS	ICICI BANK-xxxxxxxxxxxx	ICICI	ICICI BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2322	GL_ACCT_NAME	12	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104105	BANK ACCOUNTS	ICICI BANK - xxxxxxxxxxxx	ICICI	ICICI BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2195	GL_ACCT_NAME	12	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104108	BANK ACCOUNTS	HSBC BANK A/C- xxx-xxxxxx-xxx (USD)	HSBC	HONG KONG AND SHANGAI BANKING COOPERATION	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx1511	GL_ACCT_NAME	12	0	0	NIL	0	0	N	0	13.5	13.5	0	13.5	0	0	0	2	1	50.0	2026-02-03	2026-02-05	198	Y	N	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=13.50;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=13.50;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	PAYMENT_WALLET	BANK	Y	1104201	PAYMENT BANK ONLINE	PAYTM BANK	NULL	PAYTM BANK	GL_ACCT_NAME	NULL	N	NO_HOUSE_BANK_ROW	NULL	NONE	0	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
JIVO_BEVERAGES_HANADB	2026-08-22	PAYMENT_WALLET	BANK	Y	1104202	PAYMENT BANK ONLINE	RAZORPAY BANK	NULL	RAZORPAY BANK	GL_ACCT_NAME	NULL	N	NO_HOUSE_BANK_ROW	NULL	NONE	0	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	44.83	42.51	2.32	0	0	1.08	0
