COMPANY_SCHEMA	AS_OF	CATEGORY	CATEGORY_KIND	IS_CASH_AND_BANK	GL_ACCT_CODE	GL_DRAWER	GL_ACCT_LABEL_MASKED	BANK_CODE	BANK_NAME	BANK_NAME_SOURCE	BRANCH	IS_HOUSE_BANK	HOUSE_BANK_AGREES	ACCT_NO_MASKED	ACCT_NO_SOURCE	ACCT_NO_NDIGITS	BALANCE_L	CURRTOTAL_TODAY_L	BALANCE_SIGN	FUNDS_AVAILABLE_L	AMOUNT_DRAWN_L	OVERDRAWN_FLAG	EST_ANNUAL_INTEREST_L	RECEIPTS_IN_12M_L	PAYMENTS_OUT_12M_L	NET_12M_L	AVG_MONTHLY_OUT_L	CANCELLED_GROSS_12M_L	INTERCO_IN_12M_L	INTERCO_OUT_12M_L	N_LINES_12M	ACTIVE_MONTHS_12M	MANUAL_JE_LINE_PCT_12M	FIRST_MOVE_DATE	LAST_MOVE_DATE	DAYS_SINCE_LAST_MOVE	DORMANT_90D_FLAG	NEVER_USED_FLAG	BOOK_OPENING_DATE	OPENING_BAL_L	MONTHLY_IN_L_SERIES	MONTHLY_OUT_L_SERIES	MONTHLY_NET_L_SERIES	TOT_CASH_AND_BANK_L	TOT_BANK_CURRENT_L	TOT_CASH_IN_HAND_L	TOT_WALLET_L	TOT_CC_OD_NET_L	TOT_FIXED_DEPOSIT_L	TOT_BORROWINGS_L
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104112	BANK ACCOUNTS	HSBC BANK - xxxxxxxxxxxx	HSBC	HONG KONG AND SHANGAI BANKING COOPERATION	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx6001	GL_ACCT_NAME	12	93.57	93.57	DEBIT	93.57	0	N	0	6137.33	6055.56	81.77	865.08	258.38	0	6035.56	411	7	0.2	2025-05-08	2026-08-22	0	N	N	2024-12-31	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=144.82;2026-03=821.04;2026-04=657.47;2026-05=1435.95;2026-06=785.26;2026-07=1141.95;2026-08=1150.85	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=139.00;2026-03=838.00;2026-04=547.00;2026-05=1380.00;2026-06=797.00;2026-07=1196.28;2026-08=1158.28	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=5.82;2026-03=-16.96;2026-04=110.47;2026-05=55.95;2026-06=-11.74;2026-07=-54.33;2026-08=-7.43	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104108	BANK ACCOUNTS	ICICI BANK xxxxxxxxxxxx	ICICI	ICICI BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2079	GL_ACCT_NAME	12	-2.17	-2.17	CREDIT	0	2.17	Y	0	12260.01	12271.2	-11.2	1022.6	4513.08	15	10558	3375	12	0.1	2024-12-31	2026-08-22	0	N	N	2024-12-31	80.03	2025-09=1498.92;2025-10=1381.68;2025-11=899.71;2025-12=1560.86;2026-01=1283.50;2026-02=1001.68;2026-03=937.21;2026-04=616.54;2026-05=668.77;2026-06=963.93;2026-07=879.27;2026-08=567.94	2025-09=1325.56;2025-10=1544.81;2025-11=852.98;2025-12=1451.51;2026-01=1396.21;2026-02=1047.56;2026-03=936.48;2026-04=617.09;2026-05=467.55;2026-06=1153.43;2026-07=903.40;2026-08=574.62	2025-09=173.36;2025-10=-163.13;2025-11=46.73;2025-12=109.35;2026-01=-112.70;2026-02=-45.88;2026-03=0.73;2026-04=-0.56;2026-05=201.22;2026-06=-189.50;2026-07=-24.13;2026-08=-6.68	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104111	BANK ACCOUNTS	ICICI BANK - xxxxxxxxxxxx	ICICI	ICICI BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2589	GL_ACCT_NAME	12	1.89	1.89	DEBIT	1.89	0	N	0	145.7	145.72	-0.02	12.14	64.32	0	0	197	12	0.0	2025-04-10	2026-08-13	9	N	N	2024-12-31	0	2025-09=13.00;2025-10=15.00;2025-11=13.00;2025-12=20.00;2026-01=10.00;2026-02=30.00;2026-03=1.70;2026-04=20.00;2026-05=15.00;2026-06=0.00;2026-07=0.00;2026-08=8.00	2025-09=13.50;2025-10=13.99;2025-11=14.29;2025-12=12.74;2026-01=13.80;2026-02=14.18;2026-03=18.52;2026-04=14.33;2026-05=9.42;2026-06=0.72;2026-07=11.23;2026-08=8.99	2025-09=-0.50;2025-10=1.01;2025-11=-1.29;2025-12=7.26;2026-01=-3.80;2026-02=15.82;2026-03=-16.82;2026-04=5.67;2026-05=5.58;2026-06=-0.72;2026-07=-11.23;2026-08=-0.99	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104109	BANK ACCOUNTS	HDFC BANK - xxxxxxxxxxxxxx	HDFC	HDFC BANK LIMITED	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx0799	GL_ACCT_NAME	14	1.42	1.42	DEBIT	1.42	0	N	0	1.07	0.04	1.03	0.01	0.1	0	0	5	3	0.0	2024-12-31	2026-04-29	115	Y	N	2024-12-31	0.16	2025-09=0.00;2025-10=1.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.07;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.01;2025-10=0.04;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=-0.01;2025-10=0.96;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.07;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104113	BANK ACCOUNTS	HDFC BANK - xxxxxxxxxxxxxx	HDFC	HDFC BANK LIMITED	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx8016	GL_ACCT_NAME	14	1.23	1.23	DEBIT	1.23	0	N	0	244	248.5	-4.5	20.71	81.94	0	0	102	12	0.0	2025-04-01	2026-08-12	10	N	N	2024-12-31	0	2025-09=30.00;2025-10=25.00;2025-11=10.00;2025-12=14.00;2026-01=23.00;2026-02=15.00;2026-03=22.00;2026-04=15.00;2026-05=29.00;2026-06=20.00;2026-07=27.00;2026-08=14.00	2025-09=30.00;2025-10=25.00;2025-11=10.00;2025-12=18.00;2026-01=22.50;2026-02=20.50;2026-03=17.00;2026-04=15.00;2026-05=27.50;2026-06=20.00;2026-07=27.00;2026-08=16.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=-4.00;2026-01=0.50;2026-02=-5.50;2026-03=5.00;2026-04=0.00;2026-05=1.50;2026-06=0.00;2026-07=0.00;2026-08=-2.00	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104110	BANK ACCOUNTS	INDIAN OVERSEAS BANK - xxxxxxxxxxxxxxx	IOB	INDIAN OVERSEAS BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx8793	GL_ACCT_NAME	15	0.02	0.02	DEBIT	0.02	0	N	0	0.01	2.88	-2.88	0.72	0	0	0	4	4	0.0	2024-12-31	2026-08-04	18	N	N	2024-12-31	2.98	2025-09=0.00;2025-10=0.00;2025-11=0.01;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.01;2025-11=0.00;2025-12=0.00;2026-01=0.01;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=2.86	2025-09=0.00;2025-10=-0.01;2025-11=0.01;2025-12=0.00;2026-01=-0.01;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=-2.86	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104101	BANK ACCOUNTS	HDFC BANK LTD. xxxxxxxxxxxxxx	HDFC	HDFC BANK LIMITED	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx0316	GL_ACCT_NAME	14	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-12-31	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104102	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx6254	GL_ACCT_NAME	10	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-12-31	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104103	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2016	GL_ACCT_NAME	10	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-12-31	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	95.23	95.96	0	-0.73	0	0	0
JIVO_MART_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104104	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx0859	GL_ACCT_NAME	10	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-12-31	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	95.23	95.96	0	-0.73	0	0	0
