COMPANY_SCHEMA	AS_OF	CATEGORY	CATEGORY_KIND	IS_CASH_AND_BANK	GL_ACCT_CODE	GL_DRAWER	GL_ACCT_LABEL_MASKED	BANK_CODE	BANK_NAME	BANK_NAME_SOURCE	BRANCH	IS_HOUSE_BANK	HOUSE_BANK_AGREES	ACCT_NO_MASKED	ACCT_NO_SOURCE	ACCT_NO_NDIGITS	BALANCE_L	CURRTOTAL_TODAY_L	BALANCE_SIGN	FUNDS_AVAILABLE_L	AMOUNT_DRAWN_L	OVERDRAWN_FLAG	EST_ANNUAL_INTEREST_L	RECEIPTS_IN_12M_L	PAYMENTS_OUT_12M_L	NET_12M_L	AVG_MONTHLY_OUT_L	CANCELLED_GROSS_12M_L	INTERCO_IN_12M_L	INTERCO_OUT_12M_L	N_LINES_12M	ACTIVE_MONTHS_12M	MANUAL_JE_LINE_PCT_12M	FIRST_MOVE_DATE	LAST_MOVE_DATE	DAYS_SINCE_LAST_MOVE	DORMANT_90D_FLAG	NEVER_USED_FLAG	BOOK_OPENING_DATE	OPENING_BAL_L	MONTHLY_IN_L_SERIES	MONTHLY_OUT_L_SERIES	MONTHLY_NET_L_SERIES	TOT_CASH_AND_BANK_L	TOT_BANK_CURRENT_L	TOT_CASH_IN_HAND_L	TOT_WALLET_L	TOT_CC_OD_NET_L	TOT_FIXED_DEPOSIT_L	TOT_BORROWINGS_L
JIVO_OIL_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104104	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	SONEPAT	Y	AGREE	xxxx0859	DSC1_HOUSE_BANK	10	4.18	4.18	DEBIT	4.18	0	N	0	1214.95	1211.97	2.98	101	169.53	0	0	1053	12	7.1	2024-09-30	2026-08-20	2	N	N	2024-09-30	1.93	2025-09=1.14;2025-10=3.16;2025-11=4.39;2025-12=3.06;2026-01=1.07;2026-02=255.99;2026-03=568.39;2026-04=328.36;2026-05=2.72;2026-06=2.70;2026-07=42.32;2026-08=1.65	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=10.00;2026-02=256.85;2026-03=569.65;2026-04=326.79;2026-05=0.00;2026-06=0.28;2026-07=48.41;2026-08=0.00	2025-09=1.14;2025-10=3.16;2025-11=4.39;2025-12=3.06;2026-01=-8.93;2026-02=-0.85;2026-03=-1.26;2026-04=1.58;2026-05=2.72;2026-06=2.42;2026-07=-6.10;2026-08=1.65	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104101	BANK ACCOUNTS	HDFC BANK LTD. xxxxxxxxxxxxxx	HDFC	HDFC BANK LIMITED	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx0316	GL_ACCT_NAME	14	0.68	0.68	DEBIT	0.68	0	N	0	0	0	0	0	0	0	0	0	0	NULL	2024-09-30	2024-09-30	691	Y	N	2024-09-30	0.68	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104102	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	SONEPAT	Y	AGREE	xxxx6254	DSC1_HOUSE_BANK	10	0.4	0.4	DEBIT	0.4	0	N	0	332.65	332.5	0.15	110.83	20.58	0	0	12	3	0.0	2024-09-30	2026-02-23	180	Y	N	2024-09-30	0	2025-09=332.50;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.15;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=332.50;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.15;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104103	BANK ACCOUNTS	INDIAN BANK-xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2016	GL_ACCT_NAME	10	0.26	0.26	DEBIT	0.26	0	N	0	0	0	0	0	0	0	0	0	0	NULL	2024-09-30	2025-03-25	515	Y	N	2024-09-30	0.03	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104105	BANK ACCOUNTS	PUNJAB & SIND BANK TPT - xxxx	NULL	PUNJAB & SIND BANK TPT	GL_ACCT_NAME	NULL	N	NO_HOUSE_BANK_ROW	xxxx9070	GL_ACCT_NAME	4	0	0	NIL	0	0	N	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	Y	Y	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CURRENT_ACCOUNT	BANK	Y	1104109	BANK ACCOUNTS	HSBC BANK A/C- xxx-xxxxxx-xxx (USD)	HSBC	HONG KONG AND SHANGAI BANKING COOPERATION	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx1511	GL_ACCT_NAME	12	0	0	NIL	0	0	N	0	13.5	13.5	0	13.5	0	0	0	2	1	50.0	2026-02-05	2026-02-05	198	Y	N	2024-09-30	0	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=13.50;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=13.50;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=0.00;2026-05=0.00;2026-06=0.00;2026-07=0.00;2026-08=0.00	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CASH_CREDIT_OD	BANK	Y	2201101	BANK CASH CREDIT LOAN	INDIAN BANK CC A/C xxxxxxxxxx	INB	INDIAN BANK	ODSC_MASTER	SONEPAT	Y	AGREE	xxxx0527	DSC1_HOUSE_BANK	10	-3087.99	-3087.99	CREDIT	0	3087.99	N	261.55	34533.65	34310.48	223.17	2859.21	5974.98	779	0	3941	12	0.9	2024-09-30	2026-08-22	0	N	N	2024-09-30	-3426.82	2025-09=4496.62;2025-10=2794.80;2025-11=1565.71;2025-12=2495.97;2026-01=3716.44;2026-02=2352.97;2026-03=3146.36;2026-04=1694.61;2026-05=2812.50;2026-06=4094.17;2026-07=4097.69;2026-08=1265.81	2025-09=4468.41;2025-10=2271.79;2025-11=2151.40;2025-12=2537.67;2026-01=3786.49;2026-02=1945.21;2026-03=3499.39;2026-04=1239.45;2026-05=2538.91;2026-06=4449.05;2026-07=3320.93;2026-08=2101.78	2025-09=28.21;2025-10=523.01;2025-11=-585.69;2025-12=-41.70;2026-01=-70.05;2026-02=407.76;2026-03=-353.03;2026-04=455.16;2026-05=273.59;2026-06=-354.88;2026-07=776.76;2026-08=-835.97	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CASH_CREDIT_OD	BANK	Y	2201106	BANK CASH CREDIT LOAN	TRADEPAY HSBC-xxxxx	HSBC	HONG KONG AND SHANGAI BANKING COOPERATION	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx1001	GL_ACCT_NAME	5	-2089.37	-2089.37	CREDIT	0	2089.37	N	176.97	3856.72	4644.79	-788.07	516.09	790.67	0	0	123	9	13.8	2025-07-01	2026-08-13	9	N	N	2024-09-30	0	2025-09=231.76;2025-10=443.19;2025-11=626.35;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=0.00;2026-04=57.90;2026-05=122.17;2026-06=386.72;2026-07=1284.59;2026-08=704.04	2025-09=0.00;2025-10=0.00;2025-11=0.00;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=386.72;2026-04=1148.55;2026-05=631.93;2026-06=104.71;2026-07=1577.28;2026-08=795.59	2025-09=231.76;2025-10=443.19;2025-11=626.35;2025-12=0.00;2026-01=0.00;2026-02=0.00;2026-03=-386.72;2026-04=-1090.65;2026-05=-509.76;2026-06=282.01;2026-07=-292.69;2026-08=-91.55	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CASH_CREDIT_OD	BANK	Y	2201105	BANK CASH CREDIT LOAN	HSBC BANK A/C - xxxxxxxxxxxx	HSBC	HONG KONG AND SHANGAI BANKING COOPERATION	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx1001	GL_ACCT_NAME	12	806.68	806.68	DEBIT	806.68	0	N	0	24631.15	23932.8	698.35	1994.4	4872.63	15752.11	88	1191	12	3.3	2025-05-13	2026-08-21	1	N	N	2024-09-30	0	2025-09=1881.46;2025-10=1931.59;2025-11=1329.35;2025-12=1840.99;2026-01=2885.62;2026-02=2016.76;2026-03=2725.67;2026-04=1537.53;2026-05=2487.97;2026-06=1484.99;2026-07=2622.24;2026-08=1886.97	2025-09=2078.28;2025-10=1775.02;2025-11=1426.17;2025-12=1786.86;2026-01=2396.10;2026-02=2988.73;2026-03=2852.90;2026-04=1442.63;2026-05=1890.69;2026-06=2313.01;2026-07=1909.36;2026-08=1073.04	2025-09=-196.82;2025-10=156.56;2025-11=-96.83;2025-12=54.14;2026-01=489.52;2026-02=-971.97;2026-03=-127.23;2026-04=94.90;2026-05=597.28;2026-06=-828.02;2026-07=712.89;2026-08=813.93	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
JIVO_OIL_HANADB	2026-08-22	CASH_CREDIT_OD	BANK	Y	1104107	BANK CASH CREDIT LOAN	ICICI BANK- xxxxxxxxxxxx	ICICI	ICICI BANK	ODSC_MASTER	NULL	N	NO_HOUSE_BANK_ROW	xxxx2549	GL_ACCT_NAME	12	684.51	684.51	DEBIT	684.51	0	N	0	6303.46	5622.23	681.23	468.52	1130.31	0	0	3675	12	1.4	2025-01-31	2026-08-22	0	N	N	2024-09-30	0	2025-09=581.44;2025-10=478.71;2025-11=390.69;2025-12=425.62;2026-01=429.62;2026-02=227.60;2026-03=74.15;2026-04=226.85;2026-05=1028.29;2026-06=549.80;2026-07=1472.66;2026-08=418.01	2025-09=584.05;2025-10=477.88;2025-11=391.00;2025-12=425.09;2026-01=429.63;2026-02=225.46;2026-03=16.04;2026-04=299.74;2026-05=1003.90;2026-06=563.26;2026-07=714.43;2026-08=491.74	2025-09=-2.62;2025-10=0.83;2025-11=-0.31;2025-12=0.53;2026-01=-0.01;2026-02=2.14;2026-03=58.11;2026-04=-72.88;2026-05=24.39;2026-06=-13.46;2026-07=758.24;2026-08=-73.73	-3765.06	5.52	-10.12	-0.42	-3760.04	1113.34	8594.5
