SECTION	SORT_KEY	ROW_KEY	ROW_LABEL	ROW_NOTE	INV_CNT	INV_GROSS_INR	INV_NET_INR	CN_CNT	CN_GROSS_INR	CN_NET_INR	TURNOVER_NET_INR	OPEN_CNT	OPEN_INR	UNAPPLIED_RCT_INR	LEDGER_BAL_INR	TXN_CNT	CASH_TENDER_INR	GL_DEBIT_INR	GL_CREDIT_INR
1_SCOPE	CUSTA000025	CUSTA000025	CASH SALE FACTORY	ctrl 1101014 | grp HARYANA | active Y	0	0	0	0	0	0	0	0	0	0	7039	0	0	0	0
1_SCOPE	CUSTA000238	CUSTA000238	CASH SALE DL	ctrl 1101014 | grp DELHI | active Y	0	0	0	0	0	0	0	0	0	5786550	-1097839	0	0	0	0
1_SCOPE	CUSTA000250	CUSTA000250	ONLINE CASH SALE WEBSITE	ctrl 1101005 | grp DELHI | active N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_SCOPE	CUSTA000881	CUSTA000881	HARPREET SINGH CASH SALE	ctrl 1101014 | grp HARYANA | active Y	0	0	0	0	0	0	0	0	0	0	4346	0	0	0	0
1_SCOPE	CUSTA000997	CUSTA000997	KAMALJEET CASH SALE J3	ctrl 1101014 | grp DELHI | active Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_MONTH	2024-10|REAL	2024-10	2024-10	trading month	1	10159	8979.63	0	0	0	8979.63	0	0	0	0	0	0	0	0
2_MONTH	2024-11|REAL	2024-11	2024-11	trading month	11	7256	6387.77	0	0	0	6387.77	1	761	0	0	0	0	0	0
2_MONTH	2024-12|REAL	2024-12	2024-12	trading month	4	2280	2035.71	0	0	0	2035.71	0	0	0	0	0	0	0	0
2_MONTH	2025-01|REAL	2025-01	2025-01	trading month	3	1800	1607.14	2	4520	3944.92	-2337.77	0	0	0	0	0	0	0	0
2_MONTH	2025-02|REAL	2025-02	2025-02	trading month	12	6920	5864.56	0	0	0	5864.56	0	0	0	0	0	0	0	0
