SECTION	SORT_KEY	ROW_KEY	ROW_LABEL	ROW_NOTE	INV_CNT	INV_GROSS_INR	INV_NET_INR	CN_CNT	CN_GROSS_INR	CN_NET_INR	TURNOVER_NET_INR	OPEN_CNT	OPEN_INR	UNAPPLIED_RCT_INR	LEDGER_BAL_INR	TXN_CNT	CASH_TENDER_INR	GL_DEBIT_INR	GL_CREDIT_INR
1_SCOPE	CUSTA000025	CUSTA000025	CASH SALE FACTORY	ctrl 1101014 | grp HARYANA | active N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_SCOPE	CUSTA000238	CUSTA000238	CASH SALE DL	ctrl 1101014 | grp DELHI | active N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_SCOPE	CUSTA000250	CUSTA000250	ONLINE CASH SALE WEBSITE	ctrl 1101005 | grp DELHI | active Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_TENDER_MONTH	2025-01	2025-01	2025-01	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	73	623015	0	0
6_TENDER_MONTH	2025-02	2025-02	2025-02	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	133	1008349	0	0
6_TENDER_MONTH	2025-03	2025-03	2025-03	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	121	1123082	0	0
6_TENDER_MONTH	2025-04	2025-04	2025-04	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	138	1187341	0	0
6_TENDER_MONTH	2025-05	2025-05	2025-05	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	138	1305213	0	0
6_TENDER_MONTH	2025-06	2025-06	2025-06	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	128	805900	0	0
6_TENDER_MONTH	2025-07	2025-07	2025-07	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	121	786778	0	0
6_TENDER_MONTH	2025-08	2025-08	2025-08	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	117	910700	0	0
6_TENDER_MONTH	2025-09	2025-09	2025-09	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	120	880763	0	0
6_TENDER_MONTH	2025-10	2025-10	2025-10	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	103	876544	0	0
6_TENDER_MONTH	2025-11	2025-11	2025-11	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	95	626705	0	0
6_TENDER_MONTH	2025-12	2025-12	2025-12	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	100	649512.62	0	0
6_TENDER_MONTH	2026-01	2026-01	2026-01	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	106	667754	0	0
