SECTION	SORT_KEY	ROW_KEY	ROW_LABEL	ROW_NOTE	INV_CNT	INV_GROSS_INR	INV_NET_INR	CN_CNT	CN_GROSS_INR	CN_NET_INR	TURNOVER_NET_INR	OPEN_CNT	OPEN_INR	UNAPPLIED_RCT_INR	LEDGER_BAL_INR	TXN_CNT	CASH_TENDER_INR	GL_DEBIT_INR	GL_CREDIT_INR
1_SCOPE	CUSTA000025	CUSTA000025	HARPREET SINGH CASH SALE	ctrl 1101014 | grp HARYANA | active Y	0	0	0	0	0	0	0	0	0	317953.86	13711.14	0	0	0	0
1_SCOPE	CUSTA000238	CUSTA000238	CASH SALE DL	ctrl 1101014 | grp DELHI | active Y	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1_SCOPE	CUSTA000250	CUSTA000250	ONLINE CASH SALE WEBSITE	ctrl 1101005 | grp DELHI | active Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_SCOPE	CUSTA000886	CUSTA000886	KAMALPREET SINGH (CASH SALE)	ctrl 1101014 | grp STAFF CUSTOMER | active N	0	0	0	0	0	0	0	0	0	6282	-4812	0	0	0	0
1_SCOPE	CUSTA000893	CUSTA000893	CASH SALE PB	ctrl 1101014 | grp PUNJAB | active Y	0	0	0	0	0	0	0	0	0	56750	0	0	0	0	0
1_SCOPE	CUSTA001015	CUSTA001015	KAMALJEET CASH SALE J3	ctrl 1101008 | grp DELHI | active Y	0	0	0	0	0	0	0	0	0	0	1284.7	0	0	0	0
2_MONTH	2024-09|MIGRATED_OPENING	2024-09 (opening)	2024-09 (opening)	MIGRATED OPENING - go-live balance, not a sale; excluded from 9_TOTAL A	35	2441924	2441924	0	0	0	2441924	1	2	0	0	0	0	0	0
2_MONTH	2024-10|REAL	2024-10	2024-10	trading month	3	1470	1400	0	0	0	1400	3	1470	0	0	0	0	0	0
2_MONTH	2024-11|REAL	2024-11	2024-11	trading month	45	42012	39720.67	0	0	0	39720.67	0	0	0	0	0	0	0	0
2_MONTH	2024-12|REAL	2024-12	2024-12	trading month	77	59652	56381.02	0	0	0	56381.02	0	0	0	0	0	0	0	0
2_MONTH	2025-01|REAL	2025-01	2025-01	trading month	60	38185	35879.12	0	0	0	35879.12	0	0	0	0	0	0	0	0
2_MONTH	2025-02|REAL	2025-02	2025-02	trading month	44	22160	20836.26	0	0	0	20836.26	0	0	0	0	0	0	0	0
2_MONTH	2025-03|REAL	2025-03	2025-03	trading month	56	39295	37247.2	0	0	0	37247.2	0	0	0	0	0	0	0	0
2_MONTH	2025-04|REAL	2025-04	2025-04	trading month	69	130735	123820.59	0	0	0	123820.59	0	0	0	0	0	0	0	0
2_MONTH	2025-05|REAL	2025-05	2025-05	trading month	90	195686	184208.56	0	0	0	184208.56	0	0	0	0	0	0	0	0
2_MONTH	2025-06|REAL	2025-06	2025-06	trading month	81	273945	255327.43	1	180	171.43	255156	1	1284.7	0	0	0	0	0	0
2_MONTH	2025-07|REAL	2025-07	2025-07	trading month	43	38345	36421.39	0	0	0	36421.39	0	0	0	0	0	0	0	0
2_MONTH	2025-08|REAL	2025-08	2025-08	trading month	31	35075	33210.57	0	0	0	33210.57	0	0	0	0	0	0	0	0
2_MONTH	2025-09|REAL	2025-09	2025-09	trading month	35	33140	31502.47	0	0	0	31502.47	0	0	0	0	0	0	0	0
2_MONTH	2025-10|REAL	2025-10	2025-10	trading month	46	50490	48085.71	0	0	0	48085.71	0	0	0	0	0	0	0	0
2_MONTH	2025-11|REAL	2025-11	2025-11	trading month	49	39930	37905.81	0	0	0	37905.81	0	0	0	0	0	0	0	0
2_MONTH	2025-12|REAL	2025-12	2025-12	trading month	59	45810	43518.4	0	0	0	43518.4	0	0	0	0	0	0	0	0
2_MONTH	2026-01|REAL	2026-01	2026-01	trading month	36	31120	29564.65	0	0	0	29564.65	0	0	0	0	0	0	0	0
2_MONTH	2026-02|REAL	2026-02	2026-02	trading month	34	50685	48022.76	0	0	0	48022.76	14	17375	0	0	0	0	0	0
2_MONTH	2026-03|REAL	2026-03	2026-03	trading month	55	61545	58504.12	0	0	0	58504.12	55	61545	0	0	0	0	0	0
2_MONTH	2026-04|REAL	2026-04	2026-04	trading month	48	62140	59081.29	0	0	0	59081.29	48	62140	0	0	0	0	0	0
2_MONTH	2026-05|REAL	2026-05	2026-05	trading month	45	62875	59768.68	0	0	0	59768.68	45	62875	0	0	0	0	0	0
2_MONTH	2026-06|REAL	2026-06	2026-06	trading month	33	47800	45523.81	0	0	0	45523.81	33	47800	0	0	0	0	0	0
2_MONTH	2026-07|REAL	2026-07	2026-07	trading month	28	49730	47361.9	0	0	0	47361.9	28	49730	0	0	0	0	0	0
2_MONTH	2026-08|REAL	2026-08	2026-08	trading month	32	32335	30795.24	0	0	0	30795.24	32	32335	0	0	0	0	0	0
3_BRANCH	1	1	DELHI	GST branch (BPLId), name from OBPL | excl. migrated openings	84	416001	389306.34	1	180	171.43	389134.91	1	1284.7	0	0	0	0	0	0
3_BRANCH	2	2	FACTORY	GST branch (BPLId), name from OBPL | excl. migrated openings	1015	1028159	974781.31	0	0	0	974781.31	258	335270	0	0	0	0	0	0
4_WAREHOUSE	(multi-warehouse)	(multi-warehouse)	(multi-warehouse)	dominant stock warehouse | excl. migrated openings	14	22870	21470.32	0	0	0	21470.32	3	5120	0	0	0	0	0	0
4_WAREHOUSE	BH-BT	BH-BT	Bhakharpur New Basement	dominant stock warehouse | excl. migrated openings	29	23285	22176.19	0	0	0	22176.19	29	23285	0	0	0	0	0	0
4_WAREHOUSE	BH-EC	BH-EC	BHAKHARPUR FINISHED E-COMMERCE	dominant stock warehouse | excl. migrated openings	54	58420	55638.09	0	0	0	55638.09	47	54590	0	0	0	0	0	0
4_WAREHOUSE	BH-FG	BH-FG	Bhakharpur Finished Basement	dominant stock warehouse | excl. migrated openings	569	425394	401415.1	0	0	0	401415.1	14	7335	0	0	0	0	0	0
4_WAREHOUSE	BH-FU	BH-FU	Bhakharpur Finished 1st Floor	dominant stock warehouse | excl. migrated openings	17	80175	76357.14	0	0	0	76357.14	0	0	0	0	0	0	0	0
4_WAREHOUSE	BH-GR	BH-GR	Bhakharpur GR	dominant stock warehouse | excl. migrated openings	1	350	296.61	0	0	0	296.61	0	0	0	0	0	0	0	0
4_WAREHOUSE	BH-PF	BH-PF	Bhakharpur Production Finished 1st Floor	dominant stock warehouse | excl. migrated openings	34	59210	56390.48	0	0	0	56390.48	22	43780	0	0	0	0	0	0
4_WAREHOUSE	BH-SC	BH-SC	Bhakharpur Schemes	dominant stock warehouse | excl. migrated openings	10	9665	8982.32	0	0	0	8982.32	7	8615	0	0	0	0	0	0
4_WAREHOUSE	DL-J3	DL-J3	Rajouri Garden Warehouse	dominant stock warehouse | excl. migrated openings	84	416001	389306.34	1	180	171.43	389134.91	1	1284.7	0	0	0	0	0	0
4_WAREHOUSE	GP-FG	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	dominant stock warehouse | excl. migrated openings	287	348790	332055.06	0	0	0	332055.06	136	192545	0	0	0	0	0	0
5_CUSTOMER	CUSTA000025	CUSTA000025	HARPREET SINGH CASH SALE	master name (invoice snapshots may differ) | excl. migrated openings	1012	1026689	973381.31	0	0	0	973381.31	255	333800	317953.86	13711.14	0	54500	0	0
5_CUSTOMER	CUSTA000886	CUSTA000886	KAMALPREET SINGH (CASH SALE)	master name (invoice snapshots may differ) | excl. migrated openings	3	1470	1400	0	0	0	1400	3	1470	6282	-4812	0	0	0	0
5_CUSTOMER	CUSTA001015	CUSTA001015	KAMALJEET CASH SALE J3	master name (invoice snapshots may differ) | excl. migrated openings	84	416001	389306.34	1	180	171.43	389134.91	1	1284.7	0	1284.7	0	217443.48	0	0
6_TENDER_MONTH	2024-10	2024-10	2024-10	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	134	726244.02	0	0
6_TENDER_MONTH	2024-11	2024-11	2024-11	ORCT."CashSum", DocType=C, external only (cash COLLECTED, not cash SOLD)	0	0	0	0	0	0	0	0	0	0	0	180	1206093.03	0	0
