MONTH_KEY	MONTH_LABEL	FAMILY	GRP_NAME	ACCT_CODE	ACCT_NAME	LINES_CNT	DOCS_CNT	NET_L	DEBIT_L	CREDIT_L
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630001	SALARY EXPENSE	5	3	13.6000000000000	13.6000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	5670001	FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP	25	15	11.9100000000000	17.2200000000000	5.3100000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680011	ELECTRICITY	3	3	8.0000000000000	16.3700000000000	8.3600000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650016	REPAIR AND MAINTENANCE PLANT & MACHINERY	17	12	5.3200000000000	5.4600000000000	0.1400000000000
2026-04	APR-26	CASUAL LABOUR	CASUAL LABOUR (direct)	5100008	CASUAL LABOUR	9	6	1.8200000000000	3.0400000000000	1.2200000000000
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	5670002	UNLOADING/LOADING CHARGES-INDIRECT EXPENSE	23	14	0.9900000000000	1.6300000000000	0.6500000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640004	SAMPLING EXPENSES	14	14	0.8600000000000	0.8600000000000	0.0000000000000
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	5690002	CONVEYANCE	4	3	0.3700000000000	0.3700000000000	0.0000000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640001	ADVERTISEMENT	17	17	0.2800000000000	0.2800000000000	0.0000000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650015	FUEL - VEHICLES	7	4	0.2700000000000	0.6600000000000	0.4000000000000
2026-04	APR-26	INDIRECT	RENTS RATES AND TAXES	5660005	TOLL EXPENSE - VEHICLES	5	4	0.2100000000000	0.2100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5630005	TA AND DA	8	6	0.1700000000000	0.2000000000000	0.0300000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650002	REPAIR & MAINTENANCE VEHICLE	1	1	0.1400000000000	0.1400000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630012	ESIC FROM EMPLOYER CONTRIBUTION	3	2	0.1200000000000	0.1200000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680002	INSURANCE INDIRECT	3	2	0.0600000000000	0.0600000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630015	EPF FROM EMPLOYER CONTRIBUTION	1	1	0.0400000000000	0.0400000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630010	EPF FROM EMPLOYEE CONTRIBUTION	1	1	0.0400000000000	0.0400000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630011	ESIC FROM EMPLOYEE CONTRIBUTION	3	2	0.0300000000000	0.0300000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5630004	REFRESHMENT	4	3	0.0200000000000	0.0200000000000	0.0000000000000
