MONTH_KEY	MONTH_LABEL	FAMILY	GRP_NAME	ACCT_CODE	ACCT_NAME	LINES_CNT	DOCS_CNT	NET_L	DEBIT_L	CREDIT_L
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640001	ADVERTISEMENT	12	8	52.6900000000000	52.6900000000000	0.0000000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640002	BUSINESS PROMOTION	11	9	19.3900000000000	73.8600000000000	54.4700000000000
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	5670001	FREIGHT AND CARTAGE	166	35	12.9000000000000	24.5000000000000	11.6000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630001	SALARY	5	3	11.7500000000000	11.7500000000000	0.0000000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640003	MARKET COMISSION AND BROKERAGE	10	6	9.3600000000000	15.3400000000000	5.9700000000000
2026-04	APR-26	INDIRECT	FINANCE EXPENSE	5610004	INTEREST ON UNSECURED LOAN	4	1	1.2300000000000	1.2300000000000	0.0000000000000
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	5690001	NATIONAL TOUR AND TRAVELLING	2	2	0.9700000000000	0.9700000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680030	FIXED FEE	1	1	0.6000000000000	0.6000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680008	FEES AND SUBSCRIPTION	14	7	0.5200000000000	0.7500000000000	0.2300000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680004	SOFTWARE AND TECHNOLOGY	1	1	0.1800000000000	0.1800000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680029	TECHNOLOGY FEES	1	1	0.1600000000000	0.1600000000000	0.0000000000000
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	5690002	CONVEYANCE	2	2	0.1200000000000	0.1200000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630012	ESIC FROM EMPLOYER CONTRIBUTION	1	1	0.1100000000000	0.1100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630004	REFRESHMENT	5	5	0.0900000000000	0.0900000000000	0.0000000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650015	FUEL - VEHICLES	3	3	0.0400000000000	0.0400000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630011	ESIC FROM EMPLOYEE CONTRIBUTION	1	1	0.0300000000000	0.0300000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630002	INCENTIVE TO EMPLOYEES	1	1	0.0100000000000	0.0100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680025	LEGAL AND PROFESSIONAL	4	4	0.0100000000000	0.2100000000000	0.2000000000000
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	5670002	LOADING AND UNLOADING	8	3	0.0100000000000	0.0300000000000	0.0200000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640004	SAMPLING EXPENSES	1	1	0.0100000000000	0.0100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680015	HOUSE KEEPING	1	1	0.0000000000000	0.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	RENTS, RATES AND TAXES	5660003	STORAGE CHARGES INDIRECT	1	1	0.0000000000000	0.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680014	SHORT AND EXCESS	1135	1135	0.0000000000000	0.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680033	CUSTOMER ADD ON AMOUNT RECOVERY	1	1	0.0000000000000	0.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680032	PICK AND PACK FEE	1	1	0.0000000000000	0.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680031	REMOVAL FEE	1	1	0.0000000000000	0.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680012	PRINTING AND STATIONERY	6	2	0.0000000000000	0.0100000000000	0.0100000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650002	REPAIR & MAINTENANCE VEHICLE	3	2	0.0000000000000	0.0000000000000	0.0000000000000
2026-05	MAY-26	INDIRECT	SELLING EXPENSE	5640001	ADVERTISEMENT	47	42	66.2500000000000	109.0800000000000	42.8300000000000
2026-05	MAY-26	INDIRECT	SELLING EXPENSE	5640002	BUSINESS PROMOTION	95	19	47.7600000000000	224.4400000000000	176.6800000000000
2026-05	MAY-26	INDIRECT	DELIVERY EXPENSES	5670001	FREIGHT AND CARTAGE	200	42	19.0900000000000	31.8200000000000	12.7400000000000
2026-05	MAY-26	INDIRECT	SELLING EXPENSE	5640003	MARKET COMISSION AND BROKERAGE	13	9	10.3000000000000	23.7100000000000	13.4100000000000
2026-05	MAY-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630001	SALARY	4	2	9.8900000000000	9.8900000000000	0.0000000000000
2026-05	MAY-26	INDIRECT	GENERAL EXPENSES	5680030	FIXED FEE	1	1	1.7600000000000	1.7600000000000	0.0000000000000
2026-05	MAY-26	INDIRECT	FINANCE EXPENSE	5610004	INTEREST ON UNSECURED LOAN	4	1	1.2700000000000	1.2700000000000	0.0000000000000
2026-05	MAY-26	INDIRECT	TRAVELLING EXPENSE	5690002	CONVEYANCE	18	13	0.7000000000000	0.7000000000000	0.0000000000000
2026-05	MAY-26	INDIRECT	GENERAL EXPENSES	5680016	SECURITY	4	3	0.6300000000000	0.6300000000000	0.0100000000000
2026-05	MAY-26	INDIRECT	GENERAL EXPENSES	5680008	FEES AND SUBSCRIPTION	18	12	0.5700000000000	0.9900000000000	0.4200000000000
