MONTH_KEY	MONTH_LABEL	FAMILY	GRP_NAME	ACCT_CODE	ACCT_NAME	LINES_CNT	DOCS_CNT	NET_L	DEBIT_L	CREDIT_L
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630001	SALARY EXPENSE	71	9	113.9100000000000	116.9100000000000	3.0000000000000
2026-04	APR-26	INDIRECT	FINANCE EXPENSE	5610001	INTEREST ON BANK LOAN	27	22	38.6100000000000	42.7900000000000	4.1800000000000
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	5670001	FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP	117	40	35.6300000000000	46.3400000000000	10.7200000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640001	ADVERTISEMENT	20	20	19.2200000000000	19.2200000000000	0.0000000000000
2026-04	APR-26	INDIRECT	FINANCE EXPENSE	5610003	BANK CHARGES	214	44	10.6600000000000	10.6600000000000	0.0000000000000
2026-04	APR-26	INDIRECT	RENTS RATES AND TAXES	5660002	RENT	9	9	8.7500000000000	8.7500000000000	0.0000000000000
2026-04	APR-26	CASUAL LABOUR	CASUAL LABOUR (direct)	5100008	CASUAL LABOUR	15	11	6.9800000000000	12.7200000000000	5.7300000000000
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	5690003	FOREIGN TOUR AND TRAVELLING	11	11	6.7700000000000	6.7700000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680025	LEGAL AND PROFESSIONAL	33	20	3.5900000000000	6.9700000000000	3.3800000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680011	ELECTRICITY	12	12	3.1500000000000	5.8900000000000	2.7500000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680002	INSURANCE INDIRECT	29	6	3.0200000000000	3.0200000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630013	DIRECTOR REMUNERATION	1	1	3.0000000000000	3.0000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5630005	TA AND DA	17	6	2.5800000000000	2.7300000000000	0.1500000000000
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	5690002	CONVEYANCE	25	22	2.0100000000000	2.0100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5630004	REFRESHMENT	39	36	1.9200000000000	1.9200000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630016	APPRENTICESHIP/STIPEND	3	1	1.8600000000000	1.8600000000000	0.0000000000000
2026-04	APR-26	INDIRECT	FINANCE EXPENSE	5610004	INTEREST ON UNSECURED LOAN	3	1	1.7300000000000	1.7300000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680016	SECURITY EXPENSES	1	1	1.3000000000000	1.3000000000000	0.0000000000000
2026-04	APR-26	INDIRECT	DELIVERY EXPENSES	5670002	UNLOADING/LOADING CHARGES-INDIRECT EXPENSE	44	16	1.2900000000000	1.9300000000000	0.6300000000000
2026-04	APR-26	INDIRECT	SELLING EXPENSE	5640003	MARKET COMISSION AND BROKERAGE	15	11	1.2900000000000	1.8400000000000	0.5500000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680004	SOFTWARE AND TECHNOLOGY	8	6	1.1300000000000	1.1300000000000	0.0000000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650015	FUEL - VEHICLES	42	9	1.0600000000000	2.3800000000000	1.3200000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630010	EPF FROM EMPLOYEE CONTRIBUTION	22	4	1.0500000000000	1.0500000000000	0.0000000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630015	EPF FROM EMPLOYER CONTRIBUTION	22	4	1.0500000000000	1.0500000000000	0.0000000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650001	REPAIR & MAINTENANCE OFFICE & BUILDING	37	30	1.0400000000000	3.7800000000000	2.7400000000000
2026-04	APR-26	INDIRECT	EMPLOYEES BENEFIT EXPENSE	5630012	ESIC FROM EMPLOYER CONTRIBUTION	23	3	0.7900000000000	0.7900000000000	0.0000000000000
2026-04	APR-26	INDIRECT	RENTS RATES AND TAXES	5660005	TOLL EXPENSE - VEHICLES	30	13	0.6200000000000	0.6400000000000	0.0200000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680008	FEES AND SUBSCRIPTION	14	5	0.5100000000000	0.5100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	TRAVELLING EXPENSE	5690001	NATIONAL TOUR AND TRAVELLING	3	3	0.4500000000000	0.4500000000000	0.0000000000000
2026-04	APR-26	INDIRECT	GENERAL EXPENSES	5680015	HOUSE KEEPING	15	15	0.3200000000000	0.3300000000000	0.0200000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650016	REPAIR AND MAINTENANCE PLANT & MACHINERY	18	16	0.3100000000000	0.3100000000000	0.0000000000000
2026-04	APR-26	INDIRECT	REPAIR AND MAINTENANCE	5650002	REPAIR & MAINTENANCE VEHICLE	10	9	0.2400000000000	0.2400000000000	0.0000000000000
