DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	AGE_DAYS	CANCEL_STATUS	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	NUM_LINES	NUM_ITEMS	TOTAL_QTY	NET_AMT	GST_AMT	GROSS_AMT	REASON	VENDOR_REF	BASE_GRPO_COUNT	BASE_GRPO_DOCNUMS	CN_COUNT	CN_DOCNUMS	CN_FIRST_DATE	CN_GROSS	CN_LAG_DAYS	FLAG_NO_CREDIT_NOTE
253	2126088001	2026-08-11	2026-08	11	LIVE	O	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	114	20405.92	3673.08	24079		SN/26-27/429	0		0			0	NULL	Y
251	2126078004	2026-07-28	2026-07	25	CANCELLATION_DOC	C	VENDA001411	ECOKRIN HYGIENE PRODUCTS LLP	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	20000	7700	1386	9086	ONE BOX SHORT RECIEVED Based On Goods Return 2126078003.	709	0		0			0	NULL	N
245	2126078003	2026-07-28	2026-07	25	CANCELLED	C	VENDA001411	ECOKRIN HYGIENE PRODUCTS LLP	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	20000	7700	1386	9086	ONE BOX SHORT RECIEVED	709	0		0			0	NULL	N
242	2126078002	2026-07-08	2026-07	45	LIVE	C	VENDA001307	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	GP-PM	1	1	2229	69433.33	3471.67	72905	NON MOVING CARTON TRANSFER BEVRAGE TO OIL	ARVINDER VG APPROVAL (NM)	0		0			0	NULL	Y
236	2126078001	2026-07-03	2026-07	50	LIVE	C	VENDA001307	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-PM	1	1	1723640	230105.93	41419.07	271525	Physical Short	ARVINDER VG APPROVAL	0		0			0	NULL	Y
232	2126068001	2026-06-17	2026-06	66	LIVE	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	2000000	254000	45720	299720	DUE TO QUALITY REJECT GOOD RETURN TO PARTY	SN/25-26/220	0		1	626068701	2026-06-17	299720	0	N
226	2126058004	2026-05-30	2026-05	84	LIVE	C	VENDA001307	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	GP-NM	55	55	1685149	1372527.67	239382.33	1611910	SONU VRG APPROVAL ( NON MOVING ITEM SCRAP )	SONU VRG SIR APPROVAL	0		0			0	NULL	Y
217	2126058003	2026-05-13	2026-05	101	LIVE	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	3	3	3002000	379790.71	68362.29	448153	MATERIEL REJECT  DUE TO RETURN TO PARTY	INVOICE -220 ,648, 780	0		1	626048701	2026-04-01	448153	-42	N
216	2126058002	2026-05-13	2026-05	101	CANCELLATION_DOC	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	3	3	3002000	381442.33	68659.67	450102	MATERIEL REJECT DUE TO RETURN TO PARTY Based On Goods Return 2126058001.		0		0			0	NULL	N
213	2126058001	2026-05-13	2026-05	101	CANCELLED	C	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	3	3	3002000	381442.33	68659.67	450102	MATERIEL REJECT DUE TO RETURN TO PARTY		0		0			0	NULL	N
