DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	AGE_DAYS	CANCEL_STATUS	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	NUM_LINES	NUM_ITEMS	TOTAL_QTY	NET_AMT	GST_AMT	GROSS_AMT	REASON	VENDOR_REF	BASE_GRPO_COUNT	BASE_GRPO_DOCNUMS	CN_COUNT	CN_DOCNUMS	CN_FIRST_DATE	CN_GROSS	CN_LAG_DAYS	FLAG_NO_CREDIT_NOTE
383	726214700	2026-07-07	2026-07	46	LIVE	C	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	BH-FGM	4	4	23	9640	482	10122		FGM TO EC TRANSFER LEAK STOCK 07.07.2026	0		1	607265904	2026-07-07	10122	0	N
378	626214701	2026-06-30	2026-06	53	LIVE	C	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	BH-FGM	6	6	488	169050.5	8452.5	177503		FGM TO EC TRANSFER LEAK STOCK	0		1	607265901	2026-07-01	177503	1	N
371	626214700	2026-06-20	2026-06	63	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-GR	15	15	1063	683120.4	34704.6	717825	GR IN MAYAPURI WAREHOUSE 04-06-2026.		0		0			0	NULL	Y
364	526214700	2026-05-04	2026-05	110	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-GR	13	13	1344	538261.42	27283.58	565545	G.R IN MAYAPURI WAREHOUSE 30-04-2026		0		0			0	NULL	Y
355	426214701	2026-04-22	2026-04	122	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-GR	4	4	108	31705.29	1585.26	33290.55	JIVO GREATINGS GIFT PACKS (NEAR TO EXPIRY) (21-04-2026)		0		1	704265927	2026-04-29	67074	7	N
350	426214700	2026-04-18	2026-04	126	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-GR	28	28	1150	367530.21	18753.56	386283.78	G.R IN MAYAPURI WAREHOUSE 04-02-2026		0		0			0	NULL	Y
313	126214702	2026-01-24	2026-01	210	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-MP	2	2	84	169049.5	8452.5	177502	STOCK FROM MAYAPURI TO FACTORY 16-01-20226		0		0			0	NULL	Y
303	126214701	2026-01-09	2026-01	225	LIVE	C	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-GR	27	27	1568	717395.64	38795.36	756191	GR IN MAYAPURI WAREHOUSE 09-12-2026		0		1	701265920	2026-01-14	727575	5	N
300	126214700	2026-01-02	2026-01	232	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-MP	1	1	4	2857.14	142.86	3000	STOCK REQUIRED IN MAYAPURI WAREHOUSE(29.11.2025)		0		0			0	NULL	Y
296	1225214706	2025-12-26	2025-12	239	LIVE	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	1	DELHI	DL-MP	1	1	200	5102.86	255.14	5358	STOCK REQUIRED IN MAYAPURI WAREHOUSE (10.12.2025)		0		0			0	NULL	Y
