DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	AGE_DAYS	CANCEL_STATUS	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	NUM_LINES	NUM_ITEMS	TOTAL_QTY	NET_AMT	GST_AMT	GROSS_AMT	REASON	VENDOR_REF	BASE_GRPO_COUNT	BASE_GRPO_DOCNUMS	CN_COUNT	CN_DOCNUMS	CN_FIRST_DATE	CN_GROSS	CN_LAG_DAYS	FLAG_NO_CREDIT_NOTE
745	2126086502	2026-08-19	2026-08	3	LIVE	C	VENDA000601	FRYSTAL PET PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	114000	900029.6	162005.4	1062035	GOODS REJECT DUE TO RETURN TO PARTY AGAINST DEBIT NOTE	NINV/26-27/0568	0		1	626085007	2026-08-19	1062035	0	N
743	2126086501	2026-08-17	2026-08	5	LIVE	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	27500	28875.5	5197.5	34073	PURCHASE RETURN	RPL/1164/2026-27	0		0			0	NULL	Y
738	2126086500	2026-08-09	2026-08	13	LIVE	O	VENDA001180	HARYANA GENERAL INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	6	557.56	100.44	658	Damage & Return To Party Same Day	HGI/H/26-27/0164	0		0			0	NULL	Y
735	2126076518	2026-07-31	2026-07	22	LIVE	C	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-WST	2	2	1020	24556.83	4420.17	28977		317/26.27	0		1	626075031	2026-07-31	28977	0	N
729	2126076514	2026-07-29	2026-07	24	LIVE	C	VENDA001613	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-BS	1	1	2037	67791.43	3389.57	71181	PHYSICAL SHORT		0		0			0	NULL	Y
731	2126076515	2026-07-28	2026-07	25	LIVE	C	VENDA000512	NATIONAL TIN INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	3	278.78	50.22	329	RETURN DAMAGE	708	0		1	626075055	2026-07-28	329	0	N
725	2126076513	2026-07-28	2026-07	25	LIVE	C	VENDA001613	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-BS	1	1	6380	10527.14	1894.86	12422	PHYSICAL SHORT	ARVINDER VG  APPRVAL( GREENCAP)	0		0			0	NULL	Y
710	2126076512	2026-07-24	2026-07	29	LIVE	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	9000	11700	2106	13806	QUALITY REJECT  DUE TO  GOODS RETURN TO PARTY	RPL/949/2026-27	0		0			0	NULL	Y
708	2126076511	2026-07-23	2026-07	30	LIVE	C	VENDA001034	HARYANA INDUSTRIAL COMPANY	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	14	1301.64	234.36	1536	GOODS DAMAGE DUE TO RETRUN TO PARTY	HIC/2026-27/244	0		1	626075033	2026-07-23	1536	0	N
704	2126076510	2026-07-20	2026-07	33	LIVE	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	2800	67200	12096	79296	QUALITY  REJECT DUE TO GOODS RETURN TO PARTY	AAE/2026-27/054	0		1	626075017	2026-07-20	79296	0	N
733	2126076517	2026-07-19	2026-07	34	LIVE	O	VENDA001019	JOY PACK INDIA PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	18	3023.68	544.32	3568	Goods Short Recd	GST/2026-27/5555	0		0			0	NULL	Y
699	2126076509	2026-07-14	2026-07	39	LIVE	C	VENDA000031	AG POLY PACKS PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	216	5238.16	942.84	6181		902/27500792	0		1	626075040	2026-07-10	6181	-4	N
697	2126076508	2026-07-13	2026-07	40	LIVE	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	736	17664.48	3179.52	20844	QUALIITY REJECT  DUE TO GOODS RETURN TO PARTY	AAE/2026-27/045	0		1	626075010	2026-07-13	20844	0	N
696	2126076507	2026-07-13	2026-07	40	LIVE	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	2200	35750	6435	42185	QUALITY REJECT DUE TO  GOODS RETURN TO PARTY	AA/2026-27/016	0		1	626075011	2026-07-13	42185	0	N
695	2126076506	2026-07-13	2026-07	40	LIVE	C	VENDA000933	RAJ TECHNOPACK PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	1200	27642.44	4975.56	32618		SNP-0042/26-27	0		1	626075005	2026-07-13	32618	0	N
693	2126076505	2026-07-13	2026-07	40	LIVE	C	VENDA001613	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-PM	1	1	4250	0.92	0.08	1	PHYSICAL SHORT ( GREEN CAP SHORT OR BROWN  CAP  EXCESS )	ARVINDER VG APPROVAL (BROWN CAP)	0		0			0	NULL	Y
687	2126076504	2026-07-08	2026-07	45	LIVE	C	VENDA000469	S M PLAST & CHEMICALS VEND	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	1224	29682.24	5342.76	35025	QUALITY REJECT  DUE GOODS RETURN TO PARTY	SMP/2026-27/127	0		1	626075003	2026-07-08	35025	0	N
684	2126076503	2026-07-07	2026-07	46	LIVE	C	VENDA000933	RAJ TECHNOPACK PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-WST	2	2	1200	28955.92	5212.08	34168	STOCK RETURN	SNP-0267/26-27	0		1	626065043	2026-06-01	34168	-36	N
682	2126076502	2026-07-06	2026-07	47	LIVE	C	VENDA001180	HARYANA GENERAL INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	239	22227.14	4000.86	26228	GOODS DAMAGE	HGI/H/26-27/0121	0		1	626075025	2026-07-06	26228	0	N
732	2126076516	2026-07-05	2026-07	48	LIVE	C	VENDA000031	AG POLY PACKS PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	216	5238.16	942.84	6181	Quality Reject  Due to Goods Return  to Party	902/27500997	0		1	626075041	2026-07-10	6181	5	N
680	2126076501	2026-07-04	2026-07	49	LIVE	C	VENDA000512	NATIONAL TIN INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	12	929.6	167.4	1097		564	0		1	626075024	2026-07-04	1097	0	N
678	2126076500	2026-07-02	2026-07	51	LIVE	C	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	30	722	130.01	852	GOOD SHORT RECD	317/26-27	0		1	626065045	2026-06-30	852	-2	N
665	2126066505	2026-06-16	2026-06	67	LIVE	C	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	3	3	3810	90125.4	16222.6	106348	QUALITY ERJECT DUE TO RETURN TO PARTY	242/26-27	0		1	626065010	2026-06-16	106348	0	N
671	2126066506	2026-06-12	2026-06	71	LIVE	C	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	5	3	6840	161799.96	29124.04	190924	QUALITY REJECT DUE TO RETURN TO PARTY	235/26-27	0		1	626065037	2026-06-16	190924	4	N
661	2126066504	2026-06-11	2026-06	72	LIVE	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	3760	90239.8	16243.2	106483	QUALITY REJECT DUE GOODS RETURN TO PARTY SAME DAY	AAE/2026-27/056	0		1	626065006	2026-06-11	106483	0	N
658	2126066503	2026-06-06	2026-06	77	LIVE	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	4720	113279.6	20390.4	133670	Due to Quality Reject  Goods Return To Party	AAE/2026-27/052	0		1	626065002	2026-06-06	133670	0	N
654	2126066502	2026-06-03	2026-06	80	LIVE	C	VENDA001613	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-PM	1	1	1675	44337.14	2216.86	46554	DUE TO WRONG ITEM MAKE GRPO PHYSICAL  SHORT	GINNI  SIR APPROVAL (CARTONS)	0		0			0	NULL	Y
649	2126066501	2026-06-01	2026-06	82	CANCELLATION_DOC	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	2936	70464.48	12683.52	83148	QUALITY REJECT  DUE TO  GOODS RETURN TO PARTY Based On Goods Return 2126066500.	AAE/2026-27/45	0		0			0	NULL	N
646	2126066500	2026-06-01	2026-06	82	CANCELLED	C	VENDA001465	A A ENTERPRISES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	2936	70464.48	12683.52	83148	QUALITY REJECT  DUE TO  GOODS RETURN TO PARTY	AAE/2026-27/45	0		0			0	NULL	N
639	2126056505	2026-05-29	2026-05	85	LIVE	C	VENDA001613	STOCK GOODS ISSUE	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-BS	2	2	15928	223358.55	40204.45	263563			0		0			0	NULL	Y
636	2126056504	2026-05-25	2026-05	89	LIVE	C	VENDA000515	ECHO PLAST INDIA	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	2	2	3360	79480.46	14306.54	93787	QUALITY REJECT DUE TO SAME DAY RETURN TO PARTY	184/26-27	0		1	626055038	2026-05-27	93787	2	N
632	2126056503	2026-05-21	2026-05	93	LIVE	C	VENDA000937	TPAC PACKAGING INDIA PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	4200	47376.32	8527.68	55904	Quality Reject  Due To Goods Return To Party	HAR1/26-27/0521	0		1	626055006	2026-05-21	55904	0	N
643	2126056506	2026-05-15	2026-05	99	CANCELLATION_DOC	C	VENDA000933	RAJ TECHNOPACK PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	1	1	30	1287.29	231.71	1519	QUALITY REJECT DUE TO GOODS RETURN TO PARTY Based On Goods Return 2126056501.	SNP-0178/26-27	0		0			0	NULL	N
