SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_NET	RET_GST	RET_GROSS	RET_DOCS_OPEN	RET_DOCS_NO_CN	RET_GROSS_NO_CN	GRPO_DOCS	GRPO_NET	RET_PCT_OF_GRPO	RET_NOCN_EXT_DOCS	RET_NOCN_EXT_GROSS
TOTAL	ALL	All goods returns	1	19	4149869.34	722804.66	4872674	3	7	2125711	1295	190041730.18	2.1837	3	167961
CLASS	BRANCH	BRANCH	2BRANCH	0	0	0	0	0	0	0	55	3114562.5	0	0	0
CLASS	EXTERNAL	EXTERNAL	2EXTERNAL	15	2476392.41	438531.59	2914924	3	3	167961	1224	160387151.08	1.544	3	167961
CLASS	INTERNAL_ADJ	INTERNAL_ADJ	2INTERNAL_ADJ	4	1673476.94	284273.06	1957750	0	4	1957750	16	26540016.61	6.3055	0	0
CREDIT_NOTE	HAS_CREDIT_NOTE	HAS_CREDIT_NOTE	3HAS_CREDIT_NOTE	12	2327952.41	419010.59	2746963	0	0	0	NULL	NULL	NULL	0	0
CREDIT_NOTE	NO_CREDIT_NOTE	NO_CREDIT_NOTE	3NO_CREDIT_NOTE	7	1821916.94	303794.06	2125711	3	7	2125711	NULL	NULL	NULL	3	167961
MONTH	2024-10	2024-10	42024-10	0	0	0	0	0	0	0	41	3290852.74	0	0	0
MONTH	2024-11	2024-11	42024-11	0	0	0	0	0	0	0	45	3924920.07	0	0	0
MONTH	2024-12	2024-12	42024-12	1	113813.59	20486.41	134300	0	0	0	39	3747911.69	3.0367	0	0
MONTH	2025-01	2025-01	42025-01	0	0	0	0	0	0	0	83	5129989.04	0	0	0
MONTH	2025-02	2025-02	42025-02	0	0	0	0	0	0	0	76	7671921.57	0	0	0
MONTH	2025-03	2025-03	42025-03	2	205844.83	37052.17	242897	0	0	0	97	9472680.72	2.173	0	0
MONTH	2025-04	2025-04	42025-04	3	820623.68	147691.32	968315	0	0	0	66	7139808.14	11.4936	0	0
MONTH	2025-05	2025-05	42025-05	0	0	0	0	0	0	0	90	9416078.36	0	0	0
MONTH	2025-06	2025-06	42025-06	0	0	0	0	0	0	0	101	7521618.44	0	0	0
MONTH	2025-07	2025-07	42025-07	0	0	0	0	0	0	0	73	8834504.53	0	0	0
MONTH	2025-08	2025-08	42025-08	2	134516.16	17014.84	151531	1	1	134366	67	6465686.47	2.0805	1	134366
MONTH	2025-09	2025-09	42025-09	1	224750	40455	265205	0	0	0	46	9013330.47	2.4935	0	0
MONTH	2025-10	2025-10	42025-10	1	258483.04	46526.96	305010	0	0	0	87	7538738.82	3.4287	0	0
MONTH	2025-11	2025-11	42025-11	0	0	0	0	0	0	0	35	4576522.9	0	0	0
MONTH	2025-12	2025-12	42025-12	1	56100	10098	66198	0	0	0	49	10638836.46	0.5273	0	0
MONTH	2026-01	2026-01	42026-01	0	0	0	0	0	0	0	38	3490972.73	0	0	0
MONTH	2026-02	2026-02	42026-02	0	0	0	0	0	0	0	34	4601448.93	0	0	0
MONTH	2026-03	2026-03	42026-03	1	8064.48	1451.52	9516	1	1	9516	49	8958993.04	0.09	1	9516
MONTH	2026-04	2026-04	42026-04	1	1410	0	1410	0	1	1410	40	7599102.55	0.0186	0	0
MONTH	2026-05	2026-05	42026-05	2	1752318.38	307744.62	2060063	0	1	1611910	42	8731378.23	20.0692	0	0
MONTH	2026-06	2026-06	42026-06	1	254000	45720	299720	0	0	0	31	10180728.78	2.4949	0	0
MONTH	2026-07	2026-07	42026-07	2	299539.26	44890.74	344430	0	2	344430	41	33829176.25	0.8854	0	0
MONTH	2026-08	2026-08	42026-08	1	20405.92	3673.08	24079	1	1	24079	25	8266529.26	0.2468	1	24079
VENDOR	VENDA001307	STOCK GOODS ISSUE [INTERNAL_ADJ]	5	4	1673476.94	284273.06	1957750	0	4	1957750	0	0	NULL	0	0
VENDOR	VENDA001056	S.N. INDUSTRIES [EXTERNAL]	5	6	1311274.5	236029.5	1547304	1	1	24079	29	10678178.94	12.2799	1	24079
VENDOR	VENDA000966	A.J.SHRINK WRAP PRIVATE LIMITED (AAHCA0195J) [EXTERNAL]	5	1	784223.68	141160.32	925384	0	0	0	2	837647.54	93.6222	0	0
VENDOR	VENDA000933	MULTILAYER INDUSTRIES [EXTERNAL]	5	2	169913.59	30584.41	200498	0	0	0	18	2193993.48	7.7445	0	0
VENDOR	VENDA000934	SHREE KESHAV AGRO PVT LTD (AAFCS8174H) [EXTERNAL]	5	1	119969.6	14396.4	134366	1	1	134366	4	386570.6	31.0343	1	134366
VENDOR	VENDA000946	MANSAROVAR POLYMERS [EXTERNAL]	5	2	50596.56	9107.44	59704	0	0	0	40	4788263.16	1.0567	0	0
VENDOR	VENDA000935	ARIHANT TRADERS [EXTERNAL]	5	1	32000	5760	37760	0	0	0	9	748588.25	4.2747	0	0
VENDOR	VENDA001313	TECHNOFLEX PACKAGING [EXTERNAL]	5	1	8064.48	1451.52	9516	1	1	9516	3	628992.54	1.2821	1	9516
VENDOR	VENDA001072	BALAJI INC. [EXTERNAL]	5	1	350	42	392	0	0	0	30	2376553.13	0.0147	0	0
