SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_NET	RET_GST	RET_GROSS	RET_DOCS_OPEN	RET_DOCS_NO_CN	RET_GROSS_NO_CN	GRPO_DOCS	GRPO_NET	RET_PCT_OF_GRPO	RET_NOCN_EXT_DOCS	RET_NOCN_EXT_GROSS
TOTAL	ALL	All goods returns	1	49	11863242.32	686654.2	12549896.52	16	16	3519206.18	2940	2793966527.93	0.4246	3	223182
CLASS	BRANCH	BRANCH	2BRANCH	0	0	0	0	0	0	0	118	116201319.18	0	0	0
CLASS	EXTERNAL	EXTERNAL	2EXTERNAL	3	189137.25	34044.75	223182	2	3	223182	216	45327766.9	0.4173	3	223182
CLASS	INTERCOMPANY	INTERCOMPANY	2INTERCOMPANY	46	11674105.07	652609.45	12326714.52	14	13	3296024.18	2606	2632437441.85	0.4435	0	0
CREDIT_NOTE	HAS_CREDIT_NOTE	HAS_CREDIT_NOTE	3HAS_CREDIT_NOTE	33	8551301.63	479388.7	9030690.33	1	0	0	NULL	NULL	NULL	0	0
CREDIT_NOTE	NO_CREDIT_NOTE	NO_CREDIT_NOTE	3NO_CREDIT_NOTE	16	3311940.69	207265.49	3519206.18	15	16	3519206.18	NULL	NULL	NULL	3	223182
MONTH	2025-01	2025-01	42025-01	0	0	0	0	0	0	0	116	117270420.56	0	0	0
MONTH	2025-02	2025-02	42025-02	0	0	0	0	0	0	0	93	116110818.96	0	0	0
MONTH	2025-03	2025-03	42025-03	0	0	0	0	0	0	0	111	119724304.71	0	0	0
MONTH	2025-04	2025-04	42025-04	0	0	0	0	0	0	0	104	118266721.17	0	0	0
MONTH	2025-05	2025-05	42025-05	0	0	0	0	0	0	0	104	108004085.78	0	0	0
MONTH	2025-06	2025-06	42025-06	10	2318764.08	159075.92	2477840	2	2	261931	131	81508337.22	2.8448	0	0
MONTH	2025-07	2025-07	42025-07	5	335911.97	17808.05	353720.01	0	0	0	134	118537847.46	0.2834	0	0
MONTH	2025-08	2025-08	42025-08	6	1860567.61	100406.8	1960974.41	2	2	29857.41	193	205788462.31	0.9041	0	0
MONTH	2025-09	2025-09	42025-09	5	723752.87	46156.17	769909.05	0	1	72024	191	138041085.65	0.5243	1	72024
MONTH	2025-10	2025-10	42025-10	4	172182.24	25812.48	197994.72	2	2	151158	212	122686951.62	0.1403	2	151158
MONTH	2025-11	2025-11	42025-11	3	1470109.26	78497.74	1548607	0	0	0	144	106651029.71	1.3784	0	0
MONTH	2025-12	2025-12	42025-12	7	2293344.18	120244.82	2413589	4	4	1154080	159	118803184.71	1.9304	0	0
MONTH	2026-01	2026-01	42026-01	3	889302.28	47390.72	936693	2	2	180502	262	123047057.3	0.7227	0	0
MONTH	2026-02	2026-02	42026-02	0	0	0	0	0	0	0	222	123862067.58	0	0	0
MONTH	2026-03	2026-03	42026-03	0	0	0	0	0	0	0	222	141548208.42	0	0	0
MONTH	2026-04	2026-04	42026-04	2	399235.5	20338.83	419574.33	2	1	386283.78	116	162501801.08	0.2457	0	0
MONTH	2026-05	2026-05	42026-05	1	538261.42	27283.58	565545	1	1	565545	142	171888989.31	0.3131	0	0
MONTH	2026-06	2026-06	42026-06	2	852170.9	43157.1	895328	1	1	717825	77	211390735.59	0.4031	0	0
MONTH	2026-07	2026-07	42026-07	1	9640	482	10122	0	0	0	110	267638960.75	0.0036	0	0
MONTH	2026-08	2026-08	42026-08	0	0	0	0	0	0	0	97	120695458.04	0	0	0
VENDOR	VENDA000001	JIVO WELLNESS PVT LTD [INTERCOMPANY]	5	46	11674105.07	652609.45	12326714.52	14	13	3296024.18	2604	2632351644.75	0.4435	0	0
VENDOR	VENDA000996	S.N. INDUSTRIES [EXTERNAL]	5	3	189137.25	34044.75	223182	2	3	223182	12	797094.12	23.7283	3	223182
