SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_NET	RET_GST	RET_GROSS	RET_DOCS_OPEN	RET_DOCS_NO_CN	RET_GROSS_NO_CN	GRPO_DOCS	GRPO_NET	RET_PCT_OF_GRPO	RET_NOCN_EXT_DOCS	RET_NOCN_EXT_GROSS
TOTAL	ALL	All goods returns	1	103	6476726.51	984582.83	7461309.34	8	19	1330874	6793	7462222486.32	0.0868	10	654937
CLASS	BRANCH	BRANCH	2BRANCH	0	0	0	0	0	0	0	759	582761456.04	0	0	0
CLASS	EXTERNAL	EXTERNAL	2EXTERNAL	94	5865157.16	920215.18	6785372.34	8	10	654937	6003	6871617709.8	0.0854	10	654937
CLASS	INTERCOMPANY	INTERCOMPANY	2INTERCOMPANY	0	0	0	0	0	0	0	11	5020600.42	0	0	0
CLASS	INTERNAL_ADJ	INTERNAL_ADJ	2INTERNAL_ADJ	9	611569.34	64367.66	675937	0	9	675937	20	2822720.06	21.666	0	0
CREDIT_NOTE	HAS_CREDIT_NOTE	HAS_CREDIT_NOTE	3HAS_CREDIT_NOTE	84	5303848.5	826586.84	6130435.34	1	0	0	NULL	NULL	NULL	0	0
CREDIT_NOTE	NO_CREDIT_NOTE	NO_CREDIT_NOTE	3NO_CREDIT_NOTE	19	1172878.01	157995.99	1330874	7	19	1330874	NULL	NULL	NULL	10	654937
MONTH	2024-10	2024-10	42024-10	2	16527	2919.24	19446.24	0	0	0	393	417057455.04	0.004	0	0
MONTH	2024-11	2024-11	42024-11	5	46245	8324.1	54569.1	0	0	0	343	354183561.21	0.0131	0	0
MONTH	2024-12	2024-12	42024-12	5	635263.3	35440.7	670704	0	0	0	304	398708664.62	0.1593	0	0
MONTH	2025-01	2025-01	42025-01	2	133300	23994	157294	0	1	8614	293	374835263.29	0.0356	1	8614
MONTH	2025-02	2025-02	42025-02	3	27398.28	4931.72	32330	0	0	0	290	402647478.58	0.0068	0	0
MONTH	2025-03	2025-03	42025-03	2	106007.56	19081.44	125089	0	0	0	362	416960006.52	0.0254	0	0
MONTH	2025-04	2025-04	42025-04	0	0	0	0	0	0	0	262	419366212.92	0	0	0
MONTH	2025-05	2025-05	42025-05	1	233.07	41.93	275	0	1	275	299	289254445.74	0.0001	1	275
MONTH	2025-06	2025-06	42025-06	4	79518.52	14313.48	93832	0	0	0	269	310694753.55	0.0256	0	0
