ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	9492	2026078243	2026-07-31	2026-07	22	0-30	O	VENDA001306	STOCK GOODS RECEIPTS	PURCHASE	INTERNAL_ADJ	2	FACTORY	BH-FR	ARVINDER VG APPROVAL(FRR)	NULL	5	5	0	24061901.42	4327683.58	28389585	24061900.98	4327682.86	28389583.84	N	0	NULL	NULL
UNBILLED	6528	2025128147	2025-12-08	2025-12	257	181-365	O	VENDA001209	TULA ENGINEERING PRIVATE LIMITED	SERVICE	EXTERNAL	2	FACTORY	BH-FA	U-III/25-26/114/cancel	1225228033	1	1	0	2500000	450000	2950000	2500000	450000	2950000	N	0	NULL	NULL
UNBILLED	9954	2026088101	2026-08-17	2026-08	5	0-30	O	VENDA000758	NATIONAL POLYPLAST INDIA PVT LTD	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	TI0372600573	826228005	1	1	0	1852200	333396	2185596	1852200	333396	2185596	N	0	NULL	NULL
UNBILLED	9894	2026088061	2026-08-17	2026-08	5	0-30	O	VENDA001441	MD PACKAGING INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	SIMDI/2627/00339	826228007,826228016	2	2	0	1236239.8	222523.2	1458763	1236240	222523.2	1458763.2	N	0	NULL	NULL
UNBILLED	9698	2026068343	2026-06-02	2026-06	81	61-90	O	VENDA000965	J. PEE ENGINEERS & PACKAGING PVT. LTD.	FIXED ASSETS	EXTERNAL	2	FACTORY	BH-FA	JPEE/2026-27/765	626228029	1	1	0	1205000	216900	1421900	1205000	216900	1421900	N	0	NULL	NULL
UNBILLED	9784	2026088011	2026-08-08	2026-08	14	0-30	O	VENDA000189	VFORM TECHNOPACKS  LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	VTLR-26-27-01085	826228002	1	1	0	990000	178200	1168200	990000	178200	1168200	N	0	NULL	NULL
UNBILLED	9870	2026088051	2026-08-11	2026-08	11	0-30	O	VENDA001441	MD PACKAGING INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	SIMD1/2627/00326	826228007	1	1	0	988992.44	178018.56	1167011	988992	178018.56	1167010.56	N	0	NULL	NULL
UNBILLED	9622	2026088005	2026-08-05	2026-08	17	0-30	O	VENDA000601	FRYSTAL PET PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	NINV/26-27/0810	726228017	1	1	0	973486.51	175227.49	1148714	973486.08	175246.85	1148732.93	N	0	NULL	NULL
UNBILLED	9943	2026088099	2026-08-20	2026-08	2	0-30	O	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	SN/26-27/476	526228005,526228020,826228006	5	5	0	555215.26	99938.74	655154	555215.2	99925.91	655141.11	N	0	NULL	NULL
UNBILLED	9543	2026088002	2026-08-03	2026-08	19	0-30	O	VENDA001056	S.N. INDUSTRIES	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	SN/26-27/407	726228026	1	1	0	348155.1	62667.9	410823	348155	62629	410784	N	0	NULL	NULL
