ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	13761	2008264599	2026-08-19	2026-08	3	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080412	826224584	1	1	0	1800000	90000	1890000	1800000	90000	1890000	N	0	NULL	NULL
UNBILLED	13770	2008264605	2026-08-21	2026-08	1	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080448	826224584	1	1	0	1440000	72000	1512000	1440000	72000	1512000	N	0	NULL	NULL
UNBILLED	13772	2008264606	2026-08-21	2026-08	1	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080449	826224584	1	1	0	1440000	72000	1512000	1440000	72000	1512000	N	0	NULL	NULL
UNBILLED	13769	2008264604	2026-08-20	2026-08	2	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080432	826224586	4	4	0	1378410.5	68920.5	1447331	1378410	68920.5	1447330.5	N	0	NULL	NULL
UNBILLED	13764	2008264601	2026-08-21	2026-08	1	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080461	826224584	1	1	0	1360000	68000	1428000	1360000	68000	1428000	N	0	NULL	NULL
UNBILLED	13752	2008264594	2026-08-20	2026-08	2	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080430	826224584	1	1	0	1296000	64800	1360800	1296000	64800	1360800	N	0	NULL	NULL
UNBILLED	13766	2008264602	2026-08-22	2026-08	0	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080445	826224584	1	1	0	1296000	64800	1360800	1296000	64800	1360800	N	0	NULL	NULL
UNBILLED	13767	2008264603	2026-08-22	2026-08	0	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080446	826224584	1	1	0	1296000	64800	1360800	1296000	64800	1360800	N	0	NULL	NULL
UNBILLED	13753	2008264595	2026-08-21	2026-08	1	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080441	826224584	1	1	0	1280000	64000	1344000	1280000	64000	1344000	N	0	NULL	NULL
UNBILLED	13755	2008264596	2026-08-21	2026-08	1	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080442	826224584	1	1	0	1280000	64000	1344000	1280000	64000	1344000	N	0	NULL	NULL
UNBILLED	13756	2008264597	2026-08-20	2026-08	2	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080427	826224584	1	1	0	1280000	64000	1344000	1280000	64000	1344000	N	0	NULL	NULL
UNBILLED	13757	2008264598	2026-08-20	2026-08	2	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080429	826224584	1	1	0	1280000	64000	1344000	1280000	64000	1344000	N	0	NULL	NULL
UNBILLED	13763	2008264600	2026-08-22	2026-08	0	0-30	O	VENDA000001	JIVO WELLNESS PVT LTD	PURCHASE	INTERCOMPANY	2	HARYANA	GP-FGM	626080463	826224590	1	1	0	768000	38400	806400	768000	38400	806400	N	0	NULL	NULL
UNBILLED	13315	2007264574	2026-07-01	2026-07	52	31-60	O	VENDA001019	ABHIMAN EXPRESS	TRANSPORTER	EXTERNAL	2	HARYANA	(none)	DEL/260465	NULL	2	2	2	160872	0	160872	160872	8043.6	168915.6	N	0	NULL	NULL
