ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	25930	2026086722	2026-08-20	2026-08	2	0-30	O	VENDA000614	DHANLAXMI EDIBLES PRIVATE LIMITED	PURCHASE OIL	EXTERNAL	2	FACTORY	BH-GJ	GT/1199	220826056	1	1	0	6963600	348180	7311780	6963600	348180	7311780	N	0	NULL	NULL
UNBILLED	25935	2026086723	2026-08-21	2026-08	1	0-30	O	VENDA001607	VAISHNODEVI REFOILS & SOLVEX PRIVATE LIMITED	PURCHASE OIL	EXTERNAL	2	FACTORY	BH-GJ	VRSPL/2627/1361	220826069	1	1	0	6430930.5	321546.5	6752477	6430930	321546.5	6752476.5	N	0	NULL	NULL
UNBILLED	25929	2026086721	2026-08-21	2026-08	1	0-30	O	VENDA001695	M/S ARORA AGRI BUSINESS VENTURES	PURCHASE OIL	EXTERNAL	2	FACTORY	BH-GJ	AABV/26-27/257	220826034	1	1	0	5826640	291332	6117972	5826640	291332	6117972	N	0	NULL	NULL
UNBILLED	25863	2026086689	2026-08-20	2026-08	2	0-30	O	VENDA000224	AWL AGRI BUSINESS LIMITED	PURCHASE OIL	EXTERNAL	2	FACTORY	BH-GJ	192426057119	220826006	1	1	0	5811000	290550	6101550	5811000	290550	6101550	N	0	NULL	NULL
UNBILLED	25865	2026086690	2026-08-19	2026-08	3	0-30	O	VENDA000224	AWL AGRI BUSINESS LIMITED	PURCHASE OIL	EXTERNAL	2	FACTORY	BH-GJ	192426056085	220826006	1	1	0	5635180	281759	5916939	5635180	281759	5916939	N	0	NULL	NULL
UNBILLED	25936	2026086724	2026-08-22	2026-08	0	0-30	O	VENDA000224	AWL AGRI BUSINESS LIMITED	PURCHASE OIL	EXTERNAL	2	FACTORY	BH-GJ	192426057356	220826006	1	1	0	4465530.5	223276.5	4688807	4465530	223276.5	4688806.5	N	0	NULL	NULL
UNBILLED	25760	2026086645	2026-08-13	2026-08	9	0-30	O	VENDA001443	WILLUS INFRASTRUCTURE PRIVATE LIMITED	SERVICE	EXTERNAL	2	FACTORY	BH-FA	WIP26-27/SI/674	220726007	1	1	0	2299584	0	2299584	2299584	0	2299584	N	0	NULL	NULL
UNBILLED	25919	2026086719	2026-08-19	2026-08	3	0-30	O	VENDA001443	WILLUS INFRASTRUCTURE PRIVATE LIMITED	SERVICE	EXTERNAL	2	FACTORY	BH-FA	WIP26-27/SI/701	220726007	1	1	0	2047536	0	2047536	2047536	0	2047536	N	0	NULL	NULL
UNBILLED	25512	2026086552	2026-08-07	2026-08	15	0-30	O	VENDA000601	FRYSTAL PET PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	NINV/26-27/0817	220726016	1	1	0	1188810.2	213985.8	1402796	1188810	213985.8	1402795.8	N	0	NULL	NULL
UNBILLED	25543	2026086559	2026-08-08	2026-08	14	0-30	O	VENDA000601	FRYSTAL PET PRIVATE LIMITED	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	NINV/26-27/0827	220526084	1	1	0	1149120.4	206841.6	1355962	1149120	206841.6	1355961.6	N	0	NULL	NULL
