SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
TOTAL	ALL	All GRPOs	1	4566	6780	210555968.45	34111228.46	244667196.91	234	313	37530488.57	6577090.59	44107579.16	39001634.16	129918.52	1426700.6	461385.14	2968191.75	119748.99	26	3549325.88	206	1234737.92	2024-10-04	687	51	115	3503177.4	0	0	0	4282	284	47610755.56	4282	909	21.23	13.03	8	4495	209725071.14	227	15644977.48	22	3536783.09
CLASS	EXTERNAL	EXTERNAL	2	4495	6462	180901387.55	28823683.59	209725071.14	227	269	13405957.08	2239020.4	15644977.48	10551575.27	129918.52	1426700.6	459766.04	2968191.75	108825.3	22	3536783.09	206	1234737.92	2024-10-04	687	39	75	668136.35	0	0	0	4230	265	16313112.83	4230	876	20.71	13.14	8	4495	209725071.14	227	15644977.48	22	3536783.09
CLASS	INTERNAL_ADJ	INTERNAL_ADJ	2	16	79	26540017.87	4746701.17	31286719.04	4	39	24114826.43	4336851.56	28451678	28450058.9	0	0	1619.1	0	0	1	1619.1	0	0	2026-03-27	148	12	40	2835041.05	0	0	0	0	16	31286719.04	0	0	NULL	NULL	NULL	0	0	0	0	0	0
CLASS	BRANCH	BRANCH	2	55	239	3114563.03	540843.7	3655406.73	3	5	9705.06	1218.63	10923.69	0	0	0	0	0	10923.69	3	10923.69	0	0	2024-12-06	624	0	0	0	0	0	0	52	3	10923.69	52	33	63.46	4.63	0	0	0	0	0	0	0
MONTH	2024-09	2024-09	3	1	1	7969.5	1434.51	9404.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	0	0	61	61	1	9404.01	0	0	0	0
MONTH	2024-10	2024-10	3	42	95	3297204.98	563407.46	3860612.44	1	1	3600	648	4248	0	0	0	0	0	4248	1	4248	0	0	2024-10-04	687	3	20	177942.23	0	0	0	38	4	182190.23	38	24	63.16	12.53	0	39	3751126.14	1	4248	1	4248
MONTH	2024-11	2024-11	3	156	221	4719143.24	691992.71	5411135.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	156	0	0	156	33	21.15	34.55	30	154	5308015.77	0	0	0	0
MONTH	2024-12	2024-12	3	102	158	4133699.36	668986.93	4802686.29	1	1	901.02	162.18	1063.2	0	0	0	0	0	1063.2	1	1063.2	0	0	2024-12-06	624	1	1	3735.2	0	0	0	100	2	4798.4	100	32	32	8.14	8	96	4414359.88	0	0	0	0
MONTH	2025-01	2025-01	3	155	292	5501974	923319.06	6425293.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	155	0	0	155	65	41.94	7.21	4	151	6153250.23	0	0	0	0
MONTH	2025-02	2025-02	3	129	225	8076606.85	1403517.74	9480124.59	1	1	4500	810	5310	0	0	0	0	0	5310	1	5310	0	0	2025-02-07	561	4	10	98154.77	0	0	0	124	5	103464.77	124	53	42.74	8.15	3.5	122	8504833.31	1	5310	1	5310
MONTH	2025-03	2025-03	3	191	429	10013295.14	1642149.28	11655444.42	1	2	70685	12723.3	83408.3	0	0	0	0	0	83408.3	1	83408.3	0	0	2025-03-05	535	1	2	7587.15	0	0	0	189	2	90995.45	189	80	42.33	15.03	3	181	10646253.26	1	83408.3	1	83408.3
MONTH	2025-04	2025-04	3	206	320	8271626.38	1308534.19	9580160.57	1	1	6500	1170	7670	0	0	0	0	0	7670	1	7670	0	0	2025-04-17	492	6	6	32425	0	0	0	200	6	40094	200	51	25.5	20.85	11	205	9566203.51	1	7670	1	7670
MONTH	2025-05	2025-05	3	244	382	10940232.42	1625307.85	12565540.27	4	6	16093.04	1056.45	17149.49	0	0	0	0	0	17149.49	4	17149.49	0	0	2025-05-15	464	6	6	141517.94	0	0	0	234	10	158667.43	234	58	24.79	18.55	13	239	12524067.3	2	7289	2	7289
MONTH	2025-06	2025-06	3	271	395	8846684.03	1285173.62	10131857.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	1	1	5533.5	0	0	0	270	1	5533.5	270	63	23.33	11.95	7	268	10070518.29	0	0	0	0
MONTH	2025-07	2025-07	3	261	351	10111761.2	1571286.06	11683047.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	3	3	31185	0	0	0	258	3	31185	258	55	21.32	10.91	8	260	11656072.23	0	0	0	0
MONTH	2025-08	2025-08	3	217	283	7608252.41	1189614.16	8797866.57	1	1	900	0	900	0	0	0	0	0	900	1	900	0	0	2025-08-06	381	2	3	98432.7	0	0	0	214	3	99332.7	214	40	18.69	14.14	10	215	8648826.42	1	900	1	900
