SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
TOTAL	ALL	All GRPOs	1	3018	14161	2797361430.19	142111488.6	2939472918.79	44	83	18696822.37	962429.41	19659251.78	18894529.5	581643.76	44473.02	0	138605.51	0	3	138605.51	63	1466515.78	2025-09-13	343	3	7	4151699.64	1	1	72024.25	2971	47	23882954.67	2971	2500	84.15	1.48	0	294	51752167.71	31	1605121.28	3	138605.51
CLASS	INTERCOMPANY	INTERCOMPANY	2	2606	13156	2632437526.42	133258605.85	2765696132.27	13	16	17194410	859720.5	18054130.5	18054130.5	0	0	0	0	0	0	0	0	0	2026-08-19	3	0	0	0	0	0	0	2593	13	18054130.5	2593	2277	87.81	0.93	0	0	0	0	0	0	0
CLASS	BRANCH	BRANCH	2	118	421	116201319.66	5823299.15	122024618.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	118	0	0	118	72	61.02	1.59	0	0	0	0	0	0	0
CLASS	EXTERNAL	EXTERNAL	2	294	584	48722584.11	3029583.6	51752167.71	31	67	1502412.37	102708.91	1605121.28	840399	581643.76	44473.02	0	138605.51	0	3	138605.51	63	1466515.78	2025-09-13	343	3	7	4151699.64	1	1	72024.25	260	34	5828824.17	260	151	58.08	6.88	0	294	51752167.71	31	1605121.28	3	138605.51
MONTH	2025-01	2025-01	3	117	1224	117383419.93	6267526.8	123650946.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	3	7	4151699.64	0	0	0	114	3	4151699.64	114	87	76.32	4.55	0	7	8166559.68	0	0	0	0
MONTH	2025-02	2025-02	3	93	553	116110832.24	6290047.21	122400879.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	93	0	0	93	82	88.17	-0.8	0	11	9103136.22	0	0	0	0
MONTH	2025-03	2025-03	3	111	702	119724327.31	6208984.84	125933312.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	111	0	0	111	96	86.49	0.43	0	18	16464347.68	0	0	0	0
MONTH	2025-04	2025-04	3	104	780	118266734.73	6024373.96	124291108.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	104	0	0	104	91	87.5	0.51	0	5	8750414.48	0	0	0	0
MONTH	2025-05	2025-05	3	104	687	108004100.69	5474406.98	113478507.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	104	0	0	104	69	66.35	4.88	0	2	24327.02	0	0	0	0
MONTH	2025-06	2025-06	3	131	667	81508361.67	4227804.26	85736165.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	131	0	0	131	98	74.81	3.88	0	25	561691.4	0	0	0	0
MONTH	2025-07	2025-07	3	134	739	118536179.45	6026569.93	124562749.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	134	0	0	134	76	56.72	3.71	0	16	347524.69	0	0	0	0
MONTH	2025-08	2025-08	3	193	755	205787388.27	10395617.78	216183006.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	1	1	72024.25	192	1	72024.25	192	166	86.46	3.61	0	9	193480.47	0	0	0	0
MONTH	2025-09	2025-09	3	191	800	138041072.22	6953564.1	144994636.32	1	1	61037.5	10986.75	72024.25	0	0	0	0	72024.25	0	1	72024.25	0	0	2025-09-13	343	0	0	0	0	0	0	190	1	72024.25	190	164	86.32	1.92	0	10	327244.84	1	72024.25	1	72024.25
MONTH	2025-10	2025-10	3	212	930	122686957.47	6192006.01	128878963.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	212	0	0	212	156	73.58	1.04	0	8	384320.69	0	0	0	0
MONTH	2025-11	2025-11	3	144	799	106651038.77	5344298.97	111995337.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	144	0	0	144	137	95.14	0.17	0	4	106194.44	0	0	0	0
MONTH	2025-12	2025-12	3	159	948	118803201.95	6050988.09	124854190.04	1	1	20	1	21	0	0	0	0	21	0	1	21	0	0	2025-12-01	264	0	0	0	0	0	0	159	0	0	159	141	88.68	1.13	0	12	581984.31	1	21	1	21
MONTH	2026-01	2026-01	3	262	1242	123046622.66	6205971.64	129252594.3	1	2	63390.72	3169.54	66560.26	0	0	0	0	66560.26	0	1	66560.26	0	0	2026-01-19	215	0	0	0	0	0	0	261	1	66560.26	261	223	85.44	0.84	0	17	548630.23	1	66560.26	1	66560.26
MONTH	2026-02	2026-02	3	222	1044	123862070.19	6237563.36	130099633.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	222	0	0	222	209	94.14	0.18	0	11	405062.63	0	0	0	0
MONTH	2026-03	2026-03	3	222	933	141548210.74	7112167.85	148660378.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	222	0	0	222	192	86.49	0.53	0	25	710572.67	0	0	0	0
MONTH	2026-04	2026-04	3	116	452	162501801.71	8150151.81	170651953.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	116	0	0	116	113	97.41	0.21	0	8	271908.75	0	0	0	0
MONTH	2026-05	2026-05	3	142	244	171888987.42	8661460.72	180550448.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	142	0	0	142	132	92.96	0.17	0	15	703611.44	0	0	0	0
MONTH	2026-06	2026-06	3	80	194	211467182.48	10609722.63	222076905.11	3	5	76451	13761.18	90212.18	0	45739.16	44473.02	0	0	0	0	0	5	90212.18	2026-06-20	63	0	0	0	0	0	0	77	3	90212.18	77	73	94.81	0.13	0	8	292884.02	3	90212.18	0	0
MONTH	2026-07	2026-07	3	181	352	270704497.39	13633216.4	284337713.79	22	52	1158527.15	67641.15	1226168.3	690263.7	535904.6	0	0	0	0	0	0	52	1226168.3	2026-07-01	52	0	0	0	0	0	0	159	22	1226168.3	159	113	71.07	2.67	0	78	3629788.44	22	1226168.3	0	0
MONTH	2026-08	2026-08	3	100	116	120838442.9	6045045.27	126883488.17	16	22	17337396	866869.8	18204265.8	18204265.8	0	0	0	0	0	0	0	6	150135.3	2026-08-01	21	0	0	0	0	0	0	84	16	18204265.8	84	82	97.62	0.04	0	5	178483.62	3	150135.3	0	0
BRANCH	2	HARYANA	4	1192	3812	1524814749.71	76566555.81	1601381305.51	37	72	18527322.5	940162.83	19467485.33	18894529.5	500931.58	0	0	72024.25	0	1	72024.25	55	1341330.58	2025-09-13	343	0	0	0	1	1	72024.25	1154	38	19539509.58	1154	1000	86.66	1.09	0	74	3563654.41	24	1413354.83	1	72024.25
BRANCH	1	DELHI	4	1759	9877	1251808998.95	64508048.9	1316317047.85	7	11	169499.87	22266.58	191766.45	0	80712.18	44473.02	0	66581.26	0	2	66581.26	8	125185.2	2025-12-01	264	3	7	4151699.64	0	0	0	1750	9	4343445.09	1750	1437	82.11	1.75	0	220	48188513.3	7	191766.45	2	66581.26
BRANCH	3	PUNJAB	4	63	453	18085730.48	904286.34	18990016.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	63	0	0	63	59	93.65	1.21	0	0	0	0	0	0	0
BRANCH	5	KARNATAKA	4	4	19	2651951.05	132597.55	2784548.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	4	0	0	4	4	100	0	0	0	0	0	0	0	0
