SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
TOTAL	ALL	All GRPOs	1	10663	22904	7519891389	355025191.32	7874916580.32	314	651	59966091.66	4837600.44	64803692.11	62813453.14	1187341.78	507356.14	93442.29	171195.79	30902.97	37	295541.05	178	1673571.67	2024-10-28	663	142	323	5991356.27	3	3	594165.12	10235	428	71245158.14	10235	5269	51.48	14.09	0	9873	7253916120.84	313	64801676.11	36	293525.05
CLASS	EXTERNAL	EXTERNAL	2	9873	19835	6929286608.32	324629512.52	7253916120.84	313	650	59964291.66	4837384.44	64801676.11	62813453.14	1187341.78	507356.14	93442.29	171195.79	28886.97	36	293525.05	178	1673571.67	2024-10-28	663	122	198	2988997.12	3	3	594165.12	9466	407	68240782.99	9466	4960	52.4	14.79	0	9873	7253916120.84	313	64801676.11	36	293525.05
CLASS	BRANCH	BRANCH	2	759	2933	582761455.84	29882287.93	612643743.76	1	1	1800	216	2016	0	0	0	0	0	2016	1	2016	0	0	2025-08-04	383	0	0	0	0	0	0	758	1	2016	758	306	40.37	4.94	1	0	0	0	0	0	0
CLASS	INTERCOMPANY	INTERCOMPANY	2	11	11	5020600.49	333756.08	5354356.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	11	0	0	11	3	27.27	47.45	52	0	0	0	0	0	0
CLASS	INTERNAL_ADJ	INTERNAL_ADJ	2	20	125	2822724.36	179634.79	3002359.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	20	125	3002359.15	0	0	0	0	20	3002359.15	0	0	NULL	NULL	NULL	0	0	0	0	0	0
MONTH	2024-09	2024-09	3	1	1	239260	43066.8	282326.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	0	0	61	61	1	282326.8	0	0	0	0
MONTH	2024-10	2024-10	3	410	887	417336775.82	21782650.21	439119426.03	1	2	4800	720	5520	0	0	0	0	0	5520	1	5520	0	0	2024-10-28	663	2	2	6450.53	0	0	0	407	3	11970.53	407	241	59.21	12.79	0	299	327784987.6	1	5520	1	5520
MONTH	2024-11	2024-11	3	656	1217	359504539.18	20100223.01	379604762.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	13	26	226641.3	1	1	8614	646	10	235255.3	646	256	39.63	24.68	11	602	329255183.19	0	0	0	0
MONTH	2024-12	2024-12	3	453	1134	400474496.54	18291723.72	418766220.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	5	5	36162.39	0	0	0	451	2	35859.99	451	237	52.55	10.67	0	399	357219081.52	0	0	0	0
MONTH	2025-01	2025-01	3	502	1043	377948248.59	16157257.48	394105506.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	6	6	55617.65	0	0	0	498	4	55617.65	498	243	48.8	14.28	1	451	354938329.72	0	0	0	0
MONTH	2025-02	2025-02	3	525	1082	407009737.53	20695441.81	427705179.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	17	18	138361.64	0	0	0	517	8	136914.54	517	287	55.51	16.54	0	482	381663763.78	0	0	0	0
MONTH	2025-03	2025-03	3	614	1267	419874452.55	20833030.84	440707483.39	1	1	6308	0	6308	0	0	0	0	0	6308	1	6308	0	0	2025-03-25	515	10	10	159484.32	0	0	0	608	6	165790.32	608	331	54.44	25.37	0	556	388107580.81	1	6308	1	6308
MONTH	2025-04	2025-04	3	421	909	421744514.83	15932168.15	437676682.98	2	3	401	0	401	0	0	0	0	0	401	2	401	1	1	2025-04-23	486	6	6	25268.15	0	0	0	416	5	25666.15	416	203	48.8	15.25	0	379	392376007.6	2	401	2	401
