DOCTYPE	SIDE	SGN	OBJ_TYPE	DOC_ENTRY	DOC_NUM	EXT_REF	CARD_CODE	CARD_NAME	CARD_TYPE	BP_GROUP	ACCT_KIND	IS_GROUP	BPL_ID	BPL_NAME	DOC_DATE	DUE_DATE	DAYS_OVERDUE	AGE_DAYS	AGE_BUCKET	IS_MIGRATED	DOC_TOTAL	APPLIED	OPEN_AMT	SIGNED_OPEN	CURRENCY	OPEN_AMT_FC	OITR_RECON_AMT	OITR_LINES	RECON_STATE	CARD_BALANCE	CARD_OPEN_NET	CARD_OPEN_GROSS	CARD_STALE_GAP	CARD_REAL_PCT	ITEM_REAL_EST	SIZE_RANK	DT_SIZE_RANK	DT_ITEMS_ALL	DT_OPEN_ALL	DT_ITEMS_SHOWN	DT_OPEN_SHOWN	CO_ITEMS_ALL	CO_ITEMS_SHOWN	CO_OPEN_ALL	CO_OPEN_SHOWN	CO_OPEN_NET	CO_OCRD_NET	CO_STALE_GAP	CO_MIGRATED_OPEN	AS_OF
AR_INV	AR	1	13	34866	1602201113	TRANSID-24401	CUSTA000891	FUTURE RETAIL LTD.	C	PAN INDIA	TRADE	0	1	DELHI	2024-09-30	2020-02-19	2376	691	6_365+	1	2273858	0	2273858	2273858	INR	0	0	0	NONE	9456961.88	9453887.88	9453887.88	-3074	100	2273858	462	93	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	34900	1603201254	TRANSID-28199	CUSTA000891	FUTURE RETAIL LTD.	C	PAN INDIA	TRADE	0	1	DELHI	2024-09-30	2020-04-30	2305	691	6_365+	1	3146393	0	3146393	3146393	INR	0	0	0	NONE	9456961.88	9453887.88	9453887.88	-3074	100	3146393	325	47	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5303	607201005	3.5212E+13	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2020-07-15	2229	691	6_365+	1	28134776.68	0	28134776.68	-28134776.68	USD	365149.6	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	379.84	53	27	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5492	610201009	35212001000490	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2020-10-22	2130	691	6_365+	1	30536308.11	0	30536308.11	-30536308.11	USD	402322.9	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	412.26	47	24	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5309	612201011	34436	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2020-12-23	2068	691	6_365+	1	38425874.22	0	38425874.22	-38425874.22	USD	514402.6	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	518.78	41	19	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5299	602211006	34570	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-02-18	2011	691	6_365+	1	19019938.8	0	19019938.8	-19019938.8	USD	257026.2	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	256.78	72	37	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5300	603211024	34755	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-03-08	1993	691	6_365+	1	40657543.75	0	40657543.75	-40657543.75	USD	557410.8	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	548.91	38	16	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5301	603211052	34863	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-03-31	1970	691	6_365+	1	43932542.4	0	43932542.4	-43932542.4	USD	598944	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	593.12	33	13	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5304	607211025	35268	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-07-01	1878	691	6_365+	1	26650558.94	0	26650558.94	-26650558.94	USD	357485.7	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	359.8	55	29	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5305	608211013	35452	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-08-16	1832	691	6_365+	1	26848250	0	26848250	-26848250	USD	357500	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	362.47	54	28	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5306	608211016	35453	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-08-16	1832	691	6_365+	1	25534000	0	25534000	-25534000	USD	340000	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	344.73	57	30	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	5307	610211017	35663	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2021-10-12	1775	691	6_365+	1	48239100	0	48239100	-48239100	USD	648375	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	651.26	24	9	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	34835	601224001	TRANSID-101683	CUSTA000908	ABU DHABI VEGETABLE OIL COMPANY LLC	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2022-01-12	1683	691	6_365+	1	13468407.55	0	13468407.55	13468407.55	INR	0	0	0	NONE	0	205603.03	265461627.73	205603.03	0	0.13	93	9	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_RCT	AR	-1	24	5648	1602221286		CUSTA000908	ABU DHABI VEGETABLE OIL COMPANY LLC	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2022-02-08	1656	691	6_365+	1	13593571.86	0	13593571.86	-13593571.86	INR	0	0	0	NONE	0	205603.03	265461627.73	205603.03	0	0.13	91	6	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	34904	1603224001	TRANSID-108633	CUSTA000908	ABU DHABI VEGETABLE OIL COMPANY LLC	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2022-03-05	1631	691	6_365+	1	13915980.23	0	13915980.23	13915980.23	INR	0	0	0	NONE	0	205603.03	265461627.73	205603.03	0	0.14	89	8	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_RCT	AR	-1	24	5649	1603221415		CUSTA000908	ABU DHABI VEGETABLE OIL COMPANY LLC	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2022-03-23	1613	691	6_365+	1	13963810.25	0	13963810.25	-13963810.25	INR	0	0	0	NONE	0	205603.03	265461627.73	205603.03	0	0.14	88	5	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_RCT	AP	-1	24	6855	1603221418		VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2022-03-26	1610	691	6_365+	1	2611586.25	0	2611586.25	-2611586.25	USD	34125	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	35.26	380	53	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_CN	AR	-1	14	2930	1603225031	TRANSID-113278	CUSTA000586	HANDS ON TRADE PVT LTD	C	PAN INDIA	TRADE	0	1	DELHI	2024-09-30	2022-03-29	1607	691	6_365+	1	96791.6	0	96791.6	-96791.6	INR	0	0	0	NONE	0	-92771.39	7017373.63	-92771.39	0	0	3244	26	1683	12394248.13	147	9720958.33	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_CN	AP	1	19	597	220710005	MCPL/22-23/107	VENDA001074	MIRACLE CONTAINER PVT. LTD.	S	PURCHASE	TRADE	0	1	DELHI	2024-09-30	2022-07-10	1504	691	6_365+	1	15941	0	15941	15941	INR	0	0	0	NONE	15941	15941	15941	0	100	15941	6313	13	318	3401633	20	3158570	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	2619	220910317		VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2022-09-14	1438	691	6_365+	1	2674642680	0	2674642680	2674642680	USD	33466500	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	36109.6	4	4	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	4428	221110181	37247	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2022-11-21	1370	691	6_365+	1	33660766.5	0	33660766.5	-33660766.5	USD	418666.25	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	454.44	46	23	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	16420	623021165	TRANSID-184739	CUSTA000041	BLESSING ADVERTISING PVT LTD B SAHIB	C	PUNJAB	TRADE	0	1	DELHI	2024-09-30	2023-02-18	1281	691	6_365+	1	1195517	0	1195517	1195517	INR	0	0	0	NONE	739630	2698318	31278318	1958688	27.4108	327700.53	1345	590	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_RCT	AR	-1	24	5628	230310132		CUSTA000907	QATAR LUBRICANTS COMPANY	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2023-03-02	1269	691	6_365+	1	5429336	0	5429336	-5429336	INR	0	0	0	NONE	-0.01	-123150.8	143721029.92	-123150.79	0	0.22	240	37	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	34836	623035001	TRANSID-194032	CUSTA000907	QATAR LUBRICANTS COMPANY	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2023-03-15	1256	691	6_365+	1	11652481.5	0	11652481.5	11652481.5	INR	0	0	0	NONE	-0.01	-123150.8	143721029.92	-123150.79	0	0.47	109	12	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_RCT	AR	-1	24	5629	230410133		CUSTA000907	QATAR LUBRICANTS COMPANY	C	EXPORT	TRADE	0	1	DELHI	2024-09-30	2023-04-05	1235	691	6_365+	1	6260399.4	0	6260399.4	-6260399.4	INR	0	0	0	NONE	-0.01	-123150.8	143721029.92	-123150.79	0	0.25	180	20	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	16441	623051020	TRANSID-200201	CUSTA000041	BLESSING ADVERTISING PVT LTD B SAHIB	C	PUNJAB	TRADE	0	1	DELHI	2024-09-30	2023-05-03	1207	691	6_365+	1	1170000	0	1170000	1170000	INR	0	0	0	NONE	739630	2698318	31278318	1958688	27.4108	320706.12	1363	600	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_CN	AR	-1	14	1887	623052011	TRANSID-205066	CUSTA000249	NATURE FIT HEALTHTECH PVT LTD	C	MAHARASHTRA	TRADE	0	1	DELHI	2024-09-30	2023-05-31	1179	691	6_365+	1	26373	0	26373	-26373	INR	0	0	0	NONE	-656.54	0.21	52746.21	656.75	100	26373	5314	71	1683	12394248.13	147	9720958.33	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	2655	230610217		VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2023-06-02	1177	691	6_365+	1	3399825800	0	3399825800	3399825800	USD	41230000	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	45900.09	2	2	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	16445	623061059	TRANSID-206234	CUSTA000041	BLESSING ADVERTISING PVT LTD B SAHIB	C	PUNJAB	TRADE	0	1	DELHI	2024-09-30	2023-06-07	1172	691	6_365+	1	1165710	0	1165710	1165710	INR	0	0	0	NONE	739630	2698318	31278318	1958688	27.4108	319530.2	1365	602	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	2652	230610123		VENDA001003	SANJEEV SAHNI (HUF)	S	SERVICE	TRADE	0	1	DELHI	2024-09-30	2023-06-12	1167	691	6_365+	1	84691	0	84691	84691	INR	0	0	0	NONE	-76049.62	38630	2468466	114679.62	100	84691	3361	291	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	2659	230710117		VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2023-07-06	1143	691	6_365+	1	3413858450	0	3413858450	3413858450	USD	41315000	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	46089.54	1	1	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	16456	623071124	TRANSID-211990	CUSTA000041	BLESSING ADVERTISING PVT LTD B SAHIB	C	PUNJAB	TRADE	0	1	DELHI	2024-09-30	2023-07-15	1134	691	6_365+	1	1560000	0	1560000	1560000	INR	0	0	0	NONE	739630	2698318	31278318	1958688	27.4108	427608.16	804	264	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_CN	AR	-1	14	405	723071016	TRANSID-213745	CUSTA000484	ONLINE SALE WEBSITE	C	DELHI	TRADE	0	1	DELHI	2024-09-30	2023-07-26	1123	691	6_365+	1	11777	0	11777	-11777	INR	0	0	0	NONE	0	-478638	10805974	-478638	0	0	7059	126	1683	12394248.13	147	9720958.33	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	4499	230710146	38451	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2023-07-30	1119	691	6_365+	1	41513373	0	41513373	-41513373	USD	499860	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	560.46	35	15	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	2663	230810390		VENDA001003	SANJEEV SAHNI (HUF)	S	SERVICE	TRADE	0	1	DELHI	2024-09-30	2023-08-24	1094	691	6_365+	1	200000	0	200000	200000	INR	0	0	0	NONE	-76049.62	38630	2468466	114679.62	100	200000	2662	211	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	4509	230910006	38590	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C	S	PURCHASE OIL	TRADE	0	1	DELHI	2024-09-30	2023-09-01	1086	691	6_365+	1	41776592	0	41776592	-41776592	USD	499720	0	0	NONE	235141.2	17416939683.5	19296201779.5	17416704542.3	0.0014	564.01	34	14	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
