COMPANY_SCHEMA	AS_OF	FAMILY	ACCT_CODE	ACCT_NAME	PARENT_NAME	N_LINES	FIRST_POST	LAST_POST	DAYS_SINCE_LAST_POST	CREATED_CR_L	REVERSED_DR_L	NET_DR_MINUS_CR_L	OUTSTANDING_CR_L	DEBIT_BAL_L	OACT_CURRTOTAL_L	CREATED_FYTD_L	REVERSED_FYTD_L	AGE_0_30_L	AGE_31_90_L	AGE_91_365_L	AGE_365P_L	OLDEST_OPEN_DATE	OLDEST_OPEN_DAYS	CROSSED_YEAREND_L	MIGRATED_OPENING_L	NEVER_REVERSED	DEBIT_BALANCE_FLAG	MANUAL_JE_PCT	PROV_MEMO_CR_L
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180010	PROVISION FOR CLAIMS PAYABLE -RK	PROVISIONS	72	2024-12-31	2026-07-31	22	1394.87	1125.57	-269.3	269.3	0	-269.3	461.74	291.79	174.98	94.33	0	0	2026-05-31	83	0	0	N	N	100	1208.3
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180014	PROVISION FOR JULY	PROVISIONS	12	2025-07-31	2026-07-31	22	138.79	61.16	-77.63	77.63	0	-77.63	77.91	0.29	77.63	0	0	0	2026-07-31	22	0	0	N	N	100	77.91
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180022	PROVISION FOR MARCH	PROVISIONS	44	2026-03-31	2026-06-30	53	177.19	161.21	-15.98	15.98	0	-15.98	47.85	126.29	0	15.98	0	0	2026-06-30	53	0	0	N	N	100	155.47
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180004	PROVISION FOR AUDIT FEES	PROVISIONS	4	2024-12-31	2026-03-31	144	1.45	0.45	-1	1	0	-1	0	0	0	0	0.3	0.7	2024-12-31	599	1	0	N	N	100	0.6
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180013	PROVISION FOR JUNE	PROVISIONS	25	2025-06-30	2026-07-31	22	205.19	205.09	-0.1	0.1	0	-0.1	111.46	111.36	0	0.1	0	0	2026-06-30	53	0	0	N	N	100	111.46
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180009	PROVISION FOR EXPENSES	PROVISIONS	33	2024-12-31	2025-09-30	326	782.59	782.59	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	497.74
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180001	PROVISION FOR DEFERRED TAX	PROVISIONS	2	2025-03-31	2026-03-31	144	0	6.28	6.28	0	6.28	6.28	0	0	0	0	0	0	NULL	NULL	0	0	N	Y	100	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180002	PROVISION FOR GRATUITY	PROVISIONS	0	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	NULL	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180003	PROVISION FOR INCOME TAX	PROVISIONS	6	2025-03-31	2026-03-31	144	97.51	97.51	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180005	PROVISION FOR ELECTRICITY	PROVISIONS	0	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	NULL	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180006	PROVISION FOR PROFESSIONAL EXPENSE	PROVISIONS	0	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	NULL	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180007	PROVISION FOR CASUAL LABOUR	PROVISIONS	0	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	NULL	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180008	PROVISION FOR BAD AND DOUBTFUL DEBTS	PROVISIONS	0	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	NULL	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180011	PROVISION FOR APRIL	PROVISIONS	18	2025-04-30	2026-06-30	53	164.66	164.66	0	0	0	0	97.24	97.24	0	0	0	0	NULL	NULL	0	0	N	N	100	148.59
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180012	PROVISION FOR MAY	PROVISIONS	17	2025-05-31	2026-06-30	53	136.86	136.86	0	0	0	0	72.2	72.2	0	0	0	0	NULL	NULL	0	0	N	N	100	136.86
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180015	PROVISION FOR AUGUST	PROVISIONS	6	2025-08-31	2026-03-31	144	67.65	67.65	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	0
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180016	PROVISION FOR SEPTEMBER	PROVISIONS	6	2025-09-30	2026-03-31	144	63.57	63.57	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	59.04
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180017	PROVISION FOR OCTOBER	PROVISIONS	3	2025-10-31	2025-12-31	234	34.08	34.08	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	34.08
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180018	PROVISION FOR NOVEMBER	PROVISIONS	12	2025-11-30	2026-03-31	144	52.68	52.68	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	52.68
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180019	PROVISION FOR DECEMBER	PROVISIONS	2	2025-12-31	2026-03-31	144	83.58	83.58	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	83.58
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180020	PROVISION FOR JANUARY	PROVISIONS	2	2026-01-31	2026-01-31	203	58.78	58.78	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	58.78
JIVO_MART_HANADB	2026-08-22	A_PROVISIONS	2180021	PROVISION FOR FEBRUARY	PROVISIONS	4	2026-03-01	2026-06-30	53	50.43	50.43	0	0	0	0	1.53	1.53	0	0	0	0	NULL	NULL	0	0	N	N	100	50.43
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161005	SALARY PAYABLE MAY	SALARY PAYABLE	38	2025-05-10	2026-06-10	73	33.09	24.33	-8.76	8.76	0	-8.76	16.73	7.97	0	8.76	0	0	2026-05-31	83	0	0	N	N	73.4	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161006	SALARY PAYABLE JUN	SALARY PAYABLE	66	2025-06-17	2026-07-18	35	30.44	28.86	-1.58	1.58	0	-1.58	12.79	11.21	0	1.58	0	0	2026-06-30	53	0	0	N	N	57.5	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161001	SALARY PAYABLE JAN	SALARY PAYABLE	112	2025-01-14	2026-03-01	174	33.05	32.82	-0.23	0.23	0	-0.23	0	0	0	0	0.23	0	2026-01-31	203	0.23	0	N	N	51.9	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163019	ESIC PAYABLE	EXPENSE PAYABLE	94	2024-12-31	2026-08-13	9	2.86	2.83	-0.02	0.02	0	-0.02	0.37	0.62	0	0.02	0	0	2026-06-30	53	0	0	N	N	89	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163022	COGS PAYABLE	EXPENSE PAYABLE	7	2025-08-31	2025-09-30	326	668.83	668.83	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161002	SALARY PAYABLE FEB	SALARY PAYABLE	83	2025-02-01	2026-05-01	113	38.29	38.92	0.62	0	0.62	0.62	0	0.32	0	0	0	0	NULL	NULL	0	0	N	Y	50.8	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161003	SALARY PAYABLE MAR	SALARY PAYABLE	85	2025-03-31	2026-05-19	95	36.54	37.33	0.8	0	0.8	0.8	1.75	14.71	0	0	0	0	NULL	NULL	0	0	N	Y	50.1	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161004	SALARY PAYABLE APR	SALARY PAYABLE	57	2025-04-20	2026-05-26	88	30.82	30.82	0	0	0	0	11.4	11.17	0	0	0	0	NULL	NULL	0	0	N	N	51	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161007	SALARY PAYABLE JUL	SALARY PAYABLE	57	2025-07-15	2026-08-12	10	15.55	23.99	8.44	0	8.44	8.44	0.11	8.55	0	0	0	0	NULL	NULL	0	0	N	Y	44.7	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161008	SALARY PAYABLE AUG	SALARY PAYABLE	36	2025-08-18	2026-08-12	10	13.94	14.38	0.44	0	0.44	0.44	0.02	0.46	0	0	0	0	NULL	NULL	0	0	N	Y	54.7	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161009	SALARY PAYABLE SEP	SALARY PAYABLE	41	2025-06-12	2026-03-31	144	17.77	17.77	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	47	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161010	SALARY PAYABLE OCT	SALARY PAYABLE	40	2025-02-28	2026-03-31	144	15.5	15.5	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	49.1	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161011	SALARY PAYABLE NOV	SALARY PAYABLE	36	2025-01-17	2026-03-31	144	14.67	14.67	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	51	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161012	SALARY PAYABLE DEC	SALARY PAYABLE	40	2024-12-31	2026-03-31	144	31.94	31.94	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	47.1	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161013	EX-GRATIA	SALARY PAYABLE	2	2026-04-09	2026-07-15	38	0	0.03	0.03	0	0.03	0.03	0	0.03	0	0	0	0	NULL	NULL	0	0	N	Y	0	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163008	EXPENSE CLEARING A/C	EXPENSE PAYABLE	8	2025-07-28	2025-10-01	325	0.04	0.04	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	0	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163015	EPF PAYABLE	EXPENSE PAYABLE	47	2025-01-15	2026-08-13	9	0.69	0.72	0.02	0	0.02	0.02	0	0	0	0	0	0	NULL	NULL	0	0	N	Y	99.4	0
JIVO_MART_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163021	FREIGHT PAYABLE	EXPENSE PAYABLE	3	2025-01-27	2025-03-31	509	0.18	0.18	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	0
