COMPANY_SCHEMA	AS_OF	FAMILY	ACCT_CODE	ACCT_NAME	PARENT_NAME	N_LINES	FIRST_POST	LAST_POST	DAYS_SINCE_LAST_POST	CREATED_CR_L	REVERSED_DR_L	NET_DR_MINUS_CR_L	OUTSTANDING_CR_L	DEBIT_BAL_L	OACT_CURRTOTAL_L	CREATED_FYTD_L	REVERSED_FYTD_L	AGE_0_30_L	AGE_31_90_L	AGE_91_365_L	AGE_365P_L	OLDEST_OPEN_DATE	OLDEST_OPEN_DAYS	CROSSED_YEAREND_L	MIGRATED_OPENING_L	NEVER_REVERSED	DEBIT_BALANCE_FLAG	MANUAL_JE_PCT	PROV_MEMO_CR_L
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180008	PROVISION FOR BAD AND DOUBTFUL DEBTS	PROVISIONS	1	2024-09-30	2024-09-30	691	94.57	0	-94.57	94.57	0	-94.57	0	0	0	0	0	94.57	2024-09-30	691	94.57	94.57	Y	N	100	94.57
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180002	PROVISION FOR GRATUITY	PROVISIONS	3	2024-09-30	2026-03-31	144	62.22	0	-62.22	62.22	0	-62.22	0	0	0	0	7.04	55.18	2024-09-30	691	62.22	48.14	Y	N	100	55.18
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180005	PROVISION FOR ELECTRICITY	PROVISIONS	75	2024-09-30	2026-07-31	22	240.96	232.46	-8.49	8.49	0	-8.49	21.28	17.28	8.49	0	0	0	2026-07-31	22	0	0	N	N	100	174.72
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180001	PROVISION FOR DEFERRED TAX	PROVISIONS	5	2024-09-30	2025-03-31	509	69.04	61.78	-7.26	7.26	0	-7.26	0	0	0	0	0	7.26	2024-09-30	691	7.26	7.26	N	N	100	69.04
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180004	PROVISION FOR AUDIT FEES	PROVISIONS	5	2024-09-30	2026-03-31	144	4.95	1.8	-3.15	3.15	0	-3.15	0	0	0	0	0.45	2.7	2024-09-30	691	3.15	2.25	N	N	100	0.9
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180003	PROVISION FOR INCOME TAX	PROVISIONS	12	2024-09-30	2026-03-01	174	522.19	522.19	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	97.9	203.15
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180006	PROVISION FOR PROFESSIONAL EXPENSE	PROVISIONS	6	2025-03-31	2025-06-30	418	2.93	2.93	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	100	2.7
JIVO_OIL_HANADB	2026-08-22	A_PROVISIONS	2180007	PROVISION FOR CASUAL LABOUR	PROVISIONS	0	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	N	N	NULL	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163022	COGS PAYABLE	EXPENSE PAYABLE	5824	2024-09-30	2026-08-22	0	936.51	704.97	-231.54	231.54	0	-231.54	231.54	0	55.29	104.46	71.79	0	2026-04-02	142	0	0	N	N	48.7	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2165004	FREIGHT PAYABLE JULY	FREIGHT PAYABLE	11	2025-07-31	2026-07-31	22	94.77	54.36	-40.41	40.41	0	-40.41	40.41	0	40.41	0	0	0	2026-07-31	22	0	0	N	N	100	94.77
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2165003	FREIGHT PAYABLE JUN	FREIGHT PAYABLE	9	2025-06-30	2026-07-31	22	74.62	49.24	-25.39	25.39	0	-25.39	37.95	12.57	0	25.39	0	0	2026-06-30	53	0	0	N	N	100	74.62
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2165002	FREIGHT PAYABLE MAY	FREIGHT PAYABLE	14	2025-05-31	2026-07-31	22	138.53	116.04	-22.49	22.49	0	-22.49	46.77	24.28	0	22.49	0	0	2026-05-30	84	0	0	N	N	100	138.53
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163025	BLOWING CONVERSION PAYABLE	EXPENSE PAYABLE	157	2025-12-25	2026-08-20	2	21.69	3.57	-18.12	18.12	0	-18.12	18.12	0	8.26	5.6	4.25	0	2026-04-02	142	0	0	N	N	14.1	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163003	EXPENSES PAYABLE IMPORT	EXPENSE PAYABLE	301	2024-09-30	2026-07-31	22	1998.17	1987.58	-10.59	10.59	0	-10.59	85.61	114.2	10.38	0.21	0	0	2026-06-30	53	0	0	N	N	100	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2165001	FREIGHT PAYABLE APR	FREIGHT PAYABLE	22	2025-04-30	2026-07-31	22	125.61	115.16	-10.44	10.44	0	-10.44	39.48	29.03	0	0	10.44	0	2026-04-30	114	0	0	N	N	100	125.61
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161003	SALARY PAYABLE MAR	SALARY PAYABLE	440	2024-09-30	2026-05-19	95	342.82	339.26	-3.56	3.56	0	-3.56	3.57	125.88	0	0	3.56	0	2026-04-01	143	0	0	N	N	42.4	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2165012	FREIGHT PAYABLE MARCH	FREIGHT PAYABLE	8	2026-03-03	2026-06-30	53	48.93	47.56	-1.36	1.36	0	-1.36	0	17.51	0	0	1.36	0	2026-03-31	144	1.36	0	N	N	99.9	48.85
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161004	SALARY PAYABLE APR	SALARY PAYABLE	431	2024-09-30	2026-07-02	51	330.81	329.66	-1.15	1.15	0	-1.15	131.38	130.33	0	1.15	0	0	2026-05-26	88	0	0	N	N	45.6	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161001	SALARY PAYABLE JAN	SALARY PAYABLE	403	2024-09-30	2026-05-01	113	275.4	274.26	-1.14	1.14	0	-1.14	0	0.23	0	0	1.14	0	2026-02-17	186	1.14	0	N	N	47.8	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2161002	SALARY PAYABLE FEB	SALARY PAYABLE	409	2024-09-30	2026-04-30	114	273.2	272.08	-1.12	1.12	0	-1.12	0.04	0.49	0	0	1.12	0	2026-03-14	161	1.09	0	N	N	51.3	0
JIVO_OIL_HANADB	2026-08-22	B_EXPENSES_PAYABLE	2163017	LWF PAYABLE	EXPENSE PAYABLE	86	2024-09-30	2026-06-30	53	3.46	2.91	-0.55	0.55	0	-0.55	0.28	0	0	0.17	0.38	0	2026-01-31	203	0.27	0	N	N	55.9	0
