SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_DOCS_ZERO_VALUE	RET_DOCS_OPEN	RET_DOCS_FROM_DELIVERY	RET_QTY_PCS	RET_QTY_OTHER_UOM	RET_NET	RET_GST	RET_GROSS	RET_STOCK_COST	RET_DOCS_NO_CN	RET_DOCS_NO_CN_BILLED	RET_QTY_PCS_NO_CN	RET_STOCK_COST_NO_CN	CN_DOCS	CN_NET	SALES_NET	CN_PCT_OF_SALES	RET_COST_PCT_OF_SALES
TOTAL	ALL	All customer returns	1	161	134	35	20	170476	245350.5	340691.59	13475.29	354166.87	259426.66	60	3	23591	189198.63	101	1179435.25	217888002	0.5413	0.1191
CLASS	BRANCH	BRANCH	2BRANCH	1	1	0	0	4800	0	0	0	0	0	1	0	4800	0	0	0	5971053.73	0	0
CLASS	EXTERNAL	EXTERNAL	2EXTERNAL	129	102	19	19	140976	245350.5	340691.59	13475.29	354166.87	241086.47	42	2	12650	188475.99	87	908081.88	207200413.24	0.4383	0.1164
CLASS	INTERCOMPANY	INTERCOMPANY	2INTERCOMPANY	31	31	16	1	24700	0	0	0	0	18340.19	17	1	6141	722.64	14	271353.37	4716535.04	5.7532	0.3888
CREDIT_NOTE	HAS_CREDIT_NOTE	HAS_CREDIT_NOTE	3HAS_CREDIT_NOTE	101	96	0	0	146885	2400	144684.61	7234.39	151919	70228.03	0	0	0	0	101	1179435.25	NULL	NULL	NULL
CREDIT_NOTE	NO_CREDIT_NOTE	NO_CREDIT_NOTE	3NO_CREDIT_NOTE	60	38	35	20	23591	242950.5	196006.98	6240.9	202247.87	189198.63	60	3	23591	189198.63	0	0	NULL	NULL	NULL
NO_CN_REASON	FROM_DELIVERY_INVOICED	FROM_DELIVERY_INVOICED	4FROM_DELIVERY_INVOICED	3	1	0	3	28	0	1083.41	130.01	1213.42	207.78	3	3	28	207.78	0	0	NULL	NULL	NULL
NO_CN_REASON	FROM_DELIVERY_UNBILLED	FROM_DELIVERY_UNBILLED	4FROM_DELIVERY_UNBILLED	17	1	0	17	6374	242950.5	121423.57	6110.89	127534.45	188363.35	17	0	6374	188363.35	0	0	NULL	NULL	NULL
NO_CN_REASON	STANDALONE_NO_LINK	STANDALONE_NO_LINK	4STANDALONE_NO_LINK	40	36	35	0	17189	0	73500	0	73500	627.5	40	0	17189	627.5	0	0	NULL	NULL	NULL
MONTH	2024-10	2024-10	52024-10	4	1	0	3	1061	0	2690.55	322.87	3013.42	17124.93	3	2	40	567.63	1	22835.07	6524899.46	0.35	0.2625
MONTH	2024-11	2024-11	52024-11	7	2	0	6	2096	0	12592.21	1511.07	14103.28	4435.9	6	1	116	406.55	1	12016.99	4145967.07	0.2898	0.107
MONTH	2024-12	2024-12	52024-12	4	1	0	3	160	0	2723.21	326.79	3050	1445.03	4	0	160	1445.03	0	0	3944015.51	0	0.0366
MONTH	2025-01	2025-01	52025-01	8	8	0	0	5060	0	0	0	0	12015.69	2	0	48	76.6	6	11726.63	3821860.94	0.3068	0.3144
MONTH	2025-02	2025-02	52025-02	1	1	0	0	60	0	0	0	0	0	0	0	0	0	1	1285.2	6502771.51	0.0198	0
MONTH	2025-03	2025-03	52025-03	2	2	0	0	11100	0	0	0	0	0	0	0	0	0	2	28896	8452529.6	0.3419	0
MONTH	2025-04	2025-04	52025-04	11	11	0	0	18020	0	0	0	0	0	2	0	5376	0	9	65522.89	12082966.38	0.5423	0
MONTH	2025-05	2025-05	52025-05	4	3	0	1	17517	0	6000	1080	7080	27300	1	0	6000	27300	3	59136.9	11757038.57	0.503	0.2322
MONTH	2025-06	2025-06	52025-06	13	13	1	0	22300	0	0	0	0	581.43	1	0	624	0	12	123673.8	13138979.88	0.9413	0.0044
MONTH	2025-07	2025-07	52025-07	5	5	2	0	7524	0	0	0	0	0	2	0	1260	0	3	20119.73	9575909.51	0.2101	0
MONTH	2025-08	2025-08	52025-08	12	12	1	1	12100	242950.5	0	0	0	142317.42	2	0	10	140113.03	10	53760.47	6360423.47	0.8452	2.2375
MONTH	2025-09	2025-09	52025-09	6	6	0	0	4186	0	0	0	0	0	0	0	0	0	6	87957.48	8753268.92	1.0049	0
MONTH	2025-10	2025-10	52025-10	18	15	0	0	19867	0	20971.34	1048.66	22020	32619.13	0	0	0	0	18	156733.32	23540045.37	0.6658	0.1386
