SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_DOCS_ZERO_VALUE	RET_DOCS_OPEN	RET_DOCS_FROM_DELIVERY	RET_QTY_PCS	RET_QTY_OTHER_UOM	RET_NET	RET_GST	RET_GROSS	RET_STOCK_COST	RET_DOCS_NO_CN	RET_DOCS_NO_CN_BILLED	RET_QTY_PCS_NO_CN	RET_STOCK_COST_NO_CN	CN_DOCS	CN_NET	SALES_NET	CN_PCT_OF_SALES	RET_COST_PCT_OF_SALES
TOTAL	ALL	All customer returns	1	1793	601	30	1298	137439	10374	12999760.34	686829.8	13686590.14	40063961.58	1370	913	51137	14382091.18	2650	31213325.58	3242367733.61	0.9627	1.2356
CLASS	BRANCH	BRANCH	2BRANCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58354457.12	0	0
CLASS	EXTERNAL	EXTERNAL	2EXTERNAL	1789	600	30	1294	136001	10374	12787452.25	663596.76	13451049.01	39906816.05	1366	913	49699	14224945.66	2650	31213325.58	3106280243.23	1.0048	1.2847
CLASS	INTERCOMPANY	INTERCOMPANY	2INTERCOMPANY	4	1	0	4	1438	0	212308.09	23233.04	235541.13	157145.53	4	0	1438	157145.53	0	0	77733033.27	0	0.2022
CREDIT_NOTE	HAS_CREDIT_NOTE	HAS_CREDIT_NOTE	3HAS_CREDIT_NOTE	423	376	1	0	86302	6739	8447154.92	422545.07	8869700	25681870.4	0	0	0	0	2650	31213325.58	NULL	NULL	NULL
CREDIT_NOTE	NO_CREDIT_NOTE	NO_CREDIT_NOTE	3NO_CREDIT_NOTE	1370	225	29	1298	51137	3635	4552605.42	264284.73	4816890.15	14382091.18	1370	913	51137	14382091.18	0	0	NULL	NULL	NULL
NO_CN_REASON	FROM_DELIVERY_INVOICED	FROM_DELIVERY_INVOICED	4FROM_DELIVERY_INVOICED	913	94	0	913	5738	144	1422843.91	78881.57	1501725.48	1845085.71	913	913	5738	1845085.71	0	0	NULL	NULL	NULL
NO_CN_REASON	FROM_DELIVERY_UNBILLED	FROM_DELIVERY_UNBILLED	4FROM_DELIVERY_UNBILLED	385	68	0	385	31652	2304	2691676.81	163498.85	2855175.66	9533179.78	385	0	31652	9533179.78	0	0	NULL	NULL	NULL
NO_CN_REASON	STANDALONE_NO_LINK	STANDALONE_NO_LINK	4STANDALONE_NO_LINK	72	63	29	0	13747	1187	438084.7	21904.3	459989	3003825.69	72	0	13747	3003825.69	0	0	NULL	NULL	NULL
MONTH	2024-12	2024-12	52024-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65715379.18	0	0
MONTH	2025-01	2025-01	52025-01	56	16	0	43	2025	131	143764.22	8791.76	152555.99	465528.55	43	36	366	117219.16	22	557645.83	112816177.63	0.4943	0.4126
MONTH	2025-02	2025-02	52025-02	136	57	0	79	11424	963	552161.65	41989.53	594151.18	2766788.37	83	49	7756	1933517.59	272	1286113.78	128556893.14	1.0004	2.1522
MONTH	2025-03	2025-03	52025-03	106	39	0	71	11031	1901	734148.29	40148.75	774297.04	3492829.83	72	47	4842	2045779.17	313	2446187.85	147307340.08	1.6606	2.3711
MONTH	2025-04	2025-04	52025-04	112	48	0	66	5853	518	323634.59	17097.58	340732.17	1864633.83	67	45	2028	554106.87	191	1924293.61	136830443.84	1.4063	1.3627
MONTH	2025-05	2025-05	52025-05	120	28	0	101	5571	658	248478.35	15138.26	263616.61	1813298.21	103	85	936	291183.71	137	2094595.57	135331073.49	1.5478	1.3399
MONTH	2025-06	2025-06	52025-06	158	43	0	120	9994	880	328638.24	20254.76	348892.99	2966623.48	123	85	2102	442813.06	221	3287439.21	96840048.22	3.3947	3.0634
MONTH	2025-07	2025-07	52025-07	184	40	0	145	14184	725	1650657.1	88756.94	1739414.04	3693685.84	150	89	2895	1005871.99	235	2941197.91	140233566.19	2.0974	2.634
MONTH	2025-08	2025-08	52025-08	97	30	0	77	3591	336	232034.79	13984.23	246019.02	4394478.66	77	57	1459	394884.1	186	824132.37	135101238.52	0.61	3.2527
MONTH	2025-09	2025-09	52025-09	92	37	0	67	4245	383	141219.28	8374.31	149593.6	7671166.17	70	51	1154	1749708.99	202	951223.66	148107362.46	0.6423	5.1795
MONTH	2025-10	2025-10	52025-10	87	30	1	68	6243	527	308112.78	15449.71	323562.49	1914672.57	70	48	1780	552611.29	272	1281489.89	141810938.65	0.9037	1.3502
MONTH	2025-11	2025-11	52025-11	68	23	7	46	5806	427	105573.66	5278.68	110852.34	1746532.46	53	36	2390	518177.21	141	1219837.5	124249167.05	0.9818	1.4057
MONTH	2025-12	2025-12	52025-12	99	48	3	60	5564	353	201721.98	10086.1	211808.08	1672267.19	65	44	1320	402053.92	188	1503909.27	141041648.74	1.0663	1.1857
MONTH	2026-01	2026-01	52026-01	90	23	0	74	1540	19	234879.01	11743.95	246622.96	443982.93	80	61	1009	278567.39	15	214181.44	142942804.77	0.1498	0.3106
MONTH	2026-02	2026-02	52026-02	46	19	0	31	6939	699	81681.32	4084.07	85765.39	1328018.3	35	15	3644	266141.55	58	1176240.81	137454700.87	0.8557	0.9661
MONTH	2026-03	2026-03	52026-03	67	8	0	59	4959	334	224277.19	11213.97	235491.16	182219.93	66	37	4957	182219.93	1	1710.48	220928863.73	0.0008	0.0825
MONTH	2026-04	2026-04	52026-04	62	7	0	61	3589	211	211500.08	10575	222075.08	701435.65	62	45	3589	701435.65	0	0	186396777.52	0	0.3763
MONTH	2026-05	2026-05	52026-05	76	23	3	59	9675	824	1139956.25	56997.75	1196954	1667527.57	64	39	5403	1667527.57	43	1258329.72	216320528.04	0.5817	0.7709
MONTH	2026-06	2026-06	52026-06	50	21	5	29	2995	130	259126.3	12954.7	272081	115811.97	34	21	459	115811.97	63	852058.74	260388267.84	0.3272	0.0445
MONTH	2026-07	2026-07	52026-07	67	44	5	30	21228	355	5870695.25	293534.75	6164230	950761.13	35	13	2093	950761.13	88	7363823.65	256005793.49	2.8764	0.3714
MONTH	2026-08	2026-08	52026-08	20	17	6	12	983	0	7500	375	7875	211698.93	18	10	955	211698.93	2	28914.29	167988720.14	0.0172	0.126
CUSTOMER	CUSTA000890	FLIPKART HARYANA FBF [EXTERNAL]	6	27	27	1	4	2086	282	0	0	0	11244571.06	9	3	712	2153500.45	177	1135579.01	9686414.92	11.7234	116.086
CUSTOMER	CUSTA000910	FLIPKART  (B2C-MAY-JULY) [EXTERNAL]	6	140	133	0	72	44684	5368	61666.68	3083.32	64750	10296987.53	86	53	15037	2668098.41	1312	8793159.93	101609824.12	8.6538	10.1339
CUSTOMER	CUSTA000885	FLIPKART B2C [EXTERNAL]	6	55	55	0	19	21990	3323	0	0	0	6352292.91	21	7	10878	3508919.68	571	4033299.28	34306818.2	11.7566	18.5161
CUSTOMER	CUSTA000722	KIRANAKART TECHNOLOGIES PVT LTD AAICK4821A [EXTERNAL]	6	42	39	7	0	5664	214	162684.73	8134.27	170819	2282133.12	8	0	396	185152.85	34	3383802.07	49080095.63	6.8944	4.6498
CUSTOMER	CUSTA000912	AMAZON (B2C -MAY-JULY) [EXTERNAL]	6	53	53	0	30	4895	720	0	0	0	1777697.66	30	17	4245	1631687.17	168	277723.09	15613225.94	1.7788	11.3858
CUSTOMER	CUSTA000648	SCOOTSY LOGISTICS PVT LTD [EXTERNAL]	6	59	38	0	0	6365	0	1166525.6	58359.4	1224885	1694212.16	4	0	30	16589.24	55	2147393.24	70838840.78	3.0314	2.3916
CUSTOMER	CUSTA000586	HANDS ON TRADE PVT LTD [EXTERNAL]	6	36	32	1	0	3337	0	126278.14	6313.86	132592	995765.78	4	0	210	80778.17	32	1396646.41	136520606.94	1.023	0.7294
CUSTOMER	CUSTA000879	FLIPKART INDIA PRIVATE LIMITED [EXTERNAL]	6	19	18	2	0	5584	0	113713.29	5685.71	119399	800694.14	4	0	437	116555.65	15	1228162.2	105947618.27	1.1592	0.7557
CUSTOMER	CUSTA000125	DEL KAWALJEET SINGH [EXTERNAL]	6	203	0	0	203	2003	14	651428.1	37335.51	688763.61	553062.87	203	163	2003	553062.87	0	0	3406813.61	0	16.234
CUSTOMER	CUSTA000844	ILAHI CO. (BTCPN5063N) [EXTERNAL]	6	72	72	0	14	2140	274	0	0	0	514409.54	14	6	570	143058.78	58	426891.36	3295808.83	12.9526	15.608
CUSTOMER	CUSTA000374	DEL RAMANPREET [EXTERNAL]	6	159	0	0	159	1574	16	547288.77	30439.63	577728.4	470839.06	159	131	1574	470839.06	0	0	2488921.71	0	18.9174
CUSTOMER	CUSTA000607	DEL PINTU SINGH [EXTERNAL]	6	161	0	0	159	1507	15	541628.59	29808.33	571436.92	447221.86	160	127	1496	447221.86	1	3595.23	3683288.2	0.0976	12.1419
CUSTOMER	CUSTA000645	DEL SAHIL [EXTERNAL]	6	129	0	0	128	1145	16	467028.6	26605.4	493634	392753.83	128	92	1144	392753.83	1	666.67	4097245.76	0.0163	9.5858
CUSTOMER	CUSTA000599	DEL RAJU EAST [EXTERNAL]	6	146	0	0	144	1677	18	412456.11	22380.92	434837.03	388287.21	144	101	1675	388287.21	2	1428.57	3434256.53	0.0416	11.3063
CUSTOMER	CUSTA000247	DEL ABHISHEK KUMAR [EXTERNAL]	6	80	0	0	80	1248	4	382852.46	20762.85	403615.31	324861.35	80	50	1248	324861.35	0	0	4090065.6	0	7.9427
CUSTOMER	CUSTA000484	ONLINE SALE WEBSITE [EXTERNAL]	6	14	14	0	13	1227	29	0	0	0	316165.78	14	3	1227	316165.78	0	0	1720218.86	0	18.3794
CUSTOMER	CUSTA000661	DEL DEEPAK BHARDWAJ [EXTERNAL]	6	115	0	0	114	1047	7	356866.95	19157.58	376024.53	301672.72	114	88	1041	301672.72	1	1285.74	3651511.67	0.0352	8.2616
CUSTOMER	CUSTA000782	GURPREET SINGH MAYAPURI STORE [EXTERNAL]	6	57	0	0	57	933	5	305874.2	18634.23	324508.43	201361.31	57	17	933	201361.31	0	0	2295662.22	0	8.7714
CUSTOMER	CUSTA000001	JIVO WELLNESS PVT LTD [INTERCOMPANY]	6	4	1	0	4	1438	0	212308.09	23233.04	235541.13	157145.53	4	0	1438	157145.53	0	0	77733033.27	0	0.2022
CUSTOMER	CUSTA000376	ZOMATO HYPERPURE PVT LTD [EXTERNAL]	6	8	4	0	0	566	0	510290.5	25514.5	535805	154462.3	1	0	32	12537.3	7	652672.4	86354325.63	0.7558	0.1789
CUSTOMER	CUSTA000902	DEL JITENDER SINGH [EXTERNAL]	6	61	0	0	61	622	7	147731.39	9444.68	157176.07	125838.91	61	50	622	125838.91	0	0	996065.8	0	12.6336
CUSTOMER	CUSTA000873	AMAZON [EXTERNAL]	6	25	25	0	7	357	62	0	0	0	98330.64	7	3	71	23374.58	58	150294.99	1733397.73	8.6705	5.6727
CUSTOMER	CUSTA000934	FLIPKART B2C (AUGUST ONWARD) [EXTERNAL]	6	2	1	0	2	159	0	4666.67	233.33	4900	73030	2	1	159	73030	0	0	102801.92	0	71.0395
CUSTOMER	CUSTA000262	MUHAVRA ENTERPRISES PRIVATE LIMITED [EXTERNAL]	6	1	1	0	0	30	0	0	0	0	24150	1	0	30	24150	0	0	3403300.67	0	0.7096
CUSTOMER	CUSTA000235	SUPER MARCHE 37 TRADERS LLP [EXTERNAL]	6	1	0	0	1	30	0	19571.43	978.57	20550	17951.86	1	0	30	17951.86	0	0	343994.01	0	5.2187
