SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_DOCS_ZERO_VALUE	RET_DOCS_OPEN	RET_DOCS_FROM_DELIVERY	RET_QTY_PCS	RET_QTY_OTHER_UOM	RET_NET	RET_GST	RET_GROSS	RET_STOCK_COST	RET_DOCS_NO_CN	RET_DOCS_NO_CN_BILLED	RET_QTY_PCS_NO_CN	RET_STOCK_COST_NO_CN	CN_DOCS	CN_NET	SALES_NET	CN_PCT_OF_SALES	RET_COST_PCT_OF_SALES
TOTAL	ALL	All customer returns	1	1817	1104	40	306	395231.21	33352.95	32818293.74	1699913.67	34518207.41	87074785.82	421	212	158727.96	15217213.18	2517	84567730.63	9256036260.99	0.9136	0.9407
CLASS	BRANCH	BRANCH	2BRANCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731950172.91	0	0
CLASS	EXTERNAL	EXTERNAL	2EXTERNAL	1340	908	24	284	240802.21	3517.95	2439605.18	156569.72	2596174.9	36895391.8	331	202	134834.96	7182973.4	2132	33279271.81	5467703791.3	0.6087	0.6748
CLASS	INTERCOMPANY	INTERCOMPANY	2INTERCOMPANY	477	196	16	22	154429	29835	30378688.56	1543343.95	31922032.51	50179394.02	90	10	23893	8034239.78	385	51288458.82	3056382296.77	1.6781	1.6418
CREDIT_NOTE	HAS_CREDIT_NOTE	HAS_CREDIT_NOTE	3HAS_CREDIT_NOTE	1396	970	2	0	236503.25	28521.02	28262022.15	1436180.5	29698202.65	71857572.63	0	0	0	0	2517	84567730.63	NULL	NULL	NULL
CREDIT_NOTE	NO_CREDIT_NOTE	NO_CREDIT_NOTE	3NO_CREDIT_NOTE	421	134	38	306	158727.96	4831.93	4556271.59	263733.17	4820004.76	15217213.18	421	212	158727.96	15217213.18	0	0	NULL	NULL	NULL
NO_CN_REASON	FROM_DELIVERY_INVOICED	FROM_DELIVERY_INVOICED	4FROM_DELIVERY_INVOICED	212	36	1	212	1474	1	293909.87	16897.16	310807.03	318317.73	212	212	1474	318317.73	0	0	NULL	NULL	NULL
NO_CN_REASON	FROM_DELIVERY_UNBILLED	FROM_DELIVERY_UNBILLED	4FROM_DELIVERY_UNBILLED	94	35	0	94	133472.1	2156.93	1277646.77	96267.46	1373914.23	6408391.94	94	0	133472.1	6408391.94	0	0	NULL	NULL	NULL
NO_CN_REASON	STANDALONE_NO_LINK	STANDALONE_NO_LINK	4STANDALONE_NO_LINK	115	63	37	0	23781.86	2674	2984714.95	150568.55	3135283.5	8490503.51	115	0	23781.86	8490503.51	0	0	NULL	NULL	NULL
MONTH	2024-10	2024-10	52024-10	122	35	0	67	9092	697	157854.9	8660.1	166515	1643911.15	68	57	1549	261604.83	163	2453301.73	471923524.38	0.5199	0.3483
MONTH	2024-11	2024-11	52024-11	190	71	1	84	21376	1531	334325.21	19370.67	353695.88	3316658.81	89	60	3013	490867.79	182	5617967.09	426538065.98	1.3171	0.7776
MONTH	2024-12	2024-12	52024-12	169	101	1	89	24818	1749	263976.44	16049.56	280026.01	6285106.16	94	63	10739	3213418.32	189	3726359.29	428937080.99	0.8687	1.4653
MONTH	2025-01	2025-01	52025-01	246	126	0	50	17382.1	210.93	186854.82	15556.03	202410.85	7618244.34	63	27	3798.1	1295437.78	256	7234838.99	526945349.64	1.373	1.4457
MONTH	2025-02	2025-02	52025-02	37	37	0	0	12526	0	0	0	0	8644843.77	2	0	1725	1877639.4	56	6391911.41	473397189.72	1.3502	1.8261
MONTH	2025-03	2025-03	52025-03	73	71	0	0	8976	1	1928.57	96.43	2025	2805613.4	2	0	2	1577.21	118	2724283.25	447400678.87	0.6089	0.6271
MONTH	2025-04	2025-04	52025-04	45	41	0	3	17101	700	447012.12	35258.7	482270.82	3423052.49	4	0	11015	462787.61	88	3485362.92	449268833.12	0.7758	0.7619
MONTH	2025-05	2025-05	52025-05	48	37	0	0	10423	0	5024983.88	252486.83	5277470.71	5804993.63	2	0	82	47052.6	88	7640459.2	386055535.1	1.9791	1.5037
MONTH	2025-06	2025-06	52025-06	64	34	0	1	12517	48	6495536.86	324777.49	6820314.35	5532404.69	2	1	13	5200.54	122	8063415.92	347963887.74	2.3173	1.5899
MONTH	2025-07	2025-07	52025-07	58	38	1	0	17391	0	1614235.57	80981.61	1695217.18	3680337.59	5	0	3775	717361.05	103	3927139.25	472665133.03	0.8309	0.7786
MONTH	2025-08	2025-08	52025-08	84	58	1	1	18347.25	14035	2232792.96	125871.04	2358664	3754615	5	1	409	239965.41	153	4638105.48	408579516.14	1.1352	0.9189
MONTH	2025-09	2025-09	52025-09	65	45	2	0	17172	0	2817873.59	146955.49	2964829.07	3976571.81	2	0	816	87605.25	97	4440607.17	374930670.31	1.1844	1.0606
MONTH	2025-10	2025-10	52025-10	65	35	1	0	16856	0	4998760.4	251821.25	5250581.65	7205791.74	2	0	1041	158806.53	122	6767489.16	399126265.02	1.6956	1.8054
MONTH	2025-11	2025-11	52025-11	50	26	6	5	12636.86	93	1629221.56	90654.04	1719875.6	1514203.77	10	2	742.86	187317.04	57	1750010.38	315639190.76	0.5544	0.4797
