FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
ARNAVTRANSPORT	ARNAV TRANSPORT	2024-10	6	4.33	4.33	50	66.7	3	ARNAV TRANSPORT SERVICE	1	1.2	27.7
ARNAVTRANSPORT	ARNAV TRANSPORT	2024-11	25	10.43	10.41	84	100	3	ARNAV TRANSPORT SERVICE	3	2.8	26.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2024-12	13	5.33	5.33	100	84.6	2	ARNAV TRANSPORT SERVICE	7	5.38	100.9
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-01	64	21.55	20.19	98.4	96.9	2	ARNAV TRANSPORT SERVICE	3	0.66	3.1
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-02	51	33.01	30	100	86.3	3	ARNAV TRANSPORT SERVICE	4	2.54	7.7
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-03	85	28.47	28.47	100	100	3	ARNAV TRANSPORT SERVICE	4	3.68	12.9
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-04	128	71.53	71.33	100	99.2	3	ARNAV TRANSPORT SERVICE	2	3.46	4.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-05	128	61.93	60.87	100	100	2	ARNAV TRANSPORT SERVICE	NULL	NULL	NULL
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-06	159	71.64	70.33	100	99.4	2	ARNAV TRANSPORT SERVICE	6	16	22.3
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-07	120	45.12	44.61	99.2	100	2	ARNAV TRANSPORT SERVICE	3	7.77	17.2
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-08	62	24.17	23.92	100	100	2	ARNAV TRANSPORT SERVICE	3	4.88	20.2
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-09	122	66.25	66.25	100	100	2	ARNAV TRANSPORT SERVICE	4	7.55	11.4
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-10	140	108.67	107.64	100	100	2	ARNAV TRANSPORT SERVICE	1	2	1.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-11	135	70.57	69.52	100	100	2	ARNAV TRANSPORT SERVICE	5	7.25	10.3
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-12	72	27.93	27.54	100	100	3	ARNAV TRANSPORT SERVICE	4	5.88	21.1
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-01	76	26.06	25.47	100	100	2	ARNAV TRANSPORT SERVICE	4	3.85	14.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-02	79	30.72	30.72	100	98.7	1	ARNAV TRANSPORT SERVICE	2	2.07	6.7
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-03	122	52.46	52.3	100	99.2	1	ARNAV TRANSPORT SERVICE	5	5.57	10.6
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-04	126	53.14	53.14	100	100	1	ARNAV TRANSPORT SERVICE	1	2.57	4.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-05	175	66.42	66.42	97.7	100	1	ARNAV TRANSPORT SERVICE	4	6.61	9.9
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-06	127	44.29	44.29	100	100	1	ARNAV TRANSPORT SERVICE	5	8.79	19.8
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-07	206	79.24	79.24	100	100	1	ARNAV TRANSPORT SERVICE	5	10.08	12.7
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-08	68	24.8	24.8	100	100	1	ARNAV TRANSPORT SERVICE	NULL	NULL	NULL
BHARGAVEROAD	BHARGAVE ROAD	2026-01	2	0.54	0.54	100	100	1	BHARGAVE ROAD CARRIER	NULL	NULL	NULL
BHARGAVEROAD	BHARGAVE ROAD	2026-02	4	1.43	1.43	100	100	1	BHARGAVE ROAD CARRIER	NULL	NULL	NULL
BHARGAVEROAD	BHARGAVE ROAD	2026-03	46	12.77	12.77	100	100	1	BHARGAVE ROAD CARRIER	2	0.9	7.1
BHARGAVEROAD	BHARGAVE ROAD	2026-04	72	22.78	22.78	100	98.6	1	BHARGAVE ROAD CARRIER	4	2.57	11.3
BHARGAVEROAD	BHARGAVE ROAD	2026-05	88	24.33	24.33	98.9	100	1	BHARGAVE ROAD CARRIER	3	5.65	23.2
BHARGAVEROAD	BHARGAVE ROAD	2026-06	122	31.36	31.36	100	100	2	BHARGAVE ROAD CARRIER	4	5.57	17.8
BHARGAVEROAD	BHARGAVE ROAD	2026-07	175	42.94	42.94	100	100	1	BHARGAVE ROAD CARRIER	5	9.6	22.4
BHARGAVEROAD	BHARGAVE ROAD	2026-08	96	23.27	23.27	100	100	1	BHARGAVE ROAD CARRIER	NULL	NULL	NULL
MAHADEV	MAHADEV	2024-10	1	0.45	0.45	100	100	1	MAHADEV TEMPO SERVICE	3	1.27	283.2
MAHADEV	MAHADEV	2024-11	6	4.26	4.26	100	83.3	4	MAHADEV TEMPO SERVICE	0	0	-0.1
MAHADEV	MAHADEV	2024-12	5	1.96	1.96	100	100	1	MAHADEV TEMPO SERVICE	7	2.17	111
MAHADEV	MAHADEV	2025-01	1	1.08	1.08	100	100	1	MAHADEV TEMPO SERVICE	4	1.32	121.8
MAHADEV	MAHADEV	2025-02	5	10.43	4.69	100	60	3	MAHADEV TEMPO SERVICE	1	0.28	2.7
MAHADEV	MAHADEV	2025-03	11	11.97	10.72	100	100	2	MAHADEV TEMPO SERVICE	2	0.72	6
MAHADEV	MAHADEV	2025-04	11	11.14	11.14	100	100	2	MAHADEV TEMPO SERVICE	1	0.43	3.9
MAHADEV	MAHADEV	2025-05	18	10.15	9.86	100	100	5	MAHADEV TEMPO SERVICE	1	1.89	18.6
MAHADEV	MAHADEV	2025-06	16	11.7	10.91	100	100	2	MAHADEV TEMPO SERVICE	1	0.74	6.4
MAHADEV	MAHADEV	2025-07	19	10.28	10.28	100	100	3	MAHADEV TEMPO SERVICE	0	-0.04	-0.4
MAHADEV	MAHADEV	2025-08	6	5.44	4.48	100	100	1	MAHADEV TEMPO SERVICE	4	2.74	50.4
MAHADEV	MAHADEV	2025-09	21	9.36	9.36	100	100	3	MAHADEV TEMPO SERVICE	1	0.86	9.2
MAHADEV	MAHADEV	2025-10	19	6.13	6.13	100	100	3	MAHADEV TEMPO SERVICE	4	1.39	22.7
MAHADEV	MAHADEV	2025-11	3	52.31	52.31	100	100	3	MAHADEV TEMPO SERVICE	4	1.14	2.2
MAHADEV	MAHADEV	2025-12	3	3.82	3.82	100	100	1	MAHADEV TEMPO SERVICE	1	0.17	4.5
MAHADEV	MAHADEV	2026-03	5	4.19	4.19	100	100	1	MAHADEV TEMPO SERVICE	NULL	NULL	NULL
DELHIPUNJAB	DELHI PUNJAB	2025-01	12	5.5	5.5	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	2	0.33	6
DELHIPUNJAB	DELHI PUNJAB	2025-02	5	2.21	2.21	80	80	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	4	0.9	40.8
DELHIPUNJAB	DELHI PUNJAB	2025-03	18	15.77	10.14	100	100	3	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	6	2.01	12.7
DELHIPUNJAB	DELHI PUNJAB	2025-04	25	18.93	18.93	100	92	3	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	NULL	NULL	NULL
DELHIPUNJAB	DELHI PUNJAB	2025-05	20	22.01	22.01	100	100	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	3	1.59	7.2
DELHIPUNJAB	DELHI PUNJAB	2025-06	24	22.79	22.79	100	100	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	4	1.36	6
DELHIPUNJAB	DELHI PUNJAB	2025-07	19	15.07	14.79	100	100	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	3	1.78	11.8
DELHIPUNJAB	DELHI PUNJAB	2025-08	7	5.01	3.42	100	100	2	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	16	6.41	128
DELHIPUNJAB	DELHI PUNJAB	2025-09	2	1.19	0.85	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	0.4	33.3
DELHIPUNJAB	DELHI PUNJAB	2025-10	14	8.91	8.34	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	0.4	4.5
DELHIPUNJAB	DELHI PUNJAB	2025-11	5	4.49	4.49	100	100	2	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	3	0.6	13.4
DELHIPUNJAB	DELHI PUNJAB	2025-12	5	3.51	3.51	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	8	2.11	60.2
DELHIPUNJAB	DELHI PUNJAB	2026-01	3	3.18	3.18	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	6	0.9	28.5
DELHIPUNJAB	DELHI PUNJAB	2026-02	4	2.47	2.47	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	NULL	NULL	NULL
DELHIPUNJAB	DELHI PUNJAB	2026-03	5	3.61	3.61	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	2	0.45	12.5
DELHIPUNJAB	DELHI PUNJAB	2026-04	4	2.28	2.28	100	100	2	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	0.22	9.8
DELHIPUNJAB	DELHI PUNJAB	2026-05	5	0.68	0.68	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	2	0.96	142.3
DELHIPUNJAB	DELHI PUNJAB	2026-06	8	3.67	3.67	100	100	3	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	0.14	3.7
DELHIPUNJAB	DELHI PUNJAB	2026-07	3	1.08	1.08	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	5	0.63	58.9
DELHIPUNJAB	DELHI PUNJAB	2026-08	4	0.89	0.89	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2025-08	1	0.42	0.42	100	100	1	NULL	NULL	NULL	NULL
