FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
ABHIMANEXPR	ABHIMAN EXPRESS	2026-04	9	165.91	165.91	100	100	1	ABHIMAN EXPRESS	3	2.01	1.2
ABHIMANEXPR	ABHIMAN EXPRESS	2026-05	58	485.02	485.02	100	100	2	ABHIMAN EXPRESS	7	8.96	1.8
ABHIMANEXPR	ABHIMAN EXPRESS	2026-06	36	375.26	375.26	100	100	1	ABHIMAN EXPRESS	12	17.52	4.7
ABHIMANEXPR	ABHIMAN EXPRESS	2026-07	59	650.65	650.65	100	100	2	ABHIMAN EXPRESS	4	12.62	1.9
ABHIMANEXPR	ABHIMAN EXPRESS	2026-08	49	504.88	504.88	100	100	1	ABHIMAN EXPRESS	0	-0.16	0
ARNAVTRANSPORT	Arnav Transport	2026-04	2	31.81	31.81	100	100	1	ARNAV TRANSPORT SERVICE	1	0.3	1
ARNAVTRANSPORT	Arnav Transport	2026-05	30	234.44	234.44	100	100	1	ARNAV TRANSPORT SERVICE	7	2.61	1.1
ARNAVTRANSPORT	Arnav Transport	2026-06	23	270.37	270.37	100	100	1	ARNAV TRANSPORT SERVICE	4	0.6	0.2
ARNAVTRANSPORT	Arnav Transport	2026-07	15	128.39	128.39	100	100	1	ARNAV TRANSPORT SERVICE	8	1.59	1.2
ARNAVTRANSPORT	Arnav Transport	2026-08	13	123.11	123.11	100	100	1	ARNAV TRANSPORT SERVICE	2	0.35	0.3
DELHIPUNJAB	Delhi Punjab	2026-04	3	38.46	38.46	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	2	1.12	2.9
DELHIPUNJAB	Delhi Punjab	2026-05	23	172.14	172.14	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	0.96	0.6
DELHIPUNJAB	Delhi Punjab	2026-06	8	81.53	81.53	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	1.73	2.1
DELHIPUNJAB	Delhi Punjab	2026-07	15	98.2	98.2	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	1	0.41	0.4
DELHIPUNJAB	Delhi Punjab	2026-08	13	90.14	90.14	100	100	1	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO	NULL	NULL	NULL
BHARGAVEROADCARRIER	Bhargave Road Carrier	2026-04	3	116.67	116.67	100	100	1	BHARGAVE ROAD CARRIER	NULL	NULL	NULL
BHARGAVEROADCARRIER	Bhargave Road Carrier	2026-05	17	187.58	187.58	94.1	100	1	BHARGAVE ROAD CARRIER	2	0.42	0.2
BHARGAVEROADCARRIER	Bhargave Road Carrier	2026-06	7	98.36	98.36	100	100	1	BHARGAVE ROAD CARRIER	2	0.75	0.8
BHARGAVEROADCARRIER	Bhargave Road Carrier	2026-07	5	68.19	68.19	100	100	1	BHARGAVE ROAD CARRIER	2	0.49	0.7
MAHAVEERTRANSPORT	Mahaveer Transport	2026-05	9	36.64	36.64	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-06	21	111.96	111.96	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-07	19	101.49	101.49	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-08	17	99.92	99.92	100	100	1	NULL	NULL	NULL	NULL
AMAZONVEHICLEPICKUP	Amazon vehicle pickup	2026-06	33	260.27	260.27	100	100	1	NULL	NULL	NULL	NULL
AMAZONVEHICLEPICKUP	Amazon vehicle pickup	2026-07	6	35.82	35.82	33.3	100	1	NULL	NULL	NULL	NULL
AMAZONVEHICLEPICKUP	Amazon vehicle pickup	2026-08	2	29.71	29.71	100	100	1	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2026-05	8	77.9	77.9	100	100	1	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2026-06	9	62.09	62.09	100	100	2	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2026-07	10	97.37	97.37	100	100	1	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2026-08	7	27.59	27.59	100	100	1	NULL	NULL	NULL	NULL
PICKSHIP	PICK & SHIP	2026-05	20	51.67	51.67	100	100	2	PICK & SHIP LOGISTICS PRIVATE LIMITED	4	0.51	1
PICKSHIP	PICK & SHIP	2026-06	48	124.8	124.8	100	100	2	PICK & SHIP LOGISTICS PRIVATE LIMITED	12	3.34	2.7
PICKSHIP	PICK & SHIP	2026-07	13	17.38	17.38	100	100	1	PICK & SHIP LOGISTICS PRIVATE LIMITED	19	7.51	43.2
PICKSHIP	PICK & SHIP	2026-08	2	31.91	31.91	100	100	1	PICK & SHIP LOGISTICS PRIVATE LIMITED	4	0.52	1.6
RCMLOGISTICS	RCM Logistics	2026-07	2	31.24	31.24	100	100	1	RCM LOGISTICS	1	0.19	0.6
RCMLOGISTICS	RCM Logistics	2026-08	5	40.09	40.09	100	100	1	RCM LOGISTICS	NULL	NULL	NULL
AIRTRANS	Air Trans	2026-04	1	15.85	15.85	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	Air Trans	2026-08	1	33.43	33.43	100	100	1	AIR TRANS	NULL	NULL	NULL
BOMBAYSRINAGAR	Bombay Sri Nagar	2026-04	5	43.92	43.92	100	100	1	BOMBAY SRINAGAR TRANSPORT REGD	2	1.2	2.7
MAHADEVTEMPO	Mahadev Tempo	2026-05	6	32.15	32.15	100	100	1	MAHADEV TEMPO SERVICE	NULL	NULL	NULL
9896437186	9896437186	2026-05	1	17.95	17.95	100	100	1	NULL	NULL	NULL	NULL
HR55AK6402	HR55Ak6402	2026-08	1	14.49	14.49	100	100	1	NULL	NULL	NULL	NULL
MEHTATRANSPORT	MEHTA TRANSPORT	2026-05	3	14.31	14.31	100	100	1	NULL	NULL	NULL	NULL
9958007610	9958007610	2026-06	1	3.79	3.79	100	100	1	NULL	NULL	NULL	NULL
6006399745	6006399745	2026-06	1	3.06	3.06	100	100	1	NULL	NULL	NULL	NULL
ARNAV	ARNAV	2026-04	1	0.01	0.01	100	100	1	NULL	NULL	NULL	NULL
