FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
DELHIPUNJAB	DELHI PUNJAB	2024-10	5	72	45.66	40	80	2	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	3	2.61	3.6
DELHIPUNJAB	DELHI PUNJAB	2024-11	7	78.7	43.43	71.4	71.4	3	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	2	2.74	3.5
DELHIPUNJAB	DELHI PUNJAB	2024-12	20	256.99	232.19	100	85	3	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	2	2.25	0.9
DELHIPUNJAB	DELHI PUNJAB	2025-01	71	784.12	656.35	98.6	98.6	3	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	3	5.7	0.7
DELHIPUNJAB	DELHI PUNJAB	2025-02	63	666.26	490.83	100	92.1	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	5	9.07	1.4
DELHIPUNJAB	DELHI PUNJAB	2025-03	42	446.18	280.02	100	100	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	9	12.48	2.8
DELHIPUNJAB	DELHI PUNJAB	2025-04	65	663.99	481.2	100	100	5	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	NULL	NULL	NULL
DELHIPUNJAB	DELHI PUNJAB	2025-05	72	603.61	394.76	100	100	5	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	4	6.45	1.1
DELHIPUNJAB	DELHI PUNJAB	2025-06	56	522.12	351.83	100	100	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	5	5.06	1
DELHIPUNJAB	DELHI PUNJAB	2025-07	147	1258.29	921.53	100	100	4	DELHI PUNJAB CARRIER + DELHI PUNJAB TRANSPORT CO + DELHI PUNJAB TRANSPORT CO	3	2.95	0.2
