SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	DISP_DOCS	DISP_VAL_L	EXT_DISP_DOCS	EXT_DISP_VAL_L	NAMED_PCT	LR_PCT	VEH_PCT	DRIVER_PCT	FILLED	FILL_PCT	VARIANTS	VENDOR_CODE	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP	NOTE
TOTAL	ALL	Company total	1	5331	2178.88	5078	2072	73.5	84.6	79.7	2.8	NULL	NULL	147	NULL	NULL	437	203.04	9.3	dispatch doc = OINV, ex-cancelled, ex 2024-09-30 migration. DISP_VAL_L is ALL dispatches incl. branch + intercompany -- EXT_DISP_VAL_L is external-only, and PARTY splits them. Freight A/P 99.1% tied to a named transporter; 12 carrier(s) worth 34.57 L sit OUTSIDE the transporter supplier group and were pulled in by name. Name spread 121 third-party spellings (147 incl. own-fleet/placeholder) -> 98 keys -> 77 families; LR field = U_BiltyNumber / U_VechileNom
FIELD	ODLN.U_TransporterName	Transporter Name	2	287	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.LR_NUMBER (bilty)	Bilty / lorry receipt number	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4508	84.6	NULL	NULL	NULL	NULL	NULL	NULL	per-book column: U_BiltyNumber / U_VechileNom -- NOT U_LRNUmber, which is captioned Bill Of Entry No.
FIELD	OINV.U_BiltAmt	Bilty Amount	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	typed field (B), not a list
FIELD	OINV.U_BiltyDate	Bilty Date	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4414	82.8	NULL	NULL	NULL	NULL	NULL	NULL	typed field (D), not a list
FIELD	OINV.U_DriverName	Driver Name	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	148	2.8	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_LRNUmber	Bill Of Entry No. (NOT a lorry receipt)	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	this book: (no such column in this book) -- a customs field, near-empty; the LR lives in the bilty column above
FIELD	OINV.U_Ship_From	Ship From	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_TransporterInvoice	Gate Pass No	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_TransporterName	Transporter Name	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4271	80.1	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.VEHICLE_NO	Vehicle number (e-way bill Part B)	2	5331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4247	79.7	NULL	NULL	NULL	NULL	NULL	NULL	per-book column: U_BiltyNumber / U_VechileNom
FIELD	OPDN.U_TransporterName	Transporter Name	2	4565	NULL	NULL	NULL	NULL	NULL	NULL	NULL	246	5.4	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
NAMECLASS	THIRD_PARTY	Named third-party transporter	3	3916	1830.7	3816	1792.24	NULL	99.5	99.2	3.7	NULL	NULL	121	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	UNNAMED	No transporter recorded	3	1060	234.89	982	199.23	NULL	26.3	3.1	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	OWN_OR_SELF	Own fleet / collected by customer	3	251	108.9	193	77.72	NULL	92	91.6	1.6	NULL	NULL	21	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	UNUSABLE	Placeholder text (NA, NIL, X)	3	104	4.39	87	2.82	NULL	96.2	95.2	0	NULL	NULL	5	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	EXTERNAL	External customers (real trade)	4	5078	2072	5078	2072	75.1	85.3	80.3	2.9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	BRANCH	Own branch GST registrations	4	86	59.71	0	0	27.9	51.2	52.3	1.2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	INTERCOMPANY	JIVO group company	4	167	47.17	0	0	45.5	78.4	75.4	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
