SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	DISP_DOCS	DISP_VAL_L	EXT_DISP_DOCS	EXT_DISP_VAL_L	NAMED_PCT	LR_PCT	VEH_PCT	DRIVER_PCT	FILLED	FILL_PCT	VARIANTS	VENDOR_CODE	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP	NOTE
TOTAL	ALL	Company total	1	19332	92560.36	15421	54677.04	39.5	48.6	45.3	2.6	NULL	NULL	234	NULL	NULL	1455	1802.06	1.9	dispatch doc = OINV, ex-cancelled, ex 2024-09-30 migration. DISP_VAL_L is ALL dispatches incl. branch + intercompany -- EXT_DISP_VAL_L is external-only, and PARTY splits them. Freight A/P 89.8% tied to a named transporter; 32 carrier(s) worth 1281.97 L sit OUTSIDE the transporter supplier group and were pulled in by name. Name spread 196 third-party spellings (234 incl. own-fleet/placeholder) -> 147 keys -> 106 families; LR field = U_BilltyNumber / U_VehicleNoM
FIELD	ODLN.U_TransporterName	Transporter Name	2	2792	NULL	NULL	NULL	NULL	NULL	NULL	NULL	225	8.1	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.LR_NUMBER (bilty)	Bilty / lorry receipt number	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9393	48.6	NULL	NULL	NULL	NULL	NULL	NULL	per-book column: U_BilltyNumber / U_VehicleNoM -- NOT U_LRNUmber, which is captioned Bill Of Entry No.
FIELD	OINV.U_BiltAmt	Bilty Amount	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL	typed field (B), not a list
FIELD	OINV.U_BiltyDate	Bilty Date	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8925	46.2	NULL	NULL	NULL	NULL	NULL	NULL	typed field (D), not a list
FIELD	OINV.U_DriverName	Driver Name	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	494	2.6	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_LRNUmber	Bill Of Entry No. (NOT a lorry receipt)	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	39	0.2	NULL	NULL	NULL	NULL	NULL	NULL	this book: U_LRNUmber -- a customs field, near-empty; the LR lives in the bilty column above
FIELD	OINV.U_Ship_From	Ship From	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	965	5	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_TransporterInvoice	Gate Pass No.	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.U_TransporterName	Transporter Name	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9078	47	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
FIELD	OINV.VEHICLE_NO	Vehicle number (e-way bill Part B)	2	19332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8761	45.3	NULL	NULL	NULL	NULL	NULL	NULL	per-book column: U_BilltyNumber / U_VehicleNoM
FIELD	OPDN.U_TransporterName	Transporter Name	2	10662	NULL	NULL	NULL	NULL	NULL	NULL	NULL	826	7.7	NULL	NULL	NULL	NULL	NULL	NULL	FREE TEXT - no valid-value list in UFD1
NAMECLASS	THIRD_PARTY	Named third-party transporter	3	7644	60257.19	5667	41639.01	NULL	98.2	96.6	5.6	NULL	NULL	196	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	UNNAMED	No transporter recorded	3	10254	21720.98	9116	10878.02	NULL	4.9	1.5	0.2	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	OWN_OR_SELF	Own fleet / collected by customer	3	1224	8369.74	544	2149.09	NULL	95.8	94.4	3.2	NULL	NULL	32	NULL	NULL	NULL	NULL	NULL	NULL
NAMECLASS	UNUSABLE	Placeholder text (NA, NIL, X)	3	210	2212.45	94	10.93	NULL	100	35.2	2.9	NULL	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	EXTERNAL	External customers (real trade)	4	15421	54677.04	15421	54677.04	36.7	42.9	39.5	2.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	INTERCOMPANY	JIVO group company	4	2980	30563.82	0	0	47	72.1	69.6	3.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PARTY	BRANCH	Own branch GST registrations	4	931	7319.5	0	0	61.8	67.7	63.1	7.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MONTH	2024-10	Dispatches in 2024-10	5	1299	4719.24	1071	2127.78	22.2	19.6	17.7	9.4	NULL	NULL	23	NULL	NULL	97	94.94	2	NULL
MONTH	2024-11	Dispatches in 2024-11	5	1286	4265.38	1095	2688.94	21.6	21.1	14.2	10	NULL	NULL	31	NULL	NULL	66	77.08	1.8	NULL
MONTH	2024-12	Dispatches in 2024-12	5	1840	4289.37	1643	2487.58	12.7	12.6	12.3	3.1	NULL	NULL	34	NULL	NULL	102	119.29	2.8	NULL
MONTH	2025-01	Dispatches in 2025-01	5	1126	5269.45	971	3465.34	26.7	27	27.9	2.3	NULL	NULL	38	NULL	NULL	95	70.84	1.3	NULL
