CARD_CODE	CARD_NAME	VENDOR_GROUP	ACCT_KIND	IS_EXCLUDED	OCRD_BALANCE	PAYABLE	VENDOR_ADVANCE	N_OPEN_BILLS	RAW_OPEN	CREDIT_APPLIED	ADJ_OPEN	UNBACKED_CREDIT	MIGRATED_OPEN	BACKDATED_DUE_OPEN	OLDEST_DUE	DAYS_OLDEST	B0_NOTDUE	B1_1_30	B2_31_60	B3_61_90	B4_91_180	B5_181_365	B6_365PLUS	ADJ_OVERDUE_60PLUS	N_UNAPPLIED_PAY	UNAPPLIED_PAY	N_OPEN_CN	OPEN_CN	CO_RAW_OPEN	CO_PAYABLE	CO_ADJ_OPEN	CO_UNBACKED_CREDIT	CO_UNAPPLIED_PAY	CO_OPEN_CN	CO_VENDOR_ADVANCE	CO_MIGRATED_OPEN	CO_BACKDATED_DUE_OPEN	CO_ADJ_OPEN_TRADE	CO_ADJ_OVERDUE_60PLUS_TRADE
VENDA000878	TECHNOPLAST PACKAGING PRIVATE LIMITED	PURCHASE	TRADE	0	-3612278	3612278	0	4	3612278	0	3612278	0	0	0	2026-06-11	72	0	0	1458440	2153838	0	0	0	2153838	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	TRADE	0	-1732171	1732171	0	12	1732171	0	1732171	0	0	0	2025-11-13	282	0	0	1007761	262750	457025	4635	0	724410	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA001364	PYRUM ENGINEERS	PURCHASE	TRADE	0	-306655	306655	0	2	956655	650000	306655	0	0	0	2026-05-20	94	0	0	0	210600	96055	0	0	306655	2	650000	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
ORGV000041	BHUPINDER SINGH GINNI IMPREST JWPL1556	STAFF VENDOR	TRADE	0	-260314	260314	0	131	479050	218736	260314	0	0	0	2026-02-19	184	0	0	6559	152471	101284	0	0	253755	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA000991	GLOBAL REFRIGERATION AND EQUIPMENTS	FIXED ASSETS	TRADE	0	-204612	204612	0	1	204612	0	204612	0	0	0	2025-07-01	417	0	0	0	0	0	0	204612	204612	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA000460	VEETA CONVEYORS ANOPV1426G	FIXED ASSETS	TRADE	0	-177661	177661	0	3	177661	0	177661	0	0	0	2025-07-15	403	0	0	0	0	0	155477	22184	177661	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA000241	VIJAY INDUSTRIES	PURCHASE	TRADE	0	-147492	147492	0	1	147492	0	147492	0	0	0	2025-12-10	255	0	0	0	0	0	147492	0	147492	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA000934	SHREE KESHAV AGRO PVT LTD (AAFCS8174H)	PURCHASE	TRADE	0	-134366	134366	0	1	134366	0	134366	0	0	0	2025-08-07	380	0	0	0	0	0	0	134366	134366	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
ORGV000245	ARVINDER SINGH IMPREST JWPL0115 FACTORY IMPREST 5 LAKH	STAFF VENDOR	TRADE	0	-236798	236798	0	42	186779	0	186779	50019	0	0	2026-05-01	113	0	2060	67191	115795	1733	0	0	117528	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
VENDA000713	FACEBOOK INDIA ONLINE SERVICES PVT LTD	SERVICE	TRADE	0	-102667	102667	0	47	102667	0	102667	0	0	0	2026-03-31	144	11512	11939	7232	48368	23616	0	0	71984	0	0	0	0	35098111.38	22194726.49	21593618.99	601107.5	27451585.77	167560	15367180.56	0	294760	13735491.99	4680842
