CARD_CODE	CARD_NAME	VENDOR_GROUP	ACCT_KIND	IS_EXCLUDED	OCRD_BALANCE	PAYABLE	VENDOR_ADVANCE	N_OPEN_BILLS	RAW_OPEN	CREDIT_APPLIED	ADJ_OPEN	UNBACKED_CREDIT	MIGRATED_OPEN	BACKDATED_DUE_OPEN	OLDEST_DUE	DAYS_OLDEST	B0_NOTDUE	B1_1_30	B2_31_60	B3_61_90	B4_91_180	B5_181_365	B6_365PLUS	ADJ_OVERDUE_60PLUS	N_UNAPPLIED_PAY	UNAPPLIED_PAY	N_OPEN_CN	OPEN_CN	CO_RAW_OPEN	CO_PAYABLE	CO_ADJ_OPEN	CO_UNBACKED_CREDIT	CO_UNAPPLIED_PAY	CO_OPEN_CN	CO_VENDOR_ADVANCE	CO_MIGRATED_OPEN	CO_BACKDATED_DUE_OPEN	CO_ADJ_OPEN_TRADE	CO_ADJ_OVERDUE_60PLUS_TRADE
VENDA000120	FLIPKART INTERNET PVT LTD VEND	E-COMMERCE	TRADE	0	-7076043.11	7076043.11	0	98	16550433	9474389.89	7076043.11	0	0	0	2025-06-10	438	1622217	997302	2726964	0	1729560.11	0	0	1729560.11	7	1663800	68	991574	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000948	ZEPTO/KIRANAKART TECHNOLOGIES PVT LTD VEND	SERVICE	TRADE	0	-3344574.64	3344574.64	0	25	14955593	11611018.36	3344574.64	0	0	0	2025-02-01	567	0	1740000	580000	0	1024574.64	0	0	1024574.64	3	2348281	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000729	SWIGGY LIMITED	IT	TRADE	0	-862007.22	862007.22	0	5	2012938	1150930.78	862007.22	0	0	0	2025-02-01	567	0	0	0	0	0	50	861957.22	862007.22	1	758820.22	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA001029	SWIGGY INSTAMART PVT LTD	E-COMMERCE	TRADE	0	-746085	746085	0	1	746085	0	746085	0	0	0	2026-06-01	82	0	0	0	746085	0	0	0	746085	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000502	SURINDER SINGH KALSI  FREIGHT	SERVICE	TRADE	0	-103556	103556	0	15	103556	0	103556	0	0	0	2025-02-06	562	0	0	0	0	0	8750	94806	103556	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000979	HARE KRISHNA	TRANSPORTER	TRADE	0	-61907	61907	0	7	61907	0	61907	0	0	0	2025-08-18	369	0	0	0	0	0	55990	5917	61907	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000931	CMUNITY INNOVATIONS PRIVATE LIMITED	SERVICE	TRADE	0	-19248	19248	0	1	49000	29752	19248	0	0	0	2025-09-01	355	0	0	0	0	0	19248	0	19248	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
ORGV000217	ARVINDER SINGH IMPREST JWPL0115 FACTORY IMPREST 5 LAKH	STAFF VENDOR	TRADE	0	-61351	61351	0	18	86394	25043	61351	0	0	0	2026-05-22	92	0	13876	40420	7055	0	0	0	7055	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
ORGV000052	SUSHIL KUMAR SINGH IT 20000 IMPREST JWPL0010	STAFF VENDOR	TRADE	0	-2000	2000	0	1	2000	0	2000	0	0	0	2025-09-22	334	0	0	0	0	0	2000	0	2000	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
ORGV000207	DEL JITENDER SINGH IMPREST JWPL2486	STAFF VENDOR	TRADE	0	-1950	1950	0	1	1950	0	1950	0	0	0	2025-08-01	386	0	0	0	0	0	0	1950	1950	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000367	DEL RAMANPREET	SERVICE	TRADE	0	-887	887	0	1	4548	3661	887	0	0	0	2025-12-31	234	0	0	0	0	0	887	0	887	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
ORGV000201	RANJEETA KAUR SAGGU IMPREST JWPL2415	STAFF VENDOR	TRADE	0	-565	565	0	1	70000	69435	565	0	0	0	2025-08-31	356	0	0	0	0	0	565	0	565	1	34435	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
ORGV000202	BALJEET SINGH ASM GT DL IMPREST JWPL0120	STAFF VENDOR	TRADE	0	-94	94	0	1	94	0	94	0	0	0	2025-09-19	337	0	0	0	0	0	94	0	94	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000269	MAHADEV TEMPO SERVICE	TRANSPORTER	TRADE	0	-0.78	0.78	0	8	97347.78	97347	0.78	0	0	0	2025-10-17	309	0	0	0	0	0	0.78	0	0.78	3	97347	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000849	BLINK COMMERCE PRIVATE LIMITED	SERVICE	TRADE	0	-2474619.4	2474619.4	0	2	2474619.36	0	2474619.36	0.04	0	0	2026-06-01	82	0	2474619	0	0.36	0	0	0	0.36	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000934	MVA LOGISITCS LLP	TRANSPORTER	TRADE	0	-0.28	0.28	0	1	1025	1024.72	0.28	0	0	0	2025-01-09	590	0	0	0	0	0	0	0.28	0.28	2	185362	1	8288	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000478	HELIUM 10	E-COMMERCE	TRADE	0	-0.01	0.01	0	1	0.73	0.72	0.01	0	0	0	2025-03-01	539	0	0	0	0	0	0	0.01	0.01	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
VENDA000494	R K WORLDINFOCOM PVT LTD	E-COMMERCE	TRADE	0	-762039.75	762039.75	0	3	1083603	321563.25	762039.75	0	0	0	2026-08-07	15	0	762039.75	0	0	0	0	0	0	0	0	0	0	2196096119.28	292243162.27	291931525.92	311636.35	1856127470.61	155248836.48	4387874.42	0	0	15939190.16	4559490.4
