CARD_CODE	CARD_NAME	VENDOR_GROUP	ACCT_KIND	IS_EXCLUDED	OCRD_BALANCE	PAYABLE	VENDOR_ADVANCE	N_OPEN_BILLS	RAW_OPEN	CREDIT_APPLIED	ADJ_OPEN	UNBACKED_CREDIT	MIGRATED_OPEN	BACKDATED_DUE_OPEN	OLDEST_DUE	DAYS_OLDEST	B0_NOTDUE	B1_1_30	B2_31_60	B3_61_90	B4_91_180	B5_181_365	B6_365PLUS	ADJ_OVERDUE_60PLUS	N_UNAPPLIED_PAY	UNAPPLIED_PAY	N_OPEN_CN	OPEN_CN	CO_RAW_OPEN	CO_PAYABLE	CO_ADJ_OPEN	CO_UNBACKED_CREDIT	CO_UNAPPLIED_PAY	CO_OPEN_CN	CO_VENDOR_ADVANCE	CO_MIGRATED_OPEN	CO_BACKDATED_DUE_OPEN	CO_ADJ_OPEN_TRADE	CO_ADJ_OVERDUE_60PLUS_TRADE
VENDA001347	INDRANI FOODS	PURCHASE OIL	TRADE	0	-50604960	50604960	0	6	50604960	0	50604960	0	0	0	2025-05-15	464	0	0	0	0	0	12687592	37917368	50604960	0	0	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA001490	MAHA MAYA FOOD PRODUCTS PRIVATE LIMITED	PURCHASE OIL	TRADE	0	-37000004	37000004	0	5	50375704	13375700	37000004	0	0	0	2025-09-01	355	0	0	0	0	0	37000004	0	37000004	3	13375700	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA000052	VEE KAY ENTERPRISES	PURCHASE OIL	TRADE	0	-35844570	35844570	0	7	52418670	16574100	35844570	0	0	0	2026-02-01	202	0	0	0	27899099	7945471	0	0	35844570	5	16574100	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA000698	CONCEPT COLOUR	PURCHASE OIL	TRADE	0	-32400000	32400000	0	7	45665000	13265000	32400000	0	0	0	2025-03-19	521	0	0	0	0	0	11166605	21233395	32400000	5	13265000	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA001555	NURTURING FOODS LLP	PURCHASE	TRADE	0	-27938400	27938400	0	4	40938400	13000000	27938400	0	0	0	2026-01-19	215	0	0	0	0	0	27938400	0	27938400	5	13000000	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA000959	ILAHI CO	PURCHASE	TRADE	0	-5313827	5313827	0	15	38152101	32838274	5313827	0	0	0	2026-02-06	197	0	0	0	5313827	0	0	0	5313827	5	37809010	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA001047	BLESSING ADVERTISING PVT. LTD.	PURCHASE	TRADE	0	-2965533.4	2965533.4	0	3	2626265.4	0	2626265.4	339268	143855.4	143855.4	2017-11-28	3189	0	0	0	2482410	0	0	143855.4	2626265.4	0	0	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA000977	INDUSTRIAL AIDERS	FIXED ASSETS	TRADE	0	-964747	964747	0	12	3007437	2042690	964747	0	0	0	2025-01-31	568	0	0	27199	937548	0	0	0	937548	2	3058080	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA000373	RELIANCE RETAIL LIMITED JIOMART	E-COMMERCE	TRADE	0	-863324.49	863324.49	0	1204	5177373	4314048.51	863324.49	0	0	0	2024-10-01	690	0	0	9890	294664	240930	317840.49	0	853434.49	4	60000	286	655787	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
VENDA000638	OCTAVOS ENTERPRISES SOLUTION PVT LTD	SERVICE	TRADE	0	-849126	849126	0	4	1108880	259754	849126	0	0	0	2025-03-19	521	0	0	0	0	849126	0	0	849126	0	0	0	0	3107075765.73	1032034358.72	1025090931.98	6943426.74	20177122474.13	3401633	84353874.27	2584492.58	2605437.58	226783972.18	200583776.96
