brand,skus
[None],3723
Ary,488
Amul,385
Nayasa,330
Britannia,329
Parle,324
Cadbury,322
Nestle,318
R.K,316
Haldiram,250
Amul Macho,210
Patanjali,174
Bhushan,167
China1,161
Om,159
Cream Bell,152
Raja,143
Rk,143
Dabur,141
Academy,131
Vip,130
Sunil,129
Tejoo Mal,125
Sunfeast,123
Dove,115
Jivo,114
Excel,112
Bt,112
Batra,112
Colgate,107
Dettol,106
Coke,105
Bingo,100
Johnsons,94
A.S.B.S,94
Cambridge,93
Lux,91
Manchanda Mixed Bag,89
Parker,88
Itc,87
Vaseline,87
Head & Shoulders,85
Jockey,84
Himalaya,82
Hari Darshan,81
Real,80
Sindh,79
Kelloggs,78
Saroj,76
Lays,76
Kimti,76
W2,72
Pepsi,72
Classmate,72
Vadilal,71
Hemant,69
Godrej,68
Fogg,68
Rajinder,68
Sparx,68
Catch,68
Ponds,67
Engage,67
Harish,64
Surf Excel,64
Vim,63
Blaze,63
Minchy's,62
Perfetti,61
Park Avenue,61
Cremica,59
Vikas,58
Mtr,55
Lotus,54
Usha,54
Dr.Oetker,54
Tide,54
Bonn,53
Amul Gold,53
Chai,52
Ratna Sagar,52
Tresemme,52
Dashmesh,51
Yasa,50
J.K,50
Hammerman,50
Lifebuoy,50
Knorr,50
Ms,50
Lakme,50
Sun Silk,50
Nivea,50
Pampers,50
Garnier,50
Kurkure,49
Wool O Wool,47
Darshan,45
Prem Parkash,45
Gillette,44
Devdarshan,44
Khub,44
Havells,44
Campus,43
Shagun,43
Pantene,42
Veeba,42
Kissan,41
Flu,41
Brooke Bond,40
Sahil,40
Chings,40
Doms,39
Vardhman,39
Mdh,39
Pepsodent,39
Rin,39
Del Monte,39
Denver,38
Bhagwati,38
Organic India,37
Cello,37
None,36
Clinic Plus,36
Pk,35
Avish,35
Oral B,35
Bikano,35
Verka,34
Lakhani,34
Tata,34
Liza,34
Tropicana,33
Satguru,33
Wild Stone,33
Emami,32
Kcs,32
Whisper,32
Wow,32
Savour,32
Ruchi,32
Keya,31
Grienta,31
Mother's Recipe,31
Mccain,31
Yardley,31
Apollo,31
Stayfree,31
Pranav,31
Bellavita,30
Cosco,30
Kwality Wall's,30
Nicholas,30
Paper Boat,29
Too Yumm,28
Axe,28
Odonil Ture,27
Pine,27
Maggi,27
Shinestar,27
Flair,27
Mars,26
Sapphire,26
Jl Ent,26
Jogindera,26
Bajaj,26
Skyline,25
Orbit,25
B-Block,25
Saffola,24
Tucson,24
Asbs,24
Parleagro,24
Pears,24
Sugam,24
Plix,24
Kish,23
Oddy,23
Camlin,23
K.K.,23
Indiyum,23
Uniq,23
Fax,23
Virender,23
Harpic,23
Gsk,23
Parachute,22
Cordova,22
Ayur,22
Marico,22
Khurana,22
Tf,21
