group_id,product_group,skus,active_skus
141,Personal Care,3063,3063
113,Confectionery,2915,2915
159,Vegetable,1333,91
148,Stationary,1142,1138
157,Under Garment,722,697
160,Winter Wear,656,608
130,General Items,634,634
134,House Hold,614,614
153,Toiletories,524,524
127,Footwear,496,476
146,Spices,444,444
135,Jam & Sauce,378,378
117,Crockery,377,377
136,Kitchen Utility,372,372
120,Drinks,369,334
183,Unstiched Suits,343,343
118,Decoratives,341,341
191,Mens Wear,340,340
145,Soft Drinks,291,291
181,Academy Books,288,0
129,Fruits,275,76
138,Medicare,272,272
111,Bag & Purses,241,240
115,Container,240,240
152,Tea & Coffee,238,238
107,Accessories,235,234
132,Home Furnishing,231,230
161,Academy Dress,220,206
155,Toys,220,220
126,Food Supplement,205,205
154,Toy & Sports,202,202
109,Appliances,197,184
192,Womens Wear,173,173
189,Thermals,168,156
143,Rice & Other Grains,166,166
190,Raw Material,149,149
147,Sports,136,136
116,Cookware,133,133
121,Dry Fruits,131,131
194,Bakery Items,127,127
123,Electricals,123,120
108,Night Wear,114,110
142,Pulses,107,107
124,Fabrics,99,99
125,Fashion Jewellery,96,91
114,China,87,87
184,Kids Wear,83,83
185,Ladies Ethnic Wear,82,82
122,Edible Oil & Ghee,76,76
110,Atta & Other Flours,76,76
144,Salt & Sugar,74,74
171,Mini Meals,71,51
137,Life Style,69,69
178,Tandoori,58,58
128,Frozen,57,57
119,Disposable,54,53
174,Shakes,53,44
140,Oil & Ghee,51,51
172,Others,49,49
169,Chinese Items,41,28
193,Dairy Products,41,41
180,Veg Delight,33,33
1,[None],30,29
173,Sandwiches,30,29
175,Snacks & Breakfast,30,29
131,Gurmat,27,27
179,Tawa Items,22,18
195,Packing,20,8
133,Hot Drinks,18,17
167,Chatpati Items,15,12
158,Upper Wear,14,14
170,Hot Drink,12,9
151,Sweets,11,11
176,Soups,9,9
139,Mobile,8,8
163,Kakars,6,5
168,Cheese & Sandwich,5,5
177,South Indian,4,4
165,Fabric,3,3
197,Cooking Consumable,2,2
196,Food,1,1
112,Bottom Wear,1,1
149,Suits & Dresses,1,1
198,Milk Shake,1,1
150,Sweet,1,1
