group_id,product_group,subgroup_id,sub_group,skus
1,[None],1,[None],30
181,Academy Books,1007,Books,288
161,Academy Dress,243,Academy Dress,0
161,Academy Dress,889,Blue Suit,73
161,Academy Dress,890,Dastar Blue,12
161,Academy Dress,1072,Dastar Keshri,1
161,Academy Dress,1014,Dastar White,5
161,Academy Dress,285,Eu Uniforms,22
161,Academy Dress,892,Kachhera,20
161,Academy Dress,1020,Maroon Suits,12
161,Academy Dress,1016,Patka Blue,5
161,Academy Dress,894,Patka White,6
161,Academy Dress,1013,Suit,0
161,Academy Dress,895,White Suit,64
107,Accessories,1031,Baby Accessories,3
107,Accessories,284,Baz,6
107,Accessories,300,Blade,13
107,Accessories,324,Buds,14
107,Accessories,382,Comb,22
107,Accessories,437,Earphone,8
107,Accessories,858,Elastic,4
107,Accessories,860,Hair Baz,1
107,Accessories,516,I Card Holder,1
107,Accessories,1006,Jwellery Accessories,11
107,Accessories,542,Key Ring,11
107,Accessories,566,Lock,53
107,Accessories,596,Mirror,10
107,Accessories,600,Mobile Accessories,6
107,Accessories,601,Mobile Set,3
107,Accessories,618,Nail Cutter,16
107,Accessories,619,Nalle,2
107,Accessories,883,Photograph,1
107,Accessories,693,Ribbon,6
107,Accessories,702,Safty Pin,5
107,Accessories,728,Shoe Brush,2
107,Accessories,730,Shoes Polish,11
107,Accessories,731,Shower,1
107,Accessories,804,Tooth Pick,4
107,Accessories,898,Tooth Picks,0
107,Accessories,822,Umbrella,21
109,Appliances,303,Blender,8
109,Appliances,389,Cooker,20
109,Appliances,400,Curd Maker,2
109,Appliances,429,Dryer,5
109,Appliances,435,Dvd Player,1
109,Appliances,441,Electrical,61
109,Appliances,520,Immersion Rod,12
109,Appliances,521,Iron,32
109,Appliances,555,Lamp,6
109,Appliances,599,Mixer Grinder,21
109,Appliances,668,Plug Top,1
109,Appliances,764,Steamer,1
109,Appliances,773,Switch,19
109,Appliances,794,Toaster,5
109,Appliances,829,Vaporiser,3
110,Atta & Other Flours,256,Atta,45
110,Atta & Other Flours,292,Besan,12
110,Atta & Other Flours,458,Flours,4
110,Atta & Other Flours,575,Maida,15
110,Atta & Other Flours,592,Miada,0
111,Bag & Purses,268,Bags,199
111,Bag & Purses,870,Pitthoo Bag,1
111,Bag & Purses,683,Purse,31
111,Bag & Purses,817,Travel Bag,10
194,Bakery Items,317,Bread,128
182,Beverage,1012,Beverage,0
112,Bottom Wear,551,Ladies Ethnic,0
112,Bottom Wear,637,Pajama,1
167,Chatpati Items,902,Aloo Chat,3
167,Chatpati Items,246,Aloo Tikki,1
167,Chatpati Items,921,Dahi Bhalla,1
167,Chatpati Items,922,Dahi Gol Gappa,1
167,Chatpati Items,929,Gol Gappa,0
167,Chatpati Items,961,Papri Chat,1
167,Chatpati Items,977,Samosa Chat,8
168,Cheese & Sandwich,910,Cheese & Sandwich,5
114,China,453,Fan,4
114,China,675,Power Bank,7
114,China,753,Speaker,5
114,China,839,Watch,71
169,Chinese Items,906,Burgar,6
169,Chinese Items,911,Cheese Chilli Dry,3
169,Chinese Items,916,Choupsy,1
169,Chinese Items,925,Fried Momos,2
169,Chinese Items,574,Maggi,5
169,Chinese Items,942,Manchurian Dry,1
169,Chinese Items,943,Manchurian Dry  Grovy,1
169,Chinese Items,945,Mashroom Chilly,1
169,Chinese Items,951,Momoss,5
169,Chinese Items,953,Noodles Full,4
169,Chinese Items,954,Noodles Half,3
169,Chinese Items,969,Potato Chilly,3
169,Chinese Items,986,Spring Rolls,5
169,Chinese Items,987,Spring Rolls Half,1
113,Confectionery,242,Aam Papad,2
113,Confectionery,294,Biscuits,824
113,Confectionery,327,Butter & Cheese,22
113,Confectionery,885,Chewingum,61
113,Confectionery,361,Chocklate,0
113,Confectionery,362,Chocolate,481
113,Confectionery,397,Cream Roll,2
113,Confectionery,1024,Crush,8
113,Confectionery,917,Curd,26
113,Confectionery,517,Ice Cream,412
113,Confectionery,934,Ice Creams,9
113,Confectionery,518,Idli,0
113,Confectionery,547,Kurkure,41
113,Confectionery,1081,Milky Bar,1
113,Confectionery,1082,Phone,1
113,Confectionery,699,Rusk,18
113,Confectionery,746,Snacks,684
113,Confectionery,759,Squash,21
113,Confectionery,772,Sweets,67
113,Confectionery,795,Toffee,234
115,Container,314,Box,13
115,Container,387,Container,180
115,Container,572,Lunch Box,47
197,Cooking Consumable,1079,Cooking Consumable Gas,2
116,Cookware,359,Chimta,5
116,Cookware,470,Fry Pan,19
116,Cookware,472,Gas Stove,8
116,Cookware,534,Kadai,13
116,Cookware,541,Kettle,21
116,Cookware,640,Palta,3
116,Cookware,647,Patila,13
116,Cookware,676,Pressure Cooker,17
116,Cookware,692,Regulator,2
116,Cookware,752,Souspan,19
116,Cookware,779,Tawa,13
117,Crockery,313,Bowl,49
117,Crockery,388,Containers,14
117,Crockery,399,Cup,11
117,Crockery,479,Glass,48
117,Crockery,545,Kitchen Utilities,134
117,Crockery,1048,Lid,1
117,Crockery,609,Mug,49
117,Crockery,665,Plate,39
117,Crockery,818,Tray,26
117,Crockery,827,Utility,6
193,Dairy Products,1073,Fresh Cream,2
193,Dairy Products,1075,Loose Paneer,4
193,Dairy Products,1074,Packed Lassi,10
193,Dairy Products,408,Packed Milk,25
118,Decoratives,271,Baloon,18
118,Decoratives,331,Candle,17
118,Decoratives,332,Canfdle,11
118,Decoratives,410,Decorative,232
118,Decoratives,459,Flower Vase,1
118,Decoratives,460,Foil Paper,0
118,Decoratives,659,Photo Frame,33
118,Decoratives,775,Table Clock,22
118,Decoratives,880,Wall Clock,7
119,Disposable,666,Dispo Plate,4
119,Disposable,756,Dispo Spoon,1
119,Disposable,420,Disposable,49
120,Drinks,373,Coce,0
120,Drinks,378,Cold Drinks,153
120,Drinks,379,Cold Drinks Soft,88
120,Drinks,425,Drinks,27
120,Drinks,427,Drinks Flavour,16
120,Drinks,454,Fanta,0
120,Drinks,850,Flavoured Milk,47
120,Drinks,531,Fresh Juice,38
120,Drinks,562,Limka,0
120,Drinks,758,Sprite,0
121,Dry Fruits,264,Badam,17
121,Dry Fruits,329,Caehew,0
121,Dry Fruits,344,Cashew,14
121,Dry Fruits,374,Coconut,2
121,Dry Fruits,428,Dry Fruits,63
121,Dry Fruits,473,General Items,1
121,Dry Fruits,544,Kismis,10
121,Dry Fruits,612,Munakka,4
121,Dry Fruits,649,Peanuts,12
121,Dry Fruits,664,Pista,8
122,Edible Oil & Ghee,438,Edible Oil,47
122,Edible Oil & Ghee,439,Edible Oil & Ghee,4
122,Edible Oil & Ghee,1076,Olive Oil,11
122,Edible Oil & Ghee,1009,Refined Oil,6
122,Edible Oil & Ghee,833,Vanaspati Oil,8
123,Electricals,325,Bulb,35
123,Electricals,348,Cell,16
123,Electricals,385,Computer Parts,9
123,Electricals,445,Extention,3
123,Electricals,1010,Hair Dryer,5
123,Electricals,507,Heater Rod,2
123,Electricals,1026,Hot Plate,3
123,Electricals,1056,Internet Switch,2
123,Electricals,696,Room Heater,15
123,Electricals,810,Torch,31
123,Electricals,1022,Tube Light,2
165,Fabric,1084,Beige,0
165,Fabric,446,Fabric,3
165,Fabric,1085,Fawn,0
124,Fabrics,782,Than,94
124,Fabrics,786,Thread,5
125,Fashion Jewellery,371,Clutcher,25
125,Fashion Jewellery,436,Ear Tops,3
125,Fashion Jewellery,456,Finger Ring,2
125,Fashion Jewellery,499,Hair Clip,51
125,Fashion Jewellery,687,Rakhi,2
125,Fashion Jewellery,698,Rubber Band,13
196,Food,1078,Uttappam,1
126,Food Supplement,349,Cerelac,35
126,Food Supplement,1054,Chayanprash,2
126,Food Supplement,363,Chocolate Powder,6
126,Food Supplement,384,Complan,15
126,Food Supplement,462,Food Supplement,13
126,Food Supplement,442,Health Drink,11
126,Food Supplement,513,Honey,21
126,Food Supplement,515,Horlicks,24
126,Food Supplement,1061,Kheer,1
126,Food Supplement,550,Lactogen,7
126,Food Supplement,1053,Musli,1
126,Food Supplement,631,Nutella,10
126,Food Supplement,1052,Nutrela,1
126,Food Supplement,1051,Pop Corn,1
126,Food Supplement,546,Premix Soup,57
127,Footwear,270,Bally,22
127,Footwear,1071,Crocks,2
127,Footwear,864,Kids Slipper,0
127,Footwear,893,Ladies Slipper,17
127,Footwear,709,Sandal,33
127,Footwear,710,Sandals,13
127,Footwear,729,Shoes,211
127,Footwear,743,Slipper,198
128,Frozen,467,Frozen,40
128,Frozen,491,Green Peas,1
128,Frozen,673,Potato Bites,13
128,Frozen,745,Smilyes,3
129,Fruits,250,Apple,50
129,Fruits,274,Banana,6
129,Fruits,468,Fruit,26
129,Fruits,485,Goosebeery,1
129,Fruits,487,Grapes,16
129,Fruits,494,Guava,11
129,Fruits,538,Keenu,11
129,Fruits,564,Litchi,6
129,Fruits,569,Long Melon,1
129,Fruits,573,Lychee,1
129,Fruits,576,Mango,22
129,Fruits,588,Melon,13
129,Fruits,633,Orange,14
129,Fruits,642,Papaya,17
129,Fruits,648,Peach,17
129,Fruits,650,Pears,11
129,Fruits,669,Plum,5
