product_group,skus_sold,qty,value
Confectionery,947,694260.520,10880301.750000
Personal Care,1096,160016.000,5454409.120000
Academy Dress,100,12242.500,4981035.500000
Winter Wear,233,6683.000,4397047.960000
Fruits,65,89582.073,3914273.934000
Vegetable,71,89570.471,2945026.769000
Chinese Items,11,52223.000,2693285.000000
Footwear,124,5059.000,2353077.850000
Fabrics,46,29075.948,2210377.620000
Unstiched Suits,65,1659.000,2201411.600000
Oil & Ghee,18,5910.379,2051124.000000
Drinks,109,75261.000,2020307.000000
General Items,235,121474.800,1997651.100000
Rice & Other Grains,69,30167.138,1899951.554000
Atta & Other Flours,38,32415.670,1698355.820000
Mini Meals,12,30576.200,1600903.400000
Dry Fruits,54,9651.948,1583578.645000
Stationary,310,63287.000,1487585.360000
Womens Wear,57,1775.000,1401382.910000
Mens Wear,61,4377.000,1343840.560000
Home Furnishing,62,4193.000,1195871.000000
Accessories,103,29416.500,1195870.500000
Toiletories,166,38305.000,1167774.000000
Edible Oil & Ghee,31,6293.000,1167318.800000
Soft Drinks,88,53835.000,1072793.200000
Pulses,42,13712.999,1068823.697000
Bag & Purses,66,2590.000,1032349.000000
Spices,178,29853.500,1030472.570000
Dairy Products,16,17849.571,1009095.669000
Night Wear,42,1556.000,911513.300000
House Hold,280,9464.000,890697.125000
Under Garment,261,13644.000,872694.780000
Bakery Items,54,38139.000,748219.000000
Sandwiches,3,6454.000,669585.000000
Salt & Sugar,39,16323.970,646873.100000
[None],4,594822.000,632835.000000
Tea & Coffee,71,19119.000,612789.400000
Crockery,129,5977.000,545122.000000
Thermals,66,1288.000,504097.000000
Chatpati Items,4,28449.000,443920.000000
Others,6,6950.181,415593.200000
Toy & Sports,22,2100.000,389966.000000
Hot Drinks,3,9798.000,388720.000000
Kitchen Utility,150,4552.000,362072.000000
Medicare,102,8458.000,339640.060000
Food Supplement,56,7937.000,325853.490000
Jam & Sauce,154,36439.000,300214.000000
Tawa Items,5,11298.000,282500.000000
Ladies Ethnic Wear,18,1434.220,243606.271600
Container,88,2521.000,217248.000000
Decoratives,58,3891.000,208410.800000
Appliances,48,296.000,179250.690000
Sports,41,1454.000,175164.000000
Electricals,31,3991.000,160530.000000
Cookware,40,261.000,150943.000000
Shakes,4,4064.000,147530.000000
Snacks & Breakfast,3,3229.000,115105.000000
Tandoori,5,2584.000,110760.000000
Upper Wear,2,909.000,95985.000000
Toys,18,445.000,85813.000000
Veg Delight,9,899.000,81704.000000
Hot Drink,1,4808.000,72120.000000
Life Style,10,322.000,69896.000000
Frozen,24,561.000,51677.000000
Kakars,6,846.000,43887.000000
Kids Wear,13,325.000,42738.040000
Fashion Jewellery,2,1005.000,38199.000000
Gurmat,7,765.000,35775.000000
Disposable,18,6888.000,31499.000000
China,4,22.000,21002.000000
Soups,5,975.000,19500.000000
Milk Shake,1,120.000,3600.000000
Mobile,2,5.000,2690.000000
Packing,3,15.000,1023.000000
Food,1,4.000,568.000000
