product_group,subgroup_id,sub_group,skus,active_skus
,243,Academy Dress,0,0
,287,Bed Heet,0,0
,329,Caehew,0,0
,361,Chocklate,0,0
,373,Coce,0,0
,454,Fanta,0,0
,460,Foil Paper,0,0
,465,Fried Rice,0,0
,502,Hair Oils,0,0
,518,Idli,0,0
,551,Ladies Ethnic,0,0
,562,Limka,0,0
,592,Miada,0,0
,598,Misri,0,0
,605,Mosquito,0,0
,701,Saffron Rice,0,0
,741,Slat,0,0
,758,Sprite,0,0
,771,Suplimentary Foods,0,0
,776,Powder N In Use,0,0
,788,Threads Pine,0,0
,805,Toothbruh Inactive,0,0
,806,Toothbrush Inactive,0,0
,801,Tomatp Pichkoo,0,0
,864,Kids Slipper,0,0
,867,Lotion Not In Use,0,0
,871,Powder Niu,0,0
,898,Tooth Picks,0,0
,923,Espresso Coffee,0,0
,929,Gol Gappa,0,0
,1012,Beverage,0,0
,1013,Suit,0,0
,1046,Dabur Hygienic,0,0
,1062,Sweet Corn Cup,0,0
,1065,Sink Brush,0,0
,1084,Beige,0,0
,1085,Fawn,0,0
[None],1,[None],30,29
Academy Books,1007,Books,288,0
Academy Dress,889,Blue Suit,73,67
Academy Dress,895,White Suit,64,59
Academy Dress,285,Eu Uniforms,22,22
Academy Dress,892,Kachhera,20,20
Academy Dress,890,Dastar Blue,12,11
Academy Dress,1020,Maroon Suits,12,12
Academy Dress,894,Patka White,6,5
Academy Dress,1014,Dastar White,5,5
Academy Dress,1016,Patka Blue,5,4
Academy Dress,1072,Dastar Keshri,1,1
Accessories,566,Lock,53,53
Accessories,382,Comb,22,22
Accessories,822,Umbrella,21,21
Accessories,618,Nail Cutter,16,16
Accessories,324,Buds,14,14
Accessories,300,Blade,13,13
Accessories,542,Key Ring,11,11
Accessories,730,Shoes Polish,11,11
Accessories,1006,Jwellery Accessories,11,11
Accessories,596,Mirror,10,10
Accessories,437,Earphone,8,8
Accessories,284,Baz,6,6
Accessories,600,Mobile Accessories,6,6
Accessories,693,Ribbon,6,6
Accessories,702,Safty Pin,5,5
Accessories,804,Tooth Pick,4,4
Accessories,858,Elastic,4,4
Accessories,1031,Baby Accessories,3,3
Accessories,601,Mobile Set,3,3
Accessories,619,Nalle,2,1
Accessories,728,Shoe Brush,2,2
Accessories,731,Shower,1,1
Accessories,516,I Card Holder,1,1
Accessories,860,Hair Baz,1,1
Accessories,883,Photograph,1,1
Appliances,441,Electrical,61,48
Appliances,521,Iron,32,32
Appliances,599,Mixer Grinder,21,21
Appliances,389,Cooker,20,20
Appliances,773,Switch,19,19
Appliances,520,Immersion Rod,12,12
Appliances,303,Blender,8,8
Appliances,555,Lamp,6,6
Appliances,794,Toaster,5,5
Appliances,429,Dryer,5,5
Appliances,829,Vaporiser,3,3
Appliances,400,Curd Maker,2,2
Appliances,435,Dvd Player,1,1
