TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
AccountMaster,1,AccountID,int,NO
AccountMaster,2,AccountName,nvarchar,NO
AccountMaster,3,GroupID,int,NO
AccountMaster,4,CostCenter,bit,NO
AccountMaster,5,BillWiseDetail,bit,NO
AccountMaster,6,CreditDays,smallint,NO
AccountMaster,7,CreditLimit,decimal,NO
AccountMaster,8,PriceListID,smallint,NO
AccountMaster,9,Address1,nvarchar,NO
AccountMaster,10,Address2,nvarchar,NO
AccountMaster,11,Address3,nvarchar,NO
AccountMaster,12,CityID,int,NO
AccountMaster,13,StateID,int,NO
AccountMaster,14,CountryID,smallint,NO
AccountMaster,15,Pincode,nvarchar,NO
AccountMaster,16,Phone,nvarchar,NO
AccountMaster,17,EMail,nvarchar,NO
AccountMaster,18,Website,nvarchar,NO
AccountMaster,19,Remarks,nvarchar,NO
AccountMaster,20,ContactPerson,nvarchar,NO
AccountMaster,21,ContactPersonMobile,nvarchar,NO
AccountMaster,22,CSTNo,nvarchar,NO
AccountMaster,23,VATNo,nvarchar,NO
AccountMaster,24,PANNo,nvarchar,NO
AccountMaster,25,ServiceTaxNo,nvarchar,NO
AccountMaster,26,DebitAmount,decimal,NO
AccountMaster,27,CreditAmount,decimal,NO
AccountMaster,28,IsFixed,bit,NO
AccountMaster,29,IsActive,bit,NO
AccountMaster,30,VATClassID,smallint,NO
AccountMaster,31,IntRate,decimal,NO
AccountMaster,32,IntRatePer,smallint,NO
AccountMaster,33,AMField1,nvarchar,NO
AccountMaster,34,AMField2,nvarchar,NO
AccountMaster,35,AMField3,nvarchar,NO
AccountMaster,36,AMField4,nvarchar,NO
AccountMaster,37,AMField5,nvarchar,NO
AccountMaster,38,AMField6,nvarchar,NO
AccountMaster,39,AMField7,nvarchar,NO
AccountMaster,40,AMField8,nvarchar,NO
AccountMaster,41,AMField9,nvarchar,NO
AccountMaster,42,AMField10,nvarchar,NO
AccountMaster,43,Link,nvarchar,NO
AccountMaster,44,UseInPayroll,bit,NO
AccountMaster,45,StreetNumber,nvarchar,NO
AccountMaster,46,StreetID,int,NO
AccountMaster,47,LocalityID,int,NO
AccountMaster,48,TeamID,nvarchar,NO
AccountMaster,49,AccountCode,nvarchar,NO
AccountMaster,50,LogUser,smallint,NO
AccountMaster,51,LogLocation,smallint,NO
AccountMaster,52,LogSession,nvarchar,NO
AccountMaster,53,MLNumber,bigint,NO
AccountMaster,54,GSTINNo,nvarchar,NO
AccountMaster,55,TeamIDReport,nvarchar,NO
AccountMaster,56,GSTRegnType,smallint,NO
AccountMaster,57,OptIn,smallint,NO
AccountMaster,58,LocationFilter,smallint,NO
AccountMaster,59,CKMappingID,smallint,NO
AccountMaster,60,CKMappingName,nvarchar,NO
AccountMaster,61,MapLocationID,smallint,NO
AccountWithAdd,1,AccountID,int,NO
AccountWithAdd,2,AccountName,nvarchar,NO
AccountWithAdd,3,GroupID,int,NO
AccountWithAdd,4,CostCenter,bit,NO
AccountWithAdd,5,BillWiseDetail,bit,NO
AccountWithAdd,6,CreditDays,smallint,NO
AccountWithAdd,7,CreditLimit,decimal,NO
AccountWithAdd,8,PriceListID,smallint,NO
AccountWithAdd,9,Address1,nvarchar,NO
AccountWithAdd,10,Address2,nvarchar,NO
AccountWithAdd,11,Address3,nvarchar,NO
AccountWithAdd,12,CityID,int,NO
AccountWithAdd,13,StateID,int,NO
AccountWithAdd,14,CountryID,smallint,NO
AccountWithAdd,15,Pincode,nvarchar,NO
AccountWithAdd,16,Phone,nvarchar,NO
AccountWithAdd,17,EMail,nvarchar,NO
AccountWithAdd,18,Website,nvarchar,NO
AccountWithAdd,19,Remarks,nvarchar,NO
AccountWithAdd,20,ContactPerson,nvarchar,NO
AccountWithAdd,21,ContactPersonMobile,nvarchar,NO
AccountWithAdd,22,CSTNo,nvarchar,NO
AccountWithAdd,23,VATNo,nvarchar,NO
AccountWithAdd,24,PANNo,nvarchar,NO
AccountWithAdd,25,ServiceTaxNo,nvarchar,NO
AccountWithAdd,26,DebitAmount,decimal,NO
AccountWithAdd,27,CreditAmount,decimal,NO
AccountWithAdd,28,IsFixed,bit,NO
AccountWithAdd,29,IsActive,bit,NO
AccountWithAdd,30,VATClassID,smallint,NO
AccountWithAdd,31,IntRate,decimal,NO
AccountWithAdd,32,IntRatePer,smallint,NO
AccountWithAdd,33,AMField1,nvarchar,NO
AccountWithAdd,34,AMField2,nvarchar,NO
AccountWithAdd,35,AMField3,nvarchar,NO
AccountWithAdd,36,AMField4,nvarchar,NO
AccountWithAdd,37,AMField5,nvarchar,NO
AccountWithAdd,38,AMField6,nvarchar,NO
AccountWithAdd,39,AMField7,nvarchar,NO
AccountWithAdd,40,AMField8,nvarchar,NO
AccountWithAdd,41,AMField9,nvarchar,NO
AccountWithAdd,42,AMField10,nvarchar,NO
AccountWithAdd,43,Link,nvarchar,NO
AccountWithAdd,44,UseInPayroll,bit,NO
AccountWithAdd,45,StreetNumber,nvarchar,NO
AccountWithAdd,46,StreetID,int,NO
AccountWithAdd,47,LocalityID,int,NO
AccountWithAdd,48,TeamID,nvarchar,NO
AccountWithAdd,49,AccountCode,nvarchar,NO
AccountWithAdd,50,LogUser,smallint,NO
AccountWithAdd,51,LogLocation,smallint,NO
AccountWithAdd,52,LogSession,nvarchar,NO
AccountWithAdd,53,MLNumber,bigint,NO
AccountWithAdd,54,GSTINNo,nvarchar,NO
AccountWithAdd,55,TeamIDReport,nvarchar,NO
AccountWithAdd,56,GSTRegnType,smallint,NO
AccountWithAdd,57,OptIn,smallint,NO
AccountWithAdd,58,LocationFilter,smallint,NO
AccountWithAdd,59,CKMappingID,smallint,NO
AccountWithAdd,60,CKMappingName,nvarchar,NO
AccountWithAdd,61,MapLocationID,smallint,NO
AccountWithAdd,62,CityName,nvarchar,NO
AccountWithAdd,63,StateName,nvarchar,NO
AccountWithAdd,64,CountryName,nvarchar,NO
AccountWithAdd,65,StreetName,nvarchar,NO
AccountWithAdd,66,LocalityName,nvarchar,NO
AccountWithGroup,1,AccountID,int,NO
AccountWithGroup,2,AccountName,nvarchar,NO
AccountWithGroup,3,GroupName,nvarchar,NO
AccountWithGroup,4,GroupID,int,NO
AccountWithGroup,5,CostCenter,bit,NO
AccountWithGroup,6,BillWiseDetail,bit,NO
AccountWithGroup,7,CreditDays,smallint,NO
AccountWithGroup,8,CreditLimit,decimal,NO
AccountWithGroup,9,Address1,nvarchar,NO
AccountWithGroup,10,Address2,nvarchar,NO
AccountWithGroup,11,Address3,nvarchar,NO
