table_name,rows
TransactionChild,5127541
SaleDetail,2904146
TransactionMaster,1111478
SalePayment,1109913
SaleHeader,1088607
TempDetail00025P,856987
RefMaster,582298
TempDetail0002EZ,377132
TempDetail0002C4,275444
ActivityLog,232781
TempDetail0002MF,182016
TempDetail0002MG,182016
TempDetail00025Q,182006
TempHeader00025P,179609
TempDetail00020X,168449
TempDetail0002F2,149863
TempDetail00020T,134652
ProductChildMaster,111021
StockTransferDetail,107988
Stock,104221
TempStockTable,102893
PurchaseDetail,89960
StockJournalDetail,81943
TempHeader0002EZ,79570
TempHeader0002C4,57976
PhysicalStockDetail,41755
TempHeader0002MF,38399
TempHeader0002MG,38399
TempHeader00025Q,38397
TempHeader00020X,36516
TempHeader0002F2,31592
TempHeader00020T,28037
SessionMaster,27319
StockTransferHeader,22297
ProductMaster,21466
DesignationChild,20696
Header00030B,19306
tbl_ARYBS,11635
PurchaseHeader,9221
ShortcutAndButton,8001
MasterCreation,4842
AccountMaster,4841
CustomerMaster,3514
OutboxData,3323
SaleReturnDetail,3288
FieldMaster,2932
PhysicalStockHeader,2835
ViewChild,2624
DisplayMaster,2484
StockJournalHeader,2199
RateChangeDetail,2149
SaleReturnHeader,1891
SaleReturnPayment,1891
ChargesDetail,1750
SysApplicationMaster,1216
BrandMaster,1195
HSNSACMaster,1184
AttachmentUpload,1083
FormatMaster,1065
BillVerificationLog,1040
PurchaseReturnDetail,937
MenuMaster,877
SubGroupMaster,846
SaleOrderDetail,800
DocumentHubActivityLog,469
MenuChild,465
PurchaseReturnHeader,369
Header000JVO,365
TableMaster,298
RateChangeHeader,290
OpenOtherWindow,272
Header000EXG,247
RestMenuChild,239
MatrixListMaster,224
DependantMaster,154
StreetMaster,147
ViewMaster,142
ActivityLogMaster,142
SaleBudget,118
ListEditorFieldMaster,108
BatchMaster,100
CityMaster,98
DataRetrieve,98
LocalityMaster,97
OptionTypeMaster,96
ProductGroupMaster,93
VoucherMaster,84
OptionChild,79
UserMaster,76
DocumentHubFileVersions,66
TaxChild,65
Header0003UR,62
GroupMaster,59
LocationSMSSetup,51
VATClassMaster,51
AutoNumber,44
LocationEMailSetup,43
ListEditorMaster,40
ListEditorChild,40
TaxMaster,39
VoucherTypeMaster,32
ReportMaster,30
Properties,30
OptionMaster,30
CostCenterTransaction,29
UDFMaster,29
DataTypeMaster,28
SaleChallanDetail,25
StateMaster,24
LayoutChild,24
ListMaster,23
DataSendChild,22
DocumentHubFiles,22
DepartmentMaster,21
DocumentHubFolders,19
DesignationMaster,17
SaleOrderHeader,17
SalesPersonMaster,16
StationMaster,14
SchemeMaster,13
ModeOfPaymentType,13
UnitMaster,12
WarehouseMaster,12
ModeOfPayment,11
LanguageMaster,11
ImportExportDetail,9
ModeOfPaymentChild,8
ComboProduct,8
CustomerTypeMaster,7
StatusMaster,7
SchemeChild,6
ChargesMaster,6
GroupTypeMaster,6
OPOSMaster,5
MatrixMaster,5
PrincipalCompanyMaster,5
DesignationCategory,5
ServiceModeMaster,4
PurchaseOrderDetail,4
TeamMaster,4
StockTransferOrderDetail,4
ReportColumns,3
LocationMaster,3
ImportExportHeader,3
LayoutMaster,2
LocationExportSetting,2
LocationProcessSetup,2
DayMaster,2
DataSendMaster,2
CostCenterMaster,2
CountryMaster,2
BarcodePrinterMaster,2
RestMenuMaster,2
PurchaseOrderHeader,2
PriceListMaster,2
UserLog,2
YesNoMaster,2
WorkPlanMaster,1
Walkins,1
VehicleMaster,1
StockTransferOrderHeader,1
ProductROQMaster,1
Registration,1
ResourceMaster,1
RestKOT,1
SaleChallanHeader,1
RestModifierMaster,1
SkillMaster,1
SaleOrderPayment,1
SeatMaster,1
Server,1
CancellationReasonMaster,1
ActivityMaster,1
AttendanceTypeMaster,1
CurrencyMaster,1
CounterMaster,1
ContainerMaster,1
CardTypeMaster,1
CustomerInOut,1
FeedbackMaster,1
ForcedQuestionMaster,1
ListTemp,1
JobMaster,1
JoinTable,0
HolidayMaster,0
HotelTransactionData,0
LocationChildRateMaster,0
InboxData,0
InventoryAccountSerialTable,0
IPBXSetting,0
IssueCustDetail,0
IssueCustHeader,0
IssueJobberDetail,0
IssueJobberHeader,0
GSTRUploadData,0
GiftVoucherChild,0
GiftVoucherMaster,0
Header0003UW,0
LocationTaxMaster,0
LocationVendorMaster,0
LocationWhatsAppSetup,0
LockItemMaster,0
NominationMaster,0
NoShowPolicyMaster,0
PrinterRedirectMaster,0
ProductMatrixRelationMaster,0
ProductRecipeMaster,0
PostMaster,0
PostMemberType,0
PrepaidTransaction,0
PriceListChild,0
PriceListLocation,0
PayHeadCalcFormula,0
