schema	table	pos	column	type	max_len	prec	scale	nullable
dbo	abc	1	name	nvarchar	100	0	0	true
dbo	abc	2	addr	nvarchar	100	0	0	true
dbo	ActualItemSold	1	ID	int	4	10	0	false
dbo	ActualItemSold	2	DispatchID	int	4	10	0	true
dbo	ActualItemSold	3	ProductId	int	4	10	0	true
dbo	ActualItemSold	4	ProductName	nvarchar	100	0	0	true
dbo	ActualItemSold	5	ProductQuantity	float	8	53	0	true
dbo	ActualItemSold	6	TotalQuantity	float	8	53	0	true
dbo	ActualItemSold	7	Pieces	int	4	10	0	true
dbo	ActualItemSold	8	Cost	float	8	53	0	true
dbo	ActualItemSold	9	TotalCost	float	8	53	0	true
dbo	ActualItemSold	10	Deleted	bit	1	1	0	true
dbo	ActualItemSold	11	DeletedBy	int	4	10	0	true
dbo	ActualItemSold	12	DeletionDate	datetime	8	23	3	true
dbo	ActualItemSold	13	CreatedBy	int	4	10	0	true
dbo	ActualItemSold	14	CreatedOn	datetime	8	23	3	true
dbo	ActualItemSold	15	DeletedByName	nvarchar	100	0	0	true
dbo	ActualItemSold	16	CreatedbyName	nvarchar	100	0	0	true
dbo	ActualItemSold	17	rate	float	8	53	0	true
dbo	ActualItemSold	18	totalPrice	float	8	53	0	true
dbo	ActualItemSold	19	gst	decimal	9	19	6	true
dbo	ActualItemSold	20	gstType	varchar	10	0	0	true
dbo	ActualItemSold	21	tax	decimal	9	19	6	true
dbo	ActualItemSold	22	isScheme	bit	1	1	0	true
dbo	ActualItemSold	23	receivedOn	datetime	8	23	3	true
dbo	ActualItemSold	24	receivedPieces	decimal	9	19	6	true
dbo	ActualItemSold	25	remarks	varchar	200	0	0	true
dbo	ActualItemSoldSuper	1	ID	int	4	10	0	false
dbo	ActualItemSoldSuper	2	DispatchID	int	4	10	0	true
dbo	ActualItemSoldSuper	3	ProductId	int	4	10	0	true
dbo	ActualItemSoldSuper	4	ProductName	nvarchar	100	0	0	true
dbo	ActualItemSoldSuper	5	ProductQuantity	float	8	53	0	true
dbo	ActualItemSoldSuper	6	TotalQuantity	float	8	53	0	true
dbo	ActualItemSoldSuper	7	Pieces	int	4	10	0	true
dbo	ActualItemSoldSuper	8	Cost	float	8	53	0	true
dbo	ActualItemSoldSuper	9	TotalCost	float	8	53	0	true
dbo	ActualItemSoldSuper	10	Deleted	bit	1	1	0	true
dbo	ActualItemSoldSuper	11	DeletedBy	int	4	10	0	true
dbo	ActualItemSoldSuper	12	DeletionDate	datetime	8	23	3	true
dbo	ActualItemSoldSuper	13	CreatedBy	int	4	10	0	true
dbo	ActualItemSoldSuper	14	CreatedOn	datetime	8	23	3	true
dbo	ActualItemSoldSuper	15	DeletedByName	nvarchar	100	0	0	true
dbo	ActualItemSoldSuper	16	CreatedbyName	nvarchar	100	0	0	true
dbo	ActualItemSoldSuper	17	rate	float	8	53	0	true
dbo	ActualItemSoldSuper	18	totalPrice	float	8	53	0	true
dbo	ActualItemSoldSuper	19	gst	decimal	9	19	6	true
dbo	ActualItemSoldSuper	20	gstType	varchar	10	0	0	true
dbo	ActualItemSoldSuper	21	tax	decimal	9	19	6	true
dbo	ActualSales	1	DispatchID	int	4	10	0	false
dbo	ActualSales	2	SalesId	int	4	10	0	true
dbo	ActualSales	3	RetailerId	int	4	10	0	true
dbo	ActualSales	4	RetailerName	nvarchar	100	0	0	true
dbo	ActualSales	5	DistId	int	4	10	0	true
dbo	ActualSales	6	DistName	nvarchar	100	0	0	true
dbo	ActualSales	7	DistState	nvarchar	100	0	0	true
dbo	ActualSales	8	DistZone	nvarchar	100	0	0	true
dbo	ActualSales	9	DistArea	nvarchar	100	0	0	true
dbo	ActualSales	10	SalesPersonId	int	4	10	0	true
dbo	ActualSales	11	SalesPersonName	nvarchar	100	0	0	true
dbo	ActualSales	12	Comment	nvarchar	-1	0	0	true
dbo	ActualSales	13	Status	nvarchar	20	0	0	true
dbo	ActualSales	14	SalesOrderDate	datetime	8	23	3	true
dbo	ActualSales	15	SalesDate	datetime	8	23	3	true
dbo	ActualSales	16	Deleted	bit	1	1	0	true
dbo	ActualSales	17	DeletedBy	int	4	10	0	true
dbo	ActualSales	18	DeletionDate	datetime	8	23	3	true
dbo	ActualSales	19	CreatedBy	int	4	10	0	true
dbo	ActualSales	20	CreatedOn	datetime	8	23	3	true
dbo	ActualSales	21	DeletedByName	nvarchar	100	0	0	true
dbo	ActualSales	22	CreatedbyName	nvarchar	100	0	0	true
dbo	ActualSales	23	initialAmount	float	8	53	0	true
dbo	ActualSales	24	tradeDiscount	float	8	53	0	true
dbo	ActualSales	25	tradeDiscountAmnt	float	8	53	0	true
dbo	ActualSales	26	amountAfterTradeDiscount	float	8	53	0	true
dbo	ActualSales	27	taxation	nvarchar	100	0	0	true
dbo	ActualSales	28	taxAmount	float	8	53	0	true
dbo	ActualSales	29	amountAfterTax	float	8	53	0	true
dbo	ActualSales	30	cashDiscount	float	8	53	0	true
dbo	ActualSales	31	cashDiscountAmount	float	8	53	0	true
dbo	ActualSales	32	finalAmount	float	8	53	0	true
dbo	ActualSales	33	isReceived	bit	1	1	0	true
dbo	ActualSales	34	receiveComments	varchar	100	0	0	true
dbo	ActualSales	35	isDirectFromOrder	bit	1	1	0	true
dbo	ActualSales	36	receivedOn	datetime	8	23	3	true
dbo	ActualSales	37	deliveryStatus	int	4	10	0	true
dbo	ActualSales	38	scheduledOn	datetime	8	23	3	true
dbo	ActualSalesSuper	1	DispatchID	int	4	10	0	false
dbo	ActualSalesSuper	2	SalesId	int	4	10	0	true
dbo	ActualSalesSuper	3	RetailerId	int	4	10	0	true
dbo	ActualSalesSuper	4	RetailerName	nvarchar	100	0	0	true
dbo	ActualSalesSuper	5	DistId	int	4	10	0	true
dbo	ActualSalesSuper	6	DistName	nvarchar	100	0	0	true
dbo	ActualSalesSuper	7	DistState	nvarchar	100	0	0	true
dbo	ActualSalesSuper	8	DistZone	nvarchar	100	0	0	true
dbo	ActualSalesSuper	9	DistArea	nvarchar	100	0	0	true
dbo	ActualSalesSuper	10	SalesPersonId	int	4	10	0	true
dbo	ActualSalesSuper	11	SalesPersonName	nvarchar	100	0	0	true
dbo	ActualSalesSuper	12	Comment	nvarchar	-1	0	0	true
dbo	ActualSalesSuper	13	Status	nvarchar	20	0	0	true
dbo	ActualSalesSuper	14	SalesOrderDate	datetime	8	23	3	true
dbo	ActualSalesSuper	15	SalesDate	datetime	8	23	3	true
dbo	ActualSalesSuper	16	Deleted	bit	1	1	0	true
dbo	ActualSalesSuper	17	DeletedBy	int	4	10	0	true
dbo	ActualSalesSuper	18	DeletionDate	datetime	8	23	3	true
dbo	ActualSalesSuper	19	CreatedBy	int	4	10	0	true
dbo	ActualSalesSuper	20	CreatedOn	datetime	8	23	3	true
dbo	ActualSalesSuper	21	DeletedByName	nvarchar	100	0	0	true
dbo	ActualSalesSuper	22	CreatedbyName	nvarchar	100	0	0	true
dbo	ActualSalesSuper	23	initialAmount	float	8	53	0	true
dbo	ActualSalesSuper	24	tradeDiscount	float	8	53	0	true
dbo	ActualSalesSuper	25	tradeDiscountAmnt	float	8	53	0	true
dbo	ActualSalesSuper	26	amountAfterTradeDiscount	float	8	53	0	true
dbo	ActualSalesSuper	27	taxation	nvarchar	100	0	0	true
dbo	ActualSalesSuper	28	taxAmount	float	8	53	0	true
dbo	ActualSalesSuper	29	amountAfterTax	float	8	53	0	true
dbo	ActualSalesSuper	30	cashDiscount	float	8	53	0	true
dbo	ActualSalesSuper	31	cashDiscountAmount	float	8	53	0	true
dbo	ActualSalesSuper	32	finalAmount	float	8	53	0	true
dbo	actualUpdateSalary	1	id	int	4	10	0	false
dbo	actualUpdateSalary	2	salesPersonId	int	4	10	0	true
dbo	actualUpdateSalary	3	salesPersonName	nvarchar	200	0	0	true
dbo	actualUpdateSalary	4	salaryDate	datetime	8	23	3	true
dbo	actualUpdateSalary	5	daysPresent	nvarchar	100	0	0	true
dbo	actualUpdateSalary	6	basicSalary	float	8	53	0	true
dbo	actualUpdateSalary	7	basicPayable	float	8	53	0	true
dbo	actualUpdateSalary	8	epfPercentage	float	8	53	0	true
dbo	actualUpdateSalary	9	epf	float	8	53	0	true
dbo	actualUpdateSalary	10	internet	nvarchar	100	0	0	true
dbo	actualUpdateSalary	11	mobile	nvarchar	100	0	0	true
