schema	table	column
dbo	ActualItemSold	ID
dbo	ActualItemSoldSuper	ID
dbo	ActualSales	DispatchID
dbo	ActualSalesSuper	DispatchID
dbo	actualUpdateSalary	id
dbo	AddTA	Id
dbo	callerWiseReport21	ID
dbo	CommandLog	ID
dbo	Contacts	id
dbo	deviceTracker	Id
dbo	sysdiagrams	diagram_id
dbo	TAReprotSave	Id
dbo	taxation	id
dbo	tbl_AndroidConsoleActionLog	id
dbo	tbl_androidMessage	id
dbo	tbl_apiexceptions	id
dbo	tbl_approvalHead	ID
dbo	tbl_areas	areaId
dbo	tbl_asmDistributorMap	id
dbo	tbl_AssignCaller_Sonu	id
dbo	tbl_AttendanceAudit	id
dbo	tbl_attendanceLog	Id
dbo	tbl_BeatAssign	id
dbo	tbl_beats	beatId
dbo	tbl_BeatShopMapTemp	id
dbo	tbl_BeatShopMovementLog	id
dbo	tbl_callerSoMap_Sonu	id
dbo	tbl_CallerStateMap21	csmID
dbo	Tbl_Dist_Login	DistId
dbo	tbl_distorders	id
dbo	tbl_distributorContacts	id
dbo	tbl_DistributorlastLogin	Id
dbo	tbl_distributorPrimary	distStockId
dbo	tbl_DistributorQuery	Id
dbo	tbl_distributorShopMap	Id
dbo	tbl_distributorStock	distStockId
dbo	tbl_ecom_sales	id
dbo	tbl_emails	id
dbo	tbl_emailTypes	id
dbo	tbl_forecastSlots	slotId
dbo	tbl_geoLocation	id
dbo	tbl_geoLocationOld	id
dbo	tbl_Gift	giftId
dbo	tbl_GiftMapwithRetailer	Id
dbo	tbl_item	Id
dbo	tbl_ItemGroupName	Id
dbo	tbl_ItemImages	imageId
dbo	tbl_itemModuleLog	Id
dbo	tbl_itemStates	Id
dbo	tbl_itemType	Id
dbo	tbl_JivoPromotion	Id
dbo	tbl_loginUser	UserID
dbo	tbl_loginUserLog	Id
dbo	tbl_loginUserStates	id
dbo	tbl_managersUsage	id
dbo	tbl_messagesFromAndroid	id
dbo	tbl_pageMaster	id
dbo	tbl_pagePermission	id
dbo	tbl_payments_line	id
dbo	tbl_PersonGroupMaster	id
dbo	tbl_PersonState	Id
dbo	tbl_PersonType	Id
dbo	tbl_primary_sales	id
dbo	tbl_ProductsSold	Id
dbo	tbl_productsSoldPrimary	id
dbo	tbl_ProductsSoldPromoter	Id
dbo	tbl_ProductsSoldTemp	Id
dbo	tbl_PromoterAppSalesJsonLog	id
dbo	tbl_resources	id
dbo	tbl_RetailerGroup	GroupId
dbo	tbl_retailerMonthlySale	id
dbo	tbl_retailerMonthlyTarget	id
dbo	tbl_retailerPercentage	id
dbo	tbl_retailers	Id
dbo	tbl_retailersModifiedLog	Id
dbo	tbl_retailersTemp	Id
dbo	tbl_retailerStock	id
dbo	tbl_return	id
dbo	tbl_returnFiles	id
dbo	tbl_returnItem	id
dbo	tbl_roles	Id
dbo	tbl_SalesActionLog	id
dbo	tbl_SalesHeaderEditLog	LogId
dbo	tbl_salesPersonAttendance	id
dbo	tbl_salespersonLogs	Id
dbo	tbl_salesPersonMontlhyStock	id
dbo	tbl_salesPersonMontlhyTarget	id
dbo	tbl_SalesProductStockEditLog	LogId
dbo	tbl_SalesReport	salesId
dbo	tbl_salesReportPrimary	id
dbo	tbl_SalesReportPromoter	salesId
dbo	tbl_SalesReportTemp	salesId
dbo	tbl_saveGift	Id
dbo	tbl_SchemeProductsSold	Id
dbo	tbl_SoAppSalesJsonLog	id
dbo	tbl_soPromoterMap	id
dbo	tbl_states	stateId
dbo	tbl_stockLedger	ledgerId
dbo	tbl_StoreSale	id
dbo	tbl_subArea	subAreaId
dbo	tbl_superDistMap	id
dbo	tbl_TA_PersonRate	Id
dbo	tbl_TA_PersonRetailerKm	Id
dbo	tbl_TA_PlaceKm	Id
dbo	tbl_TA_TravelMode	TravelModeId
dbo	tbl_travellingAllowance	id
dbo	tbl_travellingAllowancetest	id
dbo	tbl_UOMMaster	ID
dbo	tbl_updatesalary	id
dbo	tbl_updatesalaryLog	id
dbo	tbl_updatesalarytest	id
dbo	tbl_uploadstatus	loadingid
dbo	tbl_userGcmMap	id
dbo	tbl_userStateMap	id
dbo	tbl_zoneAreaLog	Id
dbo	tbl_zones	zoneId
dbo	Tempdata	ID
dbo	Tempdata2	ID
dbo	tests	id
dbo	todayTarget	id
dbo	Traces	id
