schema	table	rows	cols
dbo	tbl_geoLocation	27025798	15
dbo	tbl_apiexceptions	8542943	4
dbo	saleLog	2407434	3
dbo	tbl_SalesReport	2128082	49
dbo	hslog	952160	1
dbo	tbl_ProductsSold	685525	24
dbo	tbl_retailerStock	585587	5
dbo	tbl_salesreport_dupshop	511857	49
dbo	tbl_salesPersonAttendance	426001	11
dbo	tbl_SchemeProductsSold	423746	16
dbo	tbl_ProductsSoldPromoter	362550	17
dbo	tbl_productssold_bak	275855	24
dbo	beatShopLog	260659	3
dbo	tbl_distStockProducts	255106	12
dbo	tbl_salesperson_bak1	197940	8
dbo	tbl_SalesReportPromoter	185646	28
dbo	tbl_BeatShopMap	182151	8
dbo	tbl_messagesFromAndroid	151141	19
dbo	tbl_beatshopmap_bak	145303	8
dbo	tbl_BeatAssign	144341	5
dbo	tbl_retailers	127395	58
dbo	tbl_dupshops	127099	10
dbo	tbl_diststockproducts_bak	124355	12
dbo	TempTable	117790	167
dbo	tbl_salesreportpromoter_bak	114137	27
dbo	tbl_payments_line	113547	23
dbo	tbl_SalesReportTemp	98154	41
dbo	tbl_retailersTemp	87933	34
dbo	tbl_ProductsSoldTemp	65237	17
dbo	tbl_retailerMonthlySale	55534	4
dbo	tbl_retailers_bak	52315	58
dbo	tbl_retailer_googlehedge	51067	3
dbo	tbl_retailers_oldcontacts	49088	58
dbo	tbl_dupshops_20240429	48469	10
dbo	tbl_retailer_originalhedge	46233	58
dbo	tbl_dupshops_l4	45995	10
dbo	tbl_dupshops_bak	44902	10
dbo	retailerLastSale	40173	4
dbo	tbl_AttendanceAudit	34811	9
dbo	tbl_saveGift	34236	12
dbo	tbl_stockLedger	21751	10
dbo	deviceTracker	18778	6
dbo	tbl_distributorStock	18767	16
dbo	tbl_ecom_sales	13387	94
dbo	tbl_primary_sales	12542	18
dbo	tbl_AllSalesData	12185	7
dbo	tbl_RetailerHedgeLog	9918	6
dbo	tbl_distributorstock_bak	8880	16
dbo	tbl_distributorBills	8750	4
dbo	sap_sales_log	8009	17
dbo	tb_distributorstock_bak	7703	14
dbo	tbl_retailersModifiedLog	6359	50
dbo	tbl_monthlystock	6141	6
dbo	tbl_SoAppSalesJsonLog	5267	5
dbo	tbl_beats	4882	8
dbo	tbl_userGcmMap	4334	6
dbo	tbl_beats_bak	3984	8
dbo	todayTarget	3751	6
dbo	tests	2981	2
dbo	tbl_shelfImages	2956	5
dbo	tbl_GiftMapwithRetailer	2837	7
dbo	tbl_categoryWiseTargets	2200	26
dbo	tbl_itemStates	2112	3
dbo	tbl_itemstates_bak	1972	3
dbo	tbl_PersonState	1937	3
dbo	tbl_salesperson	1809	82
dbo	tbl_monthlystock_bak	1732	6
dbo	tbl_areas	1636	5
dbo	tbl_promoterShopMap	1423	3
dbo	tbl_loginUserStates	1394	3
dbo	tbl_salesperson_bak	1359	80
dbo	tbl_distorders	1315	20
dbo	tbl_ecom_returns	1224	12
dbo	tbl_distmappings	1050	5
dbo	tbl_distPrimaryProducts	774	9
dbo	tbl_pagePermission	736	9
dbo	tbl_subArea	683	3
dbo	tbl_SalesActionLog	598	8
dbo	tbl_salesPersonMontlhyTarget	581	6
dbo	tbl_numbertable	365	1
dbo	tbl_item	333	31
dbo	tbl_dsrjwpl	317	2
dbo	tbl_PromoterAppSalesJsonLog	312	5
dbo	tbl_TA_PersonRetailerKm	305	11
dbo	tbl_item_bak	240	31
dbo	tbl_distributorPrimary	222	22
dbo	tbl_uploadstatus	195	3
dbo	Sheet1$	180	4
dbo	tbl_zones	178	6
dbo	tbl_ItemImages	158	4
dbo	tbl_SalesProductStockEditLog	129	19
dbo	tbl_hierarchy	117	3
dbo	tbl_loginUser	87	16
dbo	tbl_mergeRetailerHedgeLog	76	5
dbo	tbl_retailerMonthlyTarget	59	10
dbo	tbl_promoterAadharCards	49	2
dbo	tbl_promoterResumes	49	2
dbo	tbl_AndroidConsoleActionLog	48	8
dbo	tbl_soPromoterMap	48	5
dbo	tbl_flavours	43	5
dbo	tbl_androidMessage	36	7
dbo	tbl_pageMaster	32	10
dbo	tbl_distributorShopMap	28	6
dbo	tbl_payments_hdr	27	7
dbo	TAReprotSave	24	22
dbo	tbl_itemType	23	7
dbo	tbl_states	21	6
dbo	tbl_Gift	15	9
dbo	distanceTableTemp	13	3
dbo	tbl_PersonType	13	3
dbo	tbl_TA_PersonRate	11	10
dbo	tbl_productiveTarget	10	4
dbo	tbl_salesreport_bak	7	42
dbo	tbl_ItemGroupName	6	2
dbo	tbl_PersonGroupMaster	6	3
dbo	tbl_retailerFeedbacks	6	4
dbo	tbl_CC_OrderDetails	5	10
dbo	tbl_CC_Orders	5	16
dbo	tbl_roles	5	2
dbo	tbl_TA_TravelMode	4	7
dbo	tbl_salespersonLogs	3	41
dbo	tbl_TA_PlaceKm	3	9
dbo	tbl_BeatShopMovementLog	2	9
dbo	tbl_RetailerGroup	2	2
dbo	tbl_UOMMaster	2	7
dbo	tbl_visitTarget	2	4
dbo	tbl_attendanceLog	1	11
dbo	tbl_currentstatus	1	2
dbo	tbl_dual	1	1
dbo	tbl_ecom_lastfile	1	1
dbo	tbl_loginUserLog	1	18
dbo	abc	0	2
dbo	ActualItemSold	0	25
dbo	ActualItemSoldSuper	0	21
