CO,CC3,CC4,ACCT,ANAME,GRP,MTH,NET,TXNS
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-06,3,866
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-07,-5,933
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-04,93,891
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-05,59,1022
OIL,BackOff,IT,5680003,TELEPHONE MOBILE AND INTERNET,568,2026-04,6537,21
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-04,3556082,116
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-05,5120429,166
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-06,4215232,202
OIL,BackOff,IT,5680004,SOFTWARE AND TECHNOLOGY,568,2026-07,72791,5
OIL,Med MKT,DIGTAL M,5640001,ADVERTISEMENT,564,2026-07,20638,12
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-07,5985908,277
OIL,,,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-05,-6500,3
OIL,OTE,(blank),5680012,PRINTING AND STATIONERY,568,2026-04,-50,3
OIL,Del Bkhp,(blank),5670002,UNLOADING/LOADING CHARGES-INDIRECT EXPENSE,567,2026-04,138614,34
OIL,FACT_COM,(blank),5680016,SECURITY EXPENSES,568,2026-06,-48426,4
OIL,FACT_COM,(blank),5680016,SECURITY EXPENSES,568,2026-05,302091,5
OIL,FACT_COM,(blank),5680022,COMPUTER AND HARDWARE,568,2026-05,2200,3
OIL,FACT_COM,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-06,344681,24
OIL,Del Bkhp,(blank),5670002,UNLOADING/LOADING CHARGES-INDIRECT EXPENSE,567,2026-06,102815,36
OIL,BackOff,Legal,5640004,SAMPLING EXPENSES,564,2026-07,0,2
OIL,Factory,(blank),5630004,REFRESHMENT,563,2026-07,153280,16
OIL,FACT_COM,(blank),5680016,SECURITY EXPENSES,568,2026-07,141594,2
OIL,FACT_COM,(blank),5680012,PRINTING AND STATIONERY,568,2026-07,16544,4
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-06,127043,62
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2026-06,58646,59
OIL,Sales RE,E-COM,5660003,STORAGE CHARGES INDIRECT,566,2026-06,69460,5
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-07,7387,2
OIL,Factory,(blank),5640004,SAMPLING EXPENSES,564,2026-04,630,1
OIL,FACT_COM,(blank),5680022,COMPUTER AND HARDWARE,568,2026-04,3590,2
OIL,FACT_COM,(blank),5690002,CONVEYANCE,569,2026-04,4284,4
OIL,Del Bkhp,(blank),5630004,REFRESHMENT,563,2026-04,13950,9
OIL,Del Bkhp,(blank),5680012,PRINTING AND STATIONERY,568,2026-04,930,2
OIL,Del Bkhp,(blank),5650002,REPAIR & MAINTENANCE VEHICLE,565,2026-04,4337,4
OIL,Factory,(blank),5630004,REFRESHMENT,563,2026-04,133451,21
OIL,Factory,(blank),5630003,STAFF WELFARE,563,2026-04,5442,5
OIL,FACT_COM,(blank),5650002,REPAIR & MAINTENANCE VEHICLE,565,2026-04,50,1
OIL,FACT_COM,(blank),5650015,FUEL - VEHICLES,565,2026-04,50188,15
OIL,Del Bkhp,(blank),5660005,TOLL EXPENSE - VEHICLES,566,2026-04,39395,8
OIL,FACT_COM,(blank),5650016,REPAIR AND MAINTENANCE PLANT & MACHINERY,565,2026-04,2170,3
OIL,Factory,(blank),5660005,TOLL EXPENSE - VEHICLES,566,2026-04,500,3
OIL,Del Bkhp,(blank),5690002,CONVEYANCE,569,2026-04,4820,2
OIL,Factory,(blank),5630003,STAFF WELFARE,563,2026-05,11010,8
OIL,Factory,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-05,101633,14
OIL,Factory,(blank),5640004,SAMPLING EXPENSES,564,2026-05,12000,2
OIL,Factory,(blank),5630004,REFRESHMENT,563,2026-05,117565,25
OIL,Del Bkhp,(blank),5670002,UNLOADING/LOADING CHARGES-INDIRECT EXPENSE,567,2026-05,225459,36
OIL,Del Bkhp,(blank),5630004,REFRESHMENT,563,2026-05,8100,9
OIL,Del Bkhp,(blank),5660005,TOLL EXPENSE - VEHICLES,566,2026-05,51960,9
OIL,FACT_COM,(blank),5680012,PRINTING AND STATIONERY,568,2026-05,11740,2
OIL,FACT_COM,(blank),5690002,CONVEYANCE,569,2026-05,4131,4
OIL,Factory,(blank),5690002,CONVEYANCE,569,2026-05,36722,6
OIL,FACT_COM,(blank),5630003,STAFF WELFARE,563,2026-05,860,1
OIL,FACT_COM,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-05,27100,9
OIL,Factory,(blank),5650002,REPAIR & MAINTENANCE VEHICLE,565,2026-05,1500,5
OIL,Factory,(blank),5650015,FUEL - VEHICLES,565,2026-05,15318,6
OIL,Factory,(blank),5670002,UNLOADING/LOADING CHARGES-INDIRECT EXPENSE,567,2026-05,2350,2
OIL,FACT_COM,(blank),5680023,POSTAGE & COURIER,568,2026-05,2920,2
OIL,Del Bkhp,(blank),5650015,FUEL - VEHICLES,565,2026-05,309812,10
OIL,Del Bkhp,(blank),5690002,CONVEYANCE,569,2026-05,450,2
OIL,Factory,(blank),5690002,CONVEYANCE,569,2026-06,5890,7
OIL,Factory,(blank),5660005,TOLL EXPENSE - VEHICLES,566,2026-05,520,2
OIL,Factory,(blank),5680023,POSTAGE & COURIER,568,2026-05,1208,3
OIL,Factory,(blank),5680023,POSTAGE & COURIER,568,2026-06,1459,3
OIL,Factory,(blank),5650002,REPAIR & MAINTENANCE VEHICLE,565,2026-04,270,1
OIL,Factory,(blank),5650016,REPAIR AND MAINTENANCE PLANT & MACHINERY,565,2026-04,18269,11
OIL,FACT_COM,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-04,316001,19
OIL,Factory,(blank),5680012,PRINTING AND STATIONERY,568,2026-04,300,1
OIL,FACT_COM,(blank),5630004,REFRESHMENT,563,2026-04,13170,2
OIL,Factory,(blank),5690002,CONVEYANCE,569,2026-04,1294,3
OIL,FACT_COM,(blank),5680012,PRINTING AND STATIONERY,568,2026-04,11800,2
OIL,FACT_COM,(blank),5680003,TELEPHONE MOBILE AND INTERNET,568,2026-04,17511,5
OIL,Factory,(blank),5680015,HOUSE KEEPING,568,2026-04,1972,4
OIL,FACT_COM,(blank),5650016,REPAIR AND MAINTENANCE PLANT & MACHINERY,565,2026-05,33520,8
OIL,FACT_COM,(blank),5630004,REFRESHMENT,563,2026-05,2500,1
OIL,Factory,(blank),5650016,REPAIR AND MAINTENANCE PLANT & MACHINERY,565,2026-05,70998,5
OIL,Factory,(blank),5680015,HOUSE KEEPING,568,2026-05,13398,9
OIL,Factory,(blank),5680012,PRINTING AND STATIONERY,568,2026-05,2700,3
OIL,Factory,(blank),5680021,LOSS ON EXPIRED DAMAGED THEFT GOODS,568,2026-05,1100,1
OIL,BackOff,IT,5680003,TELEPHONE MOBILE AND INTERNET,568,2026-05,25954,16
OIL,FACT_COM,(blank),5650002,REPAIR & MAINTENANCE VEHICLE,565,2026-05,28326,4
OIL,FACT_COM,(blank),5680015,HOUSE KEEPING,568,2026-05,91958,6
OIL,Del Bkhp,(blank),5660005,TOLL EXPENSE - VEHICLES,566,2026-06,30080,7
OIL,Factory,(blank),5630003,STAFF WELFARE,563,2026-06,5620,4
OIL,Factory,(blank),5630004,REFRESHMENT,563,2026-06,152345,21
OIL,Factory,(blank),5680012,PRINTING AND STATIONERY,568,2026-06,7600,3
OIL,Factory,(blank),5680015,HOUSE KEEPING,568,2026-06,15580,6
OIL,Med MKT,DIGTAL M,5640001,ADVERTISEMENT,564,2026-04,226520,18
OIL,Med MKT,DIGTAL M,5640001,ADVERTISEMENT,564,2026-05,121946,16
OIL,Med MKT,DIGTAL M,5640001,ADVERTISEMENT,564,2026-06,1629204,4
OIL,Sales,E-COM,5650015,FUEL - VEHICLES,565,2026-04,0,4
OIL,Factory,(blank),5650015,FUEL - VEHICLES,565,2026-04,3188,4
OIL,Del Bkhp,(blank),5650015,FUEL - VEHICLES,565,2026-04,173896,6
OIL,FACT_COM,(blank),5680001,GENERATOR INDIRECT,568,2026-04,62385,2
OIL,Transprt,(blank),5650015,FUEL - VEHICLES,565,2026-04,9599,2
OIL,FACT_COM,(blank),5680001,GENERATOR INDIRECT,568,2026-05,119784,3
OIL,FACT_COM,(blank),5650015,FUEL - VEHICLES,565,2026-05,80777,19
OIL,Transprt,(blank),5650015,FUEL - VEHICLES,565,2026-05,94724,13
OIL,FACT_COM,(blank),5650015,FUEL - VEHICLES,565,2026-06,34554,12
OIL,Factory,(blank),5650015,FUEL - VEHICLES,565,2026-06,2260,2
OIL,Del Bkhp,(blank),5650015,FUEL - VEHICLES,565,2026-06,102858,6
OIL,FACT_COM,(blank),5680001,GENERATOR INDIRECT,568,2026-06,61607,1
OIL,FACT_COM,(blank),5690002,CONVEYANCE,569,2026-06,5577,6
OIL,FACT_COM,(blank),5650015,FUEL - VEHICLES,565,2026-07,53064,14
OIL,Factory,(blank),5650015,FUEL - VEHICLES,565,2026-07,1790,2
OIL,Del Bkhp,(blank),5650015,FUEL - VEHICLES,565,2026-07,99221,6
OIL,FACT_COM,(blank),5680001,GENERATOR INDIRECT,568,2026-07,7109,1
OIL,FACT_COM,(blank),5690002,CONVEYANCE,569,2026-07,3091,2
OIL,Factory,(blank),5680028,FREIGHT INWARD-INDIRECT,568,2026-06,7014,5
OIL,Sales,GT,5630005,TA AND DA,563,2026-06,395681,17
OIL,Sales,ROI,5630005,TA AND DA,563,2026-06,91240,9
OIL,Sales,CSD,5630005,TA AND DA,563,2026-06,20458,3
OIL,Sales,GT,5630005,TA AND DA,563,2026-04,180178,11
OIL,Sales,ROI,5630005,TA AND DA,563,2026-04,41093,4
OIL,Sales,HORECA,5630002,INCENTIVE TO EMPLOYEES,563,2026-05,11000,2
OIL,Sales,GT,5630002,INCENTIVE TO EMPLOYEES,563,2026-05,99569,8
OIL,Sales,GT,5630005,TA AND DA,563,2026-05,19716,2
OIL,Sales,MT,5630002,INCENTIVE TO EMPLOYEES,563,2026-05,51960,7
OIL,Sales,GT,5630002,INCENTIVE TO EMPLOYEES,563,2026-06,180900,8
OIL,Sales,GT,5630002,INCENTIVE TO EMPLOYEES,563,2026-07,165918,7
OIL,Sales,MT,5630002,INCENTIVE TO EMPLOYEES,563,2026-07,16834,4
OIL,Sales,HORECA,5630002,INCENTIVE TO EMPLOYEES,563,2026-07,5000,1
OIL,Factory,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-06,129942,11
OIL,FACT_COM,(blank),5650016,REPAIR AND MAINTENANCE PLANT & MACHINERY,565,2026-07,79194,7
OIL,Factory,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-07,4894,3
OIL,FACT_COM,(blank),5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-07,19693,4
OIL,BackOff,Admin,5630004,REFRESHMENT,563,2026-04,30329,5
OIL,BackOff,Admin,5630003,STAFF WELFARE,563,2026-04,5791,8
OIL,BackOff,Admin,5680015,HOUSE KEEPING,568,2026-04,6026,7
OIL,BackOff,Admin,5690002,CONVEYANCE,569,2026-04,12646,6
OIL,BackOff,Admin,5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-04,7455,5
OIL,BackOff,Admin,5680012,PRINTING AND STATIONERY,568,2026-04,4526,4
OIL,BackOff,Admin,5680023,POSTAGE & COURIER,568,2026-04,1657,2
OIL,BackOff,Admin,5630004,REFRESHMENT,563,2026-05,56853,7
OIL,BackOff,Admin,5630003,STAFF WELFARE,563,2026-05,5704,7
OIL,BackOff,Admin,5680015,HOUSE KEEPING,568,2026-05,7010,5
OIL,BackOff,Admin,5690002,CONVEYANCE,569,2026-05,6075,7
OIL,BackOff,Admin,5680023,POSTAGE & COURIER,568,2026-05,2226,2
OIL,BackOff,Admin,5650001,REPAIR & MAINTENANCE OFFICE & BUILDING,565,2026-05,97589,13
OIL,Sales,GT,5690001,NATIONAL TOUR AND TRAVELLING,569,2026-06,9769,3
OIL,BackOff,Admin,5680023,POSTAGE & COURIER,568,2026-06,1740,5
