CO,CC3,CC4,ACCT,ANAME,GRP,MTH,NET,TXNS
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-08,8,363
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-06,3,866
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-07,-5,933
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2024-10,122,1808
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2024-11,288,1921
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2024-12,608,2146
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-01,-6,1992
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-02,277,1217
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-03,-2401,1482
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-04,286,1138
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-05,597,1225
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-06,137,1130
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-07,170,1348
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-08,192,1340
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-09,141,1247
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-11,275,1028
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-10,96,1458
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2025-12,152,1119
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-01,362,1316
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-02,291,1083
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-03,10,1271
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-04,93,891
OIL,(blank),(blank),5680014,SHORT AND EXCESS,568,2026-05,59,1022
OIL,(blank),(blank),5640001,ADVERTISEMENT,564,2025-01,0,4
OIL,Med MKT,POP,5640001,ADVERTISEMENT,564,2025-06,0,2
OIL,(blank),(blank),5640001,ADVERTISEMENT,564,2026-03,0,2
OIL,(blank),(blank),5680012,PRINTING AND STATIONERY,568,2025-01,0,2
OIL,(blank),(blank),5640002,BUSINESS PROMOTION,564,2025-01,0,2
OIL,(blank),(blank),5680012,PRINTING AND STATIONERY,568,2025-07,0,2
OIL,(blank),(blank),5680012,PRINTING AND STATIONERY,568,2026-03,0,2
OIL,(blank),(blank),5640001,ADVERTISEMENT,564,2026-02,0,2
OIL,BackOff,Admin,5680012,PRINTING AND STATIONERY,568,2025-06,12369,4
OIL,Med MKT,SOCIAL M,5640001,ADVERTISEMENT,564,2025-05,0,2
OIL,Factory,(blank),5680003,TELEPHONE MOBILE AND INTERNET,568,2024-10,-3933,2
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2024-10,442695,158
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2024-10,280882,44
OIL,Sales RE,E-COM,5680004,SOFTWARE AND TECHNOLOGY,568,2024-10,-56,1
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2024-11,202829,126
OIL,Factory,(blank),5660008,GST EXPENSE/INELIGIBLE CREDIT,566,2024-12,-13397,1
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-01,487217,278
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-01,628320,176
OIL,Sales RE,E-COM,5660003,STORAGE CHARGES INDIRECT,566,2025-01,88805,12
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-02,186112,32
OIL,Sales RE,E-COM,5660003,STORAGE CHARGES INDIRECT,566,2025-02,31003,3
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-03,263810,31
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-03,165941,65
OIL,Del Bkhp,GT,5680014,SHORT AND EXCESS,568,2025-04,0,2
OIL,Med MKT,POP,5680012,PRINTING AND STATIONERY,568,2025-05,3198,9
OIL,Sales,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-03,-229952,13
OIL,BackOff,IT,5680003,TELEPHONE MOBILE AND INTERNET,568,2025-04,1233,3
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-05,25680,46
OIL,Med MKT,POP,5640001,ADVERTISEMENT,564,2024-12,38300,3
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-06,52981,63
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-06,185762,50
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-07,33985,48
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-07,446301,45
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-08,343693,51
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-08,-124092,51
OIL,Sales,ROI,5630005,TA AND DA,563,2025-09,53658,6
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-09,-178473,7
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-09,34065,9
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-01,2437871,127
OIL,Sales RE,E-COM,5640001,ADVERTISEMENT,564,2025-01,-571115,6
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-04,-126,1
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-04,13280,2
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-05,140641,32
OIL,Sales,CSD,5680032,PENALTY FOR NON STOCK SUPPLY,568,2025-08,0,2
OIL,Sales,CSD,5690002,CONVEYANCE,569,2025-08,100967,12
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2025-10,7224,118
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-10,411470,127
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-11,68481,39
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-12,59265,37
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-11,4288874,215
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-12,3779446,282
OIL,OTE,(blank),5690003,FOREIGN TOUR AND TRAVELLING,569,2025-12,17500,2
OIL,Sales RE,E-COM,5640003,MARKET COMISSION AND BROKERAGE,564,2026-02,15860,39
OIL,Sales RE,E-COM,5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-02,36315,35
OIL,NPD1,(blank),5680003,TELEPHONE MOBILE AND INTERNET,568,2026-02,-13867,2
OIL,Factory,(blank),5660002,RENT,566,2026-03,381076,4
OIL,BackOff,IT,5680003,TELEPHONE MOBILE AND INTERNET,568,2026-04,6537,21
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-04,3556082,116
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-05,5120429,166
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-06,4215232,202
OIL,BackOff,IT,5680004,SOFTWARE AND TECHNOLOGY,568,2026-07,72791,5
OIL,Med MKT,DIGTAL M,5640001,ADVERTISEMENT,564,2026-07,20638,12
OIL,Del Bkhp,(blank),5680021,LOSS ON EXPIRED DAMAGED THEFT GOODS,568,2026-08,-59797,1
OIL,Factory,(blank),5680014,SHORT AND EXCESS,568,2025-02,0,3
OIL,Factory,(blank),5680014,SHORT AND EXCESS,568,2025-01,0,5
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2024-11,989519,39
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2024-12,4783522,244
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-02,4617773,238
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-03,3530912,263
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-05,2157509,133
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-06,1682958,118
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-07,1715787,122
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-08,4933079,334
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2025-09,2835115,249
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-01,4496960,266
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-03,3397839,245
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-07,5985908,277
OIL,Del Bkhp,(blank),5670001,FREIGHT AND CARTAGE OUTWARD-INDIRECT EXP,567,2026-08,75616,36
