CO,OCRCODE3,CC3NAME,OCRCODE4,CC4NAME,NET_4M,TXNS
OIL,,,,,0,4
OIL,(blank),,(blank),,150,3712
OIL,BackOff,Back Office,Accounts,Accounts,4365704,114
OIL,BackOff,Back Office,Admin,Admin,3312554,262
OIL,BackOff,Back Office,CIVIL,CIVIL,37742,2
OIL,BackOff,Back Office,HR_DEPT,HR DEPARTMENT,1118510,54
OIL,BackOff,Back Office,IMPORT,IMPORT,107631,19
OIL,BackOff,Back Office,IT,IT,2798675,157
OIL,BackOff,Back Office,Legal,Legal,2078511,114
OIL,Del Bkhp,Delivery Bhakharpur,,,-1071623,59
OIL,Del Bkhp,Delivery Bhakharpur,(blank),,20420119,967
OIL,Del Mayp,Delivery Mayapuri,(blank),,30000,1
OIL,FACT_COM,FACTORY COMMON,,,1640815,100
OIL,FACT_COM,FACTORY COMMON,(blank),,2792487,267
OIL,FACT_COM,FACTORY COMMON,Accounts,Accounts,0,1
OIL,FACT_COM,FACTORY COMMON,GP-GDWN,GUPTA GODOWN,7499,1
OIL,FACT_COM,FACTORY COMMON,GT,GT,321,2
OIL,FACT_COM,FACTORY COMMON,PLANT,PLANT,2220,1
OIL,Factory,Factory,,,11048973,159
OIL,Factory,Factory,(blank),,3112683,304
OIL,Factory,Factory,CIVIL,CIVIL,799005,19
OIL,Factory,Factory,GP-GDWN,GUPTA GODOWN,286,1
OIL,Factory,Factory,PLANT,PLANT,197,1
OIL,Interest,Interest,BankChgs,Bank Charges,2166976,502
OIL,Interest,Interest,CC Limit,CC Limit,11494964,92
OIL,Interest,Interest,PVT LOAN,PRIVATE LOAN,405000,5
OIL,Interest,Interest,Trm Loan,Term Loan,2274086,29
OIL,Interest,Interest,VHCLLOAN,VEHICLE LOAN,48976,16
OIL,Med MKT,Media Marketing,DIGTAL M,DIGITAL MARKETING,2984780,84
OIL,Med MKT,Media Marketing,POP,PAPER MEDIA,2955,12
OIL,NPD1,NPD1,,,1497635,45
OIL,NPD1,NPD1,(blank),,1660955,24
OIL,NPD2,NPD2,,,4145342,23
OIL,NPD2,NPD2,(blank),,4070107,20
OIL,OTE,ONE TIME EXPENSE,,,-4308223,11
OIL,OTE,ONE TIME EXPENSE,(blank),,2595839,29
OIL,Sal CF,Salary Confidential,,,5840951,16
OIL,Sales,Sales,CAL CNTR,CALL CENTRE,366073,14
OIL,Sales,Sales,CSD,CSD,2248180,132
OIL,Sales,Sales,E-COM,E-COM,1528691,32
OIL,Sales,Sales,EXPORT,EXPORT,19289,8
OIL,Sales,Sales,GT,GT,9598643,203
OIL,Sales,Sales,HORECA,HORECA,310010,13
OIL,Sales,Sales,MIS,MIS,613105,33
OIL,Sales,Sales,MT,MT,3117994,137
OIL,Sales,Sales,ROI,ROI,2841965,134
OIL,Sales RE,Sales Realise,E-COM,E-COM,7152995,175
OIL,Transprt,Transport,,,25413,13
OIL,Transprt,Transport,(blank),,235139,58
MART,,,,,-9413888,30
MART,(blank),,,,-2592830,1
MART,(blank),,(blank),,-178,4507
MART,BackOff,Back Office,(blank),,0,1
MART,BackOff,Back Office,Accounts,Accounts,5,1
MART,BackOff,Back Office,IT,IT,2458,1
MART,ECOM,ECOM,,,21446626,24
MART,ECOM,ECOM,(blank),,-3436782,3
MART,ECOM,ECOM,E-COM,E-COM,243594,3
MART,HR/ADMIN,,,,4305223,20
MART,HR/ADMIN,,(blank),,2087,1
MART,NPD1,NPD1,,,99551,4
MART,NPD2,NPD2,,,731370,20
MART,OTE,ONE TIME EXPENSE,(blank),,1594,5
MART,SERVICES,SERVICES,,,-176904,24
MART,SERVICES,SERVICES,(blank),,735562,123
MART,SUPPLY-C,SUPPLY CHAIN,,,118744,4
MART,SUPPLY-C,SUPPLY CHAIN,(blank),,78264,1
MART,SUPPLY-C,SUPPLY CHAIN,SC-BHKR,SC-BHKR,5683986,521
MART,SUPPLY-C,SUPPLY CHAIN,SC-WARH,SC-WARH,1846480,372
MART,Sales,Sales,E-COM,E-COM,14972604,366
MART,Sales RE,Sales Realise,,,710761,44
MART,Sales RE,Sales Realise,(blank),,214697,9
MART,Sales RE,Sales Realise,E-COM,E-COM,35237289,64
MART,Sales RE,Sales Realise,ROI,ROI,2177213,14
BEV,(blank),,,,1694161,4
BEV,(blank),,(blank),,-1624904,1967
BEV,BackOff,Back Office,Accounts,Accounts,5000,1
BEV,BackOff,Back Office,Admin,Admin,168732,11
BEV,BackOff,Back Office,Legal,Legal,17330,10
BEV,Del Bkhp,Delivery Bhakharpur,,,521586,27
BEV,Del Bkhp,Delivery Bhakharpur,(blank),,5850336,350
BEV,FACT_COM,FACTORY COMMON,,,413340,18
BEV,FACT_COM,FACTORY COMMON,(blank),,28303,5
BEV,FACT_COM,FACTORY COMMON,Accounts,Accounts,2039,2
BEV,FACT_COM,FACTORY COMMON,GT,GT,841,2
BEV,Factory,Factory,,,3539715,97
BEV,Factory,Factory,(blank),,9574119,178
BEV,Factory,Factory,GT,GT,28400,4
BEV,Interest,Interest,BankChgs,Bank Charges,11518,74
BEV,Med MKT,Media Marketing,,,-500000,1
BEV,Med MKT,Media Marketing,DIG MKT,DIGITAL MARKETING,1639824,44
BEV,Med MKT,Media Marketing,PPR MED,PAPER MEDIA,600,1
BEV,OTE,One Time Expenses,,,-4250,1
BEV,OTE,One Time Expenses,(blank),,4250,1
BEV,Sales,Sales,CSD,CSD,7635,18
BEV,Sales,Sales,GT,GT,1150046,43
