OcrCode3,OcrCode4,Department_per_team
BackOff,Accounts,Accounts
BackOff,Admin,Hr Admin
BackOff,CIVIL,Hr Admin
BackOff,HR_DEPT,Hr Admin
BackOff,IMPORT,Accounts
BackOff,IT,Hr Admin
BackOff,Legal,Legal
Del Bkhp,(blank),Transpotation
Del Mayp,(blank),Transpotation
FACT_COM,Accounts,Plant & Production
FACT_COM,GT,Plant & Production
FACT_COM,PLANT,Plant & Production
FACT_COM,(blank),Plant & Production
Factory,CIVIL,Plant & Production
Factory,GP-GDWN,Plant & Production
Factory,GT,Plant & Production
Factory,PLANT,Plant & Production
Factory,(blank),Plant & Production
Interest,BankChgs,Accounts
Interest,CC Limit,Accounts
Interest,PVT LOAN,Accounts
Interest,Trm Loan,Accounts
Interest,VHCLLOAN,Accounts
Med MKT,DIG MKT,Media Marketing
Med MKT,DIGTAL M,Media Marketing
Med MKT,POP,Media Marketing
Med MKT,PPR MED,Media Marketing
NPD1,(blank),
NPD2,(blank),
OTE,(blank),
Sal CF,(blank),Hr Admin
Sales,CAL CNTR,Sales
Sales,CSD,Sales
Sales,E-COM,Sales E-Com
Sales,EXPORT,Sales
Sales,GT,Sales
Sales,HORECA,Sales
Sales,MIS,Sales
Sales,MT,Sales
Sales,ROI,Sales
Sales RE,E-COM,Sales E-Com
Sales RE,MT,Sales
Sales RE,ROI,Sales
Transprt,(blank),Transpotation
(blank),(blank),Short & Excess
