CO,MTH,BUCKET,NET
OIL,2025-04,CORE,25396246
OIL,2025-04,EXCL,1421780
OIL,2025-05,CORE,33611159
OIL,2025-05,EXCL,6253902
OIL,2025-06,CORE,28701898
OIL,2025-06,EXCL,2248281
OIL,2025-07,CORE,29465277
OIL,2025-07,EXCL,2147073
OIL,2025-08,CORE,24432698
OIL,2025-08,EXCL,2859454
OIL,2025-09,CORE,22388674
OIL,2025-09,EXCL,2148992
OIL,2025-10,CORE,23355636
OIL,2025-10,EXCL,2279488
OIL,2025-11,CORE,22517563
OIL,2025-11,EXCL,3315254
OIL,2025-12,CORE,22680924
OIL,2025-12,EXCL,2237043
OIL,2026-01,CORE,23572281
OIL,2026-01,EXCL,3664728
OIL,2026-02,CORE,21324215
OIL,2026-02,EXCL,2834076
OIL,2026-03,CORE,79954459
OIL,2026-03,EXCL,95131743
OIL,2026-04,CORE,23968160
OIL,2026-04,EXCL,3084283
OIL,2026-05,CORE,23934794
OIL,2026-05,EXCL,2348821
OIL,2026-06,CORE,43957191
OIL,2026-06,EXCL,2159691
OIL,2026-07,CORE,14018499
OIL,2026-07,EXCL,2068860
MART,2025-04,CORE,22348142
MART,2025-04,EXCL,296767
MART,2025-05,CORE,25842859
MART,2025-05,EXCL,244494
MART,2025-06,CORE,23916057
MART,2025-06,EXCL,240355
MART,2025-07,CORE,-1723932
MART,2025-07,EXCL,204494
MART,2025-08,CORE,9054115
MART,2025-08,EXCL,205886
MART,2025-09,CORE,11515162
MART,2025-09,EXCL,201288
MART,2025-10,CORE,13280553
MART,2025-10,EXCL,364042
MART,2025-11,CORE,7393918
MART,2025-11,EXCL,241288
MART,2025-12,CORE,20123554
MART,2025-12,EXCL,242687
MART,2026-01,CORE,11772184
MART,2026-01,EXCL,1939290
MART,2026-02,CORE,1653568
MART,2026-02,EXCL,190564
MART,2026-03,CORE,-56661450
MART,2026-03,EXCL,199526
MART,2026-04,CORE,10822207
MART,2026-04,EXCL,195965
MART,2026-05,CORE,15752800
MART,2026-05,EXCL,214537
MART,2026-06,CORE,3691167
MART,2026-06,EXCL,208955
MART,2026-07,CORE,41888837
MART,2026-07,EXCL,213057
BEV,2025-04,CORE,4496838
BEV,2025-04,EXCL,2700
BEV,2025-05,CORE,4945058
BEV,2025-05,EXCL,9000
BEV,2025-06,CORE,5312328
BEV,2025-07,CORE,6109800
BEV,2025-08,CORE,4347224
BEV,2025-08,EXCL,2478
BEV,2025-09,CORE,7233949
BEV,2025-09,EXCL,12500
BEV,2025-10,CORE,5807793
BEV,2025-11,CORE,6192410
BEV,2025-12,CORE,3626371
BEV,2025-12,EXCL,20000
BEV,2026-01,CORE,3135200
BEV,2026-02,CORE,5273205
BEV,2026-02,EXCL,3956
BEV,2026-03,CORE,4132989
BEV,2026-03,EXCL,44250
BEV,2026-04,CORE,4248807
BEV,2026-04,EXCL,0
BEV,2026-05,CORE,6743045
BEV,2026-06,CORE,4680765
BEV,2026-07,CORE,6856003
