endpoint	JIVO_MART	JIVO_OIL	JIVO_BEVERAGES
/_VBA_PROJECT_CUR/	404	404	404
/accounts/departments/	200	200	200
/accounts/me/	200	200	200
/accounts/users/	200	200	200
/ai/assistant/chat/	405	405	405
/attendance/employees/	200	200	200
/attendance/records/	200	200	200
/attendance/records/export/	200	200	200
/barcode/boxes/	200	200	200
/barcode/boxes/generate/	405	405	405
/barcode/dispatch/bills/lookup/	405	405	405
/barcode/dispatch/reports/	200	200	200
/barcode/dispatch/reports/boxes/	200	200	200
/barcode/dispatch/reports/pallets/	200	200	200
/barcode/dispatch/reports/rejected-scans/	200	200	200
/barcode/dispatch/sessions/	200	0	200
/barcode/dispatch/sessions/active/	200	0	200
/barcode/dispatch/sessions/closed/	200	200	200
/barcode/dispatch/sessions/completed/	200	200	200
/barcode/dispatch/sessions/from-bill/	200	0	200
/barcode/dispatch/settings/	200	200	200
/barcode/intercompany/dashboard/	200	200	200
/barcode/intercompany/scan/	405	405	405
/barcode/intercompany/trace/	400	400	400
/barcode/intercompany/transfers/	200	200	200
/barcode/items/oitm/	200	200	200
/barcode/items/oitm/detail/	400	400	400
/barcode/loose/	200	200	200
/barcode/pallets/	200	200	200
/barcode/pallets/create/	405	405	405
/barcode/print/bulk/	405	405	405
/barcode/print/history/	200	200	200
/barcode/production-release-oil/	503	200	503
/barcode/repack/	405	405	405
/barcode/scan/	405	405	405
/barcode/scan/history/	200	200	200
/barcode/transfers/box/	405	405	405
/barcode/verify-requests/	200	200	200
/barcode/voids/boxes/	200	200	200
/barcode/voids/pallets/	200	200	200
/blowing/audit/	400	400	400
/blowing/breakdown-categories/	200	200	200
/blowing/buy-prices/	200	200	200
/blowing/cost-rates/	200	200	200
/blowing/machines/	200	200	200
/blowing/preform-specs/	200	200	200
/blowing/rate-configs/	200	200	200
/blowing/reports/daily/	400	400	400
/blowing/reports/make-vs-buy/	400	400	400
/blowing/reports/monthly/	400	400	400
/blowing/reports/variances/	400	400	400
/blowing/runs/	200	200	200
/blowing/sap/items/	200	200	200
/construction-gatein/gate-entries/construction/categories/	200	200	200
/daily-needs-gatein/gate-entries/daily-need/categories/	200	200	200
/dashboards/inventory-age/filter-options/	200	200	200
/dashboards/inventory-age/report/	200	200	200
/dashboards/sales-planning-requirement/analysis/	200	200	200
/dashboards/sales-planning-requirement/refresh/	405	405	405
/dashboards/sales-planning-requirement/report/	200	200	200
/dashboards/sales-planning-requirement/status/	200	200	200
/dashboards/stock/	200	200	200
/dashboards/stock/as-of/	400	400	400
/dispatch-plans/bills/	400	400	400
/dispatch-plans/bills/plan/bulk-dispatch-date/	405	405	405
/dispatch-plans/bills/selection/	405	405	405
/dispatch-plans/dashboard/bills/	200	200	200
/dispatch-plans/dashboard/summary/	200	200	200
/dispatch-plans/pipeline/	200	200	200
/dispatch/bilty-grpo/history/	200	200	200
/dispatch/bilty-grpo/options/	200	200	200
/dispatch/bilty-grpo/pending/	200	200	200
/dispatch/bilty-grpo/post/	405	405	405
/dispatch/open-bilties/	200	200	200
/dispatch/transporter-invoices/history/	200	200	200
/dispatch/transporter-invoices/post-ap-invoice/	405	405	405
/dispatch/transporter-invoices/preview/	405	405	405
/dispatch/transporter-invoices/submit/	405	405	405
/docking-admin/partial-scan-requests/	200	200	200
/docking-admin/scan-skip-requests/	200	200	200
/driver-management/drivers/	200	200	200
/driver-management/drivers/names/	200	200	200
/edit/	404	404	404
/fixed-asset-gatein/gate-entries/fixed-asset/categories/	200	200	200
/gate-core/arrivals/	200	200	200
/gate-core/arrivals/expected/	400	400	400
/gate-core/bst-ins/	200	200	200
/gate-core/bst-ins/eligible-outs/	200	200	200
/gate-core/bst-outs/	200	200	200
/gate-core/bst-outs/sap-transfers/	200	200	200
/gate-core/bst-returns/	200	200	200
/gate-core/bst-returns/eligible-outs/	200	200	200
/gate-core/dispatch-tracking/	200	200	200
/gate-core/empty-vehicle-ins/	200	200	200
/gate-core/empty-vehicle-ins/eligible/	200	200	200
/gate-core/empty-vehicle-ins/reasons/	200	200	200
/gate-core/empty-vehicle-outs/	200	200	200
/gate-core/empty-vehicle-outs/eligible-entries/	200	200	200
/gate-core/inside-dispatch-vehicles/	200	200	200
/gate-core/inside-dispatch-vehicles/add-bill-to-truck/	405	405	405
/gate-core/inside-dispatch-vehicles/add-bill/	405	405	405
/gate-core/inside-dispatch-vehicles/move-bill/	405	405	405
/gate-core/inside-dispatch-vehicles/remove-bill/	405	405	405
/gate-core/inside-dispatch-vehicles/unlink-all/	405	405	405
/gate-core/job-work/	200	200	200
/gate-core/job-work/sap-grpos/	200	200	200
/gate-core/job-work/sap-production-orders/	200	200	200
/gate-core/rejected-qc-returns/	200	200	200
/gate-core/sales-dispatch/	200	200	200
/gate-core/sales-dispatch/documents/	200	200	200
/gate-core/sales-dispatch/lock/	200	200	200
/gate-core/sales-dispatch/pending-bookings/	200	200	200
/gate-core/sales-dispatch/reports/	200	200	200
/gate-core/unit-choices/	200	200	200
/grpo/all-entries/	200	200	200
/grpo/draft/	500	500	500
/grpo/history/	200	200	200
/grpo/pending/	200	200	200
/grpo/post/	405	405	405
/grpo/service/history/	200	200	200
/grpo/service/options/	200	200	200
/grpo/service/pending/	200	200	200
/grpo/service/post/	405	405	405
/grpo/summary/	200	200	200
/maintenance-gatein/gate-entries/maintenance/types/	200	200	200
/maintenance/alerts/	200	200	200
/maintenance/asset-categories/	200	200	200
/maintenance/asset-departments/	200	200	200
/maintenance/asset-documents/	200	200	200
/maintenance/asset-locations/	200	200	200
