ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
EX0000010	WHEATGRASS HEALTHY THANDA (BOTTLE STAND)	CONSUMABLES WITH INVENTORY	PCS		PAPER AND MEDIA-ADVERTISEMENT	N	DL-POP	DELHI PAPER MEDIA	12	0	0	0
EX0000011	ARSHDEEP NATURAL MINERAL WATER (DANGLER)	CONSUMABLES WITH INVENTORY	NULL		PAPER AND MEDIA-ADVERTISEMENT	N	DL-POP	DELHI PAPER MEDIA	10350	0	150	56925
EX0000012	ARSHDEEP NATURAL MINERAL WATER (POSTER)	CONSUMABLES WITH INVENTORY	NULL		PAPER AND MEDIA-ADVERTISEMENT	N	DL-POP	DELHI PAPER MEDIA	10450	0	0	36575
EX0000013	LEAFLET-JIVO NATURAL MINERAL	CONSUMABLES WITH INVENTORY	PCS		PAPER AND MEDIA-ADVERTISEMENT	N	DL-POP	DELHI PAPER MEDIA	1005	0	0	0
FA0000001	750 ML CSD BOTTLE MOULD-4 CAVITIES (1204003)	FIXED ASSETS	PCS		PLANT & MACHINERY-WATER	N	BH-FA	Bhakharpur Fixed Asstes	1	0	1	100000
FA0000002	160 ML CSD BOTTOM PART-2 CAVITIES (1204003)	FIXED ASSETS	PCS		PLANT & MACHINERY-WATER	N	BH-FA	Bhakharpur Fixed Asstes	1	0	1	5000
FA0000003	160 ML CSD BOTTLE MOULD-4 CAVITIES (1204003)	FIXED ASSETS	PCS		PLANT & MACHINERY-WATER	N	BH-FA	Bhakharpur Fixed Asstes	1	0	1	75000
FA0000004	750 ML CSD BOTTLE BOTTOM PART-4 CAVITIES (1204003)	FIXED ASSETS	PCS		PLANT & MACHINERY-WATER	N	BH-FA	Bhakharpur Fixed Asstes	1	0	1	28000
FA0000005	P.P SHEET (WG) (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	4081	0	1500	1112762.41
FA0000008	CCTV CAMERA (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	7	0	0	14947.57
FA0000009	TRUCK 32 FT A4830 (1206001)	FIXED ASSETS	PCS		VEHICLES-JIVO	N	BH-FA	Bhakharpur Fixed Asstes	0	0	1	0
FA0000010	MOULD 200 MLS GLASS BOTTLE (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	500000
FA0000011	PECTIN MIXING TANK WITH INLINE FILTER & TRANSFER PUMP (1204010)	FIXED ASSETS	PCS		1204010 - PECTIN MIXING TANK WITH INLINE FILTER & TRANSFER PUMP-FA0000011	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	174682
FA0000012	PALLET BLUE COLOUR WITH INTERNAL ROD (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	500	0	10	1000000
FA0000012	PALLET BLUE COLOUR WITH INTERNAL ROD (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FG	Bhakharpur Finished Basement	0	0	800	0
FA0000015	PALLET HYDRAULIC(HAND) (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	18500
FA0000019	(WEIGHING SCALE) MS FRAME SET 600X600 MM (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	7500
FA0000020	(WEIGHING SCALE) MS FRAME SET 250X325 MM (12050060)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	6200
FA0000021	(WEIGHING SCALE) MS FRAME SET 200X200 MM (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	5600
FA0000022	HAND BLENDER (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	3	0	0	3148.84
FA0000023	CHILLER 60 TR (1204009)	FIXED ASSETS	PCS		1204009 - CHILLER 60 TR-FA0000023	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	1015000
FA0000024	A.C 2 TON (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	5	0	0	93847.5
FA0000025	WATER BOTTLE FILLER 300/250 BPM + BLOWER + CAPPER (1204007)	FIXED ASSETS	PCS		1204007-BLOWING MACHINE (SIDEL) (FA0000025)	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	40463368
FA0000026	AIR KNIFE DRYING SYSTEM (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	175000
FA0000027	DOSING PUMP (R.O.) (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	12	0	0	31439.77
FA0000028	GSM CUTTER (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	12017
FA0000029	AIR CURTAIN 3 FEET (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	9	0	0	20986.53
FA0000030	ALMIRAH GODREJ (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	15600
FA0000031	AUTOMATIC WEB SEALER & SHRINK TUNNEL (1204002)	FIXED ASSETS	PCS		1204008 - AUTOMATIC WEB SEALER & SHRINK TUNNEL-FA0000031	N	BH-FA	Bhakharpur Fixed Asstes	1	0	1	480000
FA0000032	ERICH MAGNETIC FEROUS TRAP (38MM) 91204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	0	0	1	0
FA0000033	SLEEVE APPLICATOR (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	102700
FA0000034	DOMINO PRINTER - AX350I (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	1	0	1	348329.6
FA0000036	CHILLER 52 TR (1204011)	FIXED ASSETS	PCS		1204011 - CHILLER 52 TR-FA0000036	N	BH-FA	Bhakharpur Fixed Asstes	0	0	2	0
FA0000037	4 ROW MAGNETIC BEND CHAIN CONVEYOR (1204013)	FIXED ASSETS	PCS		1204013 - 4 ROW MAGNETIC BEND CHAIN CONVEYOR-FA0000037	N	BH-FA	Bhakharpur Fixed Asstes	1	0	0	403500
FA0000040	12KG-EMPTY CYLINDER (R-22 GAS CYLINDER) (1205006)	FIXED ASSETS	PCS		OFFICE EQUIPMENT	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	9238
FA0000041	SUB METER- BOILER-6 TPH -PROCESSING LINE (1211001)	FIXED ASSETS	PCS		PLANT & MACHINERY - COLD CHAIN	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	5618.7
FA0000042	SUB METER- IQF & BLAST FREEZER (1211001)	FIXED ASSETS	PCS		PLANT & MACHINERY - COLD CHAIN	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	5618.7
FA0000043	ELECTRIC LIFT (1204002)	FIXED ASSETS	PCS		PLANT & MACHINERY-WG	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	66880.54
FA0000044	CHILLER-WATER TYPE	FIXED ASSETS	PCS		PLANT & MACHINERY-WATER	N	BH-FA	Bhakharpur Fixed Asstes	2	0	0	484302.2
FA0000045	TANK	FIXED ASSETS	PCS		PLANT & MACHINERY-WATER	N	BH-FA	Bhakharpur Fixed Asstes	4	0	0	1769158.2
