ItemCode	Warehouse	OUT90	RET90	IN90
EX0000003	DL-POP	2870	0	0
EX0000004	DL-POP	200	0	0
EX0000005	DL-POP	750	0	0
EX0000006	DL-POP	1050	0	0
EX0000007	DL-POP	1605	0	0
EX0000008	DL-POP	500	0	0
EX0000009	DL-POP	2500	0	0
EX0000013	DL-POP	0	0	1005
FA0000024	BH-FA	1	0	0
FA0000428	BH-FA	0	0	1
FA0000430	BH-FA	0	0	6
FA0000433	BH-FA	0	0	400
FG0000226	BH-VG	0	0	0
FG0000226	DL-INT	0	0	0
FG0000226	DL-J3	0	0	0
FG0000228	BH-VG	0	0	0
FG0000228	DL-INT	0	0	0
FG0000228	DL-J3	0	0	0
FG0000229	BH-VG	0	0	0
FG0000229	DL-INT	0	0	0
FG0000229	DL-J3	0	0	0
FG0000230	BH-VG	0	0	0
FG0000230	DL-INT	0	0	0
FG0000230	DL-J3	0	0	0
FG0000231	BH-VG	0	0	0
FG0000231	DL-INT	0	0	0
FG0000231	DL-J3	0	0	0
FG0000232	BH-VG	0	0	0
FG0000232	DL-INT	0	0	0
FG0000232	DL-J3	0	0	0
FG0000233	BH-FG	2838	0	0
FG0000233	BH-PF	345	0	4224
FG0000233	BH-PP	1008	0	0
FG0000233	BH-VG	0	0	0
FG0000233	DL-INT	0	0	0
FG0000233	DL-J3	4884	0	0
FG0000234	BH-FG	2154	600	600
FG0000234	BH-PF	181	0	1380
FG0000234	BH-VG	0	0	0
FG0000234	DL-INT	0	0	0
FG0000234	DL-J3	2662	0	0
FG0000234	DL-PS	240	0	0
FG0000235	BH-VG	0	0	0
FG0000235	DL-INT	0	0	0
FG0000235	DL-J3	0	0	0
FG0000236	BH-VG	0	0	0
FG0000236	DL-INT	0	0	0
FG0000236	DL-J3	434	0	0
FG0000237	BH-VG	0	0	0
FG0000237	DL-INT	0	0	0
FG0000237	DL-J3	0	0	0
FG0000238	BH-VG	0	0	0
FG0000238	DL-INT	0	0	0
FG0000238	DL-J3	0	0	0
FG0000239	BH-FG	7823	0	0
FG0000239	BH-GR	0	0	0
FG0000239	BH-PF	2412	0	143
FG0000239	BH-WST	0	0	0
FG0000240	BH-VG	0	0	0
FG0000240	DL-INT	0	0	0
FG0000240	DL-J3	16	0	0
FG0000241	BH-FG	0	0	0
FG0000241	BH-PF	21	0	1008
FG0000241	BH-PP	1008	0	0
FG0000241	BH-VG	0	0	0
FG0000241	DL-INT	0	0	0
FG0000241	DL-J3	4577	0	0
FG0000242	BH-VG	0	0	0
FG0000242	DL-INT	0	0	0
FG0000242	DL-J3	0	0	0
FG0000244	BH-VG	0	0	0
FG0000244	DL-INT	0	0	0
FG0000244	DL-J3	68	0	0
FG0000245	BH-VG	0	0	0
FG0000245	DL-INT	0	0	0
FG0000245	DL-J3	0	0	0
FG0000246	BH-VG	0	0	0
FG0000246	DL-INT	0	0	0
FG0000246	DL-J3	0	0	0
FG0000248	BH-VG	0	0	0
FG0000248	DL-INT	0	0	0
FG0000248	DL-J3	0	0	0
FG0000249	BH-VG	0	0	0
FG0000249	DL-INT	0	0	0
FG0000249	DL-J3	0	0	0
FG0000250	BH-VG	0	0	0
FG0000250	DL-INT	0	0	0
FG0000250	DL-J3	0	0	0
FG0000251	BH-VG	0	0	0
FG0000251	DL-INT	0	0	0
FG0000251	DL-J3	2002	0	0
FG0000252	BH-VG	0	0	0
FG0000252	DL-INT	0	0	0
FG0000252	DL-J3	0	0	0
FG0000254	BH-VG	0	0	0
FG0000254	DL-INT	0	0	0
FG0000254	DL-J3	0	0	0
FG0000255	BH-VG	0	0	0
FG0000255	DL-INT	0	0	0
FG0000255	DL-J3	0	0	0
FG0000256	BH-VG	0	0	0
FG0000256	DL-INT	0	0	0
FG0000256	DL-J3	4536	0	0
FG0000257	BH-FG	193	0	0
FG0000257	BH-PF	0	0	1378
FG0000257	BH-PP	1008	0	0
FG0000257	BH-VG	0	0	0
FG0000257	DL-INT	0	0	0
FG0000257	DL-J3	10337	0	0
FG0000258	BH-VG	0	0	0
FG0000258	DL-INT	0	0	0
FG0000258	DL-J3	0	0	0
FG0000259	BH-FG	3529	0	0
FG0000259	BH-PF	0	0	1430
FG0000259	BH-PP	1008	0	0
FG0000259	BH-VG	0	0	0
FG0000259	DL-INT	0	0	0
FG0000259	DL-J3	336	0	0
FG0000260	BH-FG	552	0	0
FG0000260	BH-PF	1789	0	846
FG0000261	BH-FG	5963	0	0
FG0000261	BH-PF	0	0	1539
FG0000261	BH-PP	1008	0	0
FG0000261	BH-VG	0	0	0
FG0000261	DL-INT	0	0	0
FG0000261	DL-J3	13155	0	0
FG0000263	BH-VG	0	0	0
FG0000263	DL-INT	0	0	0
FG0000263	DL-J3	0	0	0
FG0000265	BH-VG	0	0	0
FG0000265	DL-INT	0	0	0
FG0000265	DL-J3	0	0	0
FG0000268	BH-FG	226992	5928	9768
FG0000268	BH-PF	0	0	5710
FG0000268	BH-PS	6000	6000	6000
FG0000268	BH-VG	0	0	0
FG0000268	DL-INT	0	0	0
FG0000268	DL-J3	28924	0	0
FG0000269	BH-FG	21066	300	300
FG0000269	BH-INT	0	0	0
FG0000269	BH-PF	26	0	20760
FG0000269	BH-VG	0	0	0
FG0000269	DL-INT	0	0	0
FG0000269	DL-J3	50788	0	0
FG0000270	BH-FG	0	0	0
FG0000270	BH-PF	1837	0	0
FG0000270	BH-VG	0	0	0
FG0000270	DL-INT	0	0	0
FG0000270	DL-J3	1282	0	0
FG0000271	BH-FG	2652	0	0
FG0000271	BH-PF	4764	0	3216
FG0000271	BH-VG	0	0	0
FG0000271	DL-INT	0	0	0
FG0000271	DL-J3	868	0	0
FG0000272	BH-VG	0	0	0
FG0000272	DL-INT	0	0	0
FG0000272	DL-J3	23	0	0
FG0000273	BH-FG	14892	0	0
FG0000274	BH-VG	0	0	0
FG0000274	DL-INT	0	0	0
FG0000274	DL-J3	0	0	0
FG0000275	BH-VG	0	0	0
FG0000275	DL-INT	0	0	0
FG0000275	DL-J3	991	0	0
