ItemCode	Warehouse	NET_AFTER_1	NET_AFTER_2	NET_AFTER_3	NET_AFTER_4	NET_AFTER_5	NET_AFTER_6
FG0000002	BH-FGM	0	0	-20	-20	-20	0
FG0000004	BH-FG	4	0	4	0	0	0
FG0000004	BH-FGM	0	0	-2172	0	-2158	0
FG0000004	BH-FK	0	0	0	0	0	0
FG0000004	BH-GR	34	34	34	16	4	0
FG0000004	BH-INT	291	291	291	291	291	0
FG0000004	DL-EC	-84	-996	-273	189	356	0
FG0000004	DL-FG	-1520	-3318	0	-145	-129	0
FG0000004	DL-GG	-3	0	-52	0	0	0
FG0000004	DL-GR	-339	-339	-398	-594	-524	0
FG0000004	DL-INT	0	0	0	0	0	0
FG0000004	DL-MP	-1015	-836	-106	-376	1	0
FG0000004	FBF-HR	-183	-183	-183	0	0	0
FG0000004	GP-FGM	0	0	0	0	0	0
FG0000005	BH-FG	0	0	0	0	0	0
FG0000005	BH-FGM	0	0	-8919	-13662	-9025	0
FG0000005	BH-FK	0	0	0	0	0	0
FG0000005	BH-GR	48	48	48	48	32	0
FG0000005	BH-INT	242	242	242	242	242	0
FG0000005	DL-EC	-976	-1912	431	103	432	0
FG0000005	DL-FG	-771	-1504	121	-822	-819	0
FG0000005	DL-GG	0	0	-225	0	0	0
FG0000005	DL-GR	-180	-196	12	-263	-25	0
FG0000005	DL-INT	0	0	0	0	0	0
FG0000005	DL-MP	-8491	-5296	-2039	-5432	-4221	0
FG0000005	FBF-HR	-1	-1	-1	0	0	0
FG0000005	GP-FGM	0	0	0	0	0	0
FG0000008	BH-FG	8	4	8	0	0	0
FG0000008	BH-FGM	0	0	-1632	0	-1578	0
FG0000008	BH-GR	77	77	77	60	12	0
FG0000008	BH-INT	503	503	503	503	503	0
FG0000008	DL-EC	-111	-423	-177	-58	236	0
FG0000008	DL-FG	-902	-2435	35	-191	-192	0
FG0000008	DL-GG	0	0	-45	0	0	0
FG0000008	DL-GR	-286	-282	-320	-268	-169	0
FG0000008	DL-INT	0	0	0	0	0	0
FG0000008	DL-MP	-493	-373	-328	-421	-98	0
FG0000008	GP-FGM	4764	4764	4764	4764	4764	0
FG0000009	BH-FG	0	0	0	0	0	0
FG0000009	BH-FGM	0	0	-1680	-2827	-7381	0
FG0000009	BH-GR	3	3	3	0	0	0
FG0000009	BH-INT	0	0	0	0	0	0
FG0000009	DL-EC	-93	-219	-102	12	10	0
FG0000009	DL-FG	-395	-1046	0	-55	-51	0
FG0000009	DL-GG	0	0	-23	0	0	0
FG0000009	DL-GR	-4	-4	-12	-38	23	0
FG0000009	DL-INT	0	0	0	0	0	0
FG0000009	DL-MP	-377	-263	-481	-322	-285	0
FG0000009	FBF-HR	-1	0	0	0	0	0
FG0000009	GP-FGM	7180	7180	7180	7180	7180	0
FG0000011	BH-FG	0	0	0	-583	0	0
FG0000011	BH-FGM	0	0	0	0	-7564	0
FG0000011	BH-FK	0	0	0	0	0	0
FG0000011	BH-GR	210	210	210	202	197	0
FG0000011	BH-INT	183	183	183	183	183	0
FG0000011	DL-EC	-189	-903	-393	-347	-134	0
FG0000011	DL-FG	-2870	-1444	72	-136	-124	0
FG0000011	DL-GG	0	0	-24	0	0	0
FG0000011	DL-GR	-390	-432	-326	-601	-488	0
FG0000011	DL-INT	0	0	0	0	0	0
FG0000011	DL-MP	-328	-198	-451	-327	-238	0
FG0000011	FBF-HR	-309	-309	-309	0	0	0
FG0000011	GP-FGM	2411	2411	2411	2411	2411	0
FG0000015	BH-FG	0	0	0	0	0	0
FG0000015	BH-FGM	0	0	0	-5	-45	0
FG0000015	BH-INT	26	26	26	26	26	0
FG0000015	DL-FG	0	0	0	0	0	0
FG0000015	DL-MP	-2	-34	-32	-26	-26	0
FG0000018	BH-FG	0	0	0	0	0	0
FG0000018	BH-FGM	0	0	-541	-454	-274	0
FG0000018	BH-GR	3	3	3	3	3	0
FG0000018	DL-EC	-3	-3	-3	-3	-4	0
FG0000018	DL-FG	0	0	0	0	0	0
FG0000018	DL-GR	77	44	53	-7	4	0
FG0000018	DL-MP	-3	-3	-12	-12	0	0
FG0000021	BH-FG	0	0	0	0	0	0
FG0000021	BH-FGM	0	0	0	0	-60	0
FG0000021	BH-INT	0	0	0	0	0	0
FG0000021	DL-FG	-1	-21	0	-1	-1	0
FG0000021	DL-GG	0	0	-1	0	0	0
FG0000021	DL-GR	180	180	180	0	0	0
FG0000021	DL-INT	0	0	0	0	0	0
FG0000021	DL-MP	0	0	0	0	0	0
FG0000028	BH-FG	0	0	0	0	0	0
FG0000028	BH-FGM	0	0	-2398	-1577	-2932	0
FG0000028	BH-FK	0	0	0	0	0	0
FG0000028	BH-GR	20	20	20	17	16	0
FG0000028	BH-INT	2595	2595	2595	2595	2595	0
FG0000028	DL-EC	-828	-1206	-187	129	321	0
FG0000028	DL-FG	-1509	-3724	160	-1180	-1181	0
FG0000028	DL-GG	0	0	-33	0	0	0
FG0000028	DL-GR	-167	-247	38	-201	-147	0
FG0000028	DL-INT	0	0	0	0	0	0
FG0000028	DL-MP	-8413	-7219	-6534	-5111	-4672	0
FG0000028	GP-FGM	21600	21600	21600	21600	21600	0
FG0000030	BH-FG	0	0	0	0	0	0
FG0000030	BH-FGM	0	0	0	0	0	0
FG0000030	BH-FK	0	0	0	0	0	0
FG0000030	BH-GR	1227	1227	1227	1227	246	0
FG0000030	BH-INT	0	0	0	0	0	0
FG0000030	DL-EC	-532	-954	16	0	-1	0
FG0000030	DL-FG	-621	-3880	0	0	-537	0
FG0000030	DL-GR	1006	730	224	-1	-8	0
