ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
FA0000001	IPHONE 16 PRO 256GB DESSERT TITANIUM	FIXED ASSETS	PCS	OTHERS	OFFICE EQUIPMENT	N	DL-FA	MAYAPURI FIXED ASSET GODOWN	1	0	0	100727.54
FA0000002	WIFI ROUTER (C64 AC1200-223C984002555)	FIXED ASSETS	PCS	NULL	COMPUTER & EQUIPMENTS	N	DL-FA	MAYAPURI FIXED ASSET GODOWN	1	0	0	1864.41
FA0000003	DELL INSPIRON 3520 1235U (923JR34)	FIXED ASSETS	PCS	NULL	COMPUTER & EQUIPMENTS	N	DL-FA	MAYAPURI FIXED ASSET GODOWN	1	0	0	38559.32
FA0000004	COOLER GEONIX IMPERIAL 4S PCS	FIXED ASSETS	PCS	NULL	OFFICE EQUIPMENT	N	DL-FA	MAYAPURI FIXED ASSET GODOWN	1	0	0	3389
FA0000005	SPCS 900 V W POUCH SEALING MACHINE	FIXED ASSETS	PCS	NULL	1204001 PLANT & MACHINERY-CANOLA	N	DL-FA	MAYAPURI FIXED ASSET GODOWN	1	0	1	38000
FA0000006	LAPTOP OLD BSU	FIXED ASSETS	PCS	NULL	COMPUTER & EQUIPMENTS	N	DL-FA	MAYAPURI FIXED ASSET GODOWN	1	0	0	11552.83
FG0000001	COLD PRESS 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	DL-GG	DELHI MAYAPURI VIRTUAL GODOWN	0	0	10	0
FG0000001	COLD PRESS 15 LTR	FINISHED	PCS	PREMIUM	CANOLA	N	DL-MP	MAYAPURI FINISHED (MAIN)	0	10	0	0
FG0000002	COLD PRESS 5 LTR + COLD PRESS 1 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-FGM	Bhakharpur finished goods	0	0	500	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-FG	Bhakharpur Finished Basement	4	220	240	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-FGM	Bhakharpur finished goods	0	5109	22966	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-FK	Bhakharpur Flipkart Packing	0	0	200	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-GR	Bhakharpur GR	34	0	0	15300
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-INT	Bhakharpur Finished INTRANSIT	291	0	0	227511.29
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-JM	Bhakharpur Jivo mart	508	292	0	393700
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PF	Bhakharpur Production Finished 1st Floor	0	16	0	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	DL-EC	Mayapuri E-Commerce	0	97	2689	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	DL-FG	MAYAPURI (GODAMWALA) FINISHED	0	3604	1564	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	DL-GG	DELHI MAYAPURI VIRTUAL GODOWN	0	250	718	0
FG0000004	COLD PRESS 5 LTR 4 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	DL-GR	Mayapuri GR	419	106	19	67240.48
