ItemCode	Warehouse	OUT90	RET90	IN90
FG0000002	BH-FGM	40	0	20
FG0000004	BH-FG	0	4	4
FG0000004	BH-FGM	13444	3895	28681
FG0000004	BH-FK	1520	0	0
FG0000004	BH-GR	12	28	28
FG0000004	BH-INT	0	0	0
FG0000004	DL-EC	3610	152	152
FG0000004	DL-FG	13252	49	329
FG0000004	DL-GG	84	0	2
FG0000004	DL-GR	246	220	220
FG0000004	DL-INT	0	0	0
FG0000004	DL-MP	92	0	1
FG0000004	FBF-HR	0	0	0
FG0000004	GP-FGM	11200	0	11200
FG0000005	BH-FGM	30258	1600	48689
FG0000005	BH-FK	5360	0	0
FG0000005	BH-GR	0	48	48
FG0000005	BH-INT	0	0	0
FG0000005	DL-EC	9473	707	707
FG0000005	DL-FG	15851	594	2357
FG0000005	DL-GG	20	0	0
FG0000005	DL-GR	91	374	374
FG0000005	DL-INT	0	0	0
FG0000005	DL-MP	1625	170	183
FG0000005	FBF-HR	0	0	0
FG0000005	GP-FGM	39024	0	39024
FG0000008	BH-FG	0	8	8
FG0000008	BH-FGM	19235	5230	25194
FG0000008	BH-GR	14	84	86
FG0000008	BH-INT	0	0	0
FG0000008	DL-EC	2362	158	158
FG0000008	DL-FG	5902	178	406
FG0000008	DL-GG	60	0	0
FG0000008	DL-GR	282	136	136
FG0000008	DL-INT	0	0	0
FG0000008	DL-MP	15	2	3
FG0000008	GP-FGM	4829	0	9593
FG0000009	BH-FGM	7321	0	7989
FG0000009	BH-GR	0	0	0
FG0000009	BH-INT	0	0	0
FG0000009	DL-EC	1181	96	96
FG0000009	DL-FG	1800	16	32
FG0000009	DL-GG	6	0	0
FG0000009	DL-GR	97	59	59
FG0000009	DL-INT	0	0	0
FG0000009	DL-MP	81	16	16
FG0000009	GP-FGM	773	0	7953
FG0000011	BH-FG	583	0	0
FG0000011	BH-FGM	19583	0	37458
FG0000011	BH-FK	200	0	0
FG0000011	BH-GR	2	212	212
FG0000011	BH-INT	0	0	0
FG0000011	DL-EC	2470	94	94
FG0000011	DL-FG	18032	1137	1701
FG0000011	DL-GG	0	0	0
FG0000011	DL-GR	203	113	113
FG0000011	DL-INT	0	0	0
FG0000011	DL-MP	148	21	22
FG0000011	FBF-HR	0	0	0
FG0000011	GP-FGM	11211	0	13622
FG0000015	BH-FGM	714	0	714
FG0000015	BH-INT	0	0	0
FG0000015	DL-MP	6	0	0
FG0000018	BH-FGM	602	0	61
FG0000018	BH-GR	0	3	3
FG0000018	DL-EC	22	0	0
FG0000018	DL-GR	54	114	114
FG0000018	DL-MP	0	0	0
FG0000021	BH-FGM	61	0	60
FG0000021	BH-INT	0	0	0
FG0000021	DL-FG	0	0	0
FG0000021	DL-GG	0	0	0
FG0000021	DL-GR	180	360	360
FG0000021	DL-INT	0	0	0
FG0000021	DL-MP	0	0	0
FG0000028	BH-FGM	111453	22654	134272
FG0000028	BH-FK	2000	0	0
FG0000028	BH-GR	1	18	18
FG0000028	BH-INT	0	0	0
FG0000028	DL-EC	4363	234	234
