ItemCode	Warehouse	NET_AFTER_1	NET_AFTER_2	NET_AFTER_3	NET_AFTER_4	NET_AFTER_5	NET_AFTER_6
PM0000079	BH-PC	18081	11692	836	13663	18827	8845
PM0000003	BH-PC	3250.31	3078.31	2458.94	2872.81	2492	837
PM0000075	BH-PC	380591.34	287727.85	200228.4	127421.47	50056.6	-422.66
PM0000107	BH-PC	34727	34457	33868	33933	31280	-5947
PM0000108	BH-PC	39929	29674	29063	34558	31280	-5947
RM0000001	BH-PC	8776.43	16993.92	15036.01	12194.56	24339.42	-5782.53
FG0000028	BH-PF	5288	6264	6264	6264	6264	5074
PM0000228	BH-NM	0	0	0	0	-327	0
PM0000228	BH-PC	7473	7528	6348	7482	6791	0
PM0000079	BH-NM	0	0	0	-16000	-2400	0
PM0000408	BH-BS	-162094	-132094	-75090	-50000	2290	-27000
PM0000408	BH-PC	36344	36344	28208	31870	36342	27000
PM0000113	BH-BS	-4223	-1906	-1505	-3994	-914	0
PM0000113	BH-PC	20	60	60	60	-1220	-4
PM0000121	BH-PC	26443	20222	12249	21238	19588	26622
PM0000386	BH-PC	47170	42596	42576	46728	45377	10000
PM0000385	BH-PC	46018	41434	41314	46728	45377	10000
PM0000657	BH-PC	1280.81	1196.81	575	1032	1225	1125
PM0000074	BH-PC	63068.86	56199.62	45210.4	42255.83	33328.14	-7.57
FG0000150	BH-PF	2312	2312	2168	2312	2312	-12
RM0000002	BH-PC	-9243.41	5676.86	-2716.11	-15548.67	-10761.06	0
PM0000194	BH-PC	12536	4669	9175	16417	-4478	-107
PM0000015	BH-PC	36399	28149	29516	32666	29256	-300
PM0000014	BH-PC	54462	44317	47447	53417	50456	-310
PM0000006	BH-PC	1623.6	1330.4	1648.4	1620.4	1303.4	996
FG0000028	BH-EC	-5759	-8	-5	-66	0	0
FG0000150	BH-EC	-9700	-2649	0	0	-64	0
FG0000004	BH-PF	-834	160	160	160	156	0
FG0000004	BH-EC	-2447	-14	0	0	0	0
FG0000032	BH-PF	1464	1464	1464	-956	824	0
FG0000032	BH-EC	-4464	-32	0	0	0	0
PM0000117	BH-BS	-549	-2049	-6949	-16570	-12500	0
PM0000117	BH-PC	18417	18441	19428	19549	18349	5975
PM0000468	BH-PC	19863	15845	11548	11572	13556	-135
PM0000118	BH-PC	16639	16663	17860	17860	18160	5980
PM0000187	BH-PC	12717	10241	12180	12180	2480	0
PM0000182	BH-PC	-94.83	-10.83	14	19	-181	-8
PM0000193	BH-PC	39034	39166	38609	42646	39454	0
FG0000047	BH-PF	2	2	2	2	2	0
FG0000047	GP-FG	-4565	-359	-6132	-3850	-2138	0
FG0000374	BH-PF	0	0	-388	0	0	0
FG0000374	GP-FG	-108	-28	-812	-480	-284	0
FG0000404	BH-PF	0	0	0	0	0	0
