ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
PM0000336	INSTANT COFFEE AGGLO	RAW MATERIAL	KGS		COFFEE	N	BH-PP	Bhakharpur Production Process 1st Floor	26.3	0	0	33927
PM0000336	INSTANT COFFEE AGGLO	RAW MATERIAL	KGS		COFFEE	N	BH-FG	Bhakharpur Finished Basement	175	0	0	225750
PM0000336	INSTANT COFFEE AGGLO	RAW MATERIAL	KGS		COFFEE	N	BH-PC	Bhakharpur Production Consumption	0	500	0	0
PM0000336	INSTANT COFFEE AGGLO	RAW MATERIAL	KGS		COFFEE	N	BH-GR	Bhakharpur GR	0.5	0	0	0
PM0000831	TIN 3 LTR EXTRA LIGHT OLIVE PRINTED	PACKAGING MATERIAL	PCS		TIN	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	1016	1098	1000	71120
PM0000831	TIN 3 LTR EXTRA LIGHT OLIVE PRINTED	PACKAGING MATERIAL	PCS		TIN	N	BH-PC	Bhakharpur Production Consumption	0	0	1098	0
PM0000831	TIN 3 LTR EXTRA LIGHT OLIVE PRINTED	PACKAGING MATERIAL	PCS		TIN	N	BH-WST	Bhakharpur WASTAGE	3	0	0	50
EX0000010	FILE FOLDER	CONSUMABLES WITH INVENTORY	PCS	 	STATIONARY	N	DL-POP	DELHI PAPER MEDIA	750	0	0	17250
EX0000008	3 FILE FOLDER LEAFLET (WG)	CONSUMABLES WITH INVENTORY	PCS	 	STATIONARY	N	DL-POP	DELHI PAPER MEDIA	1575	0	0	11025
EX0000004	CSD POSTER HINDI ( भारत होगा अब दिल से हेल्दी )	CONSUMABLES WITH INVENTORY	PCS	 	BUSINESS PROMOTION	N	DL-FG	Mayapuri Finished	0	0	50	0
EX0000004	CSD POSTER HINDI ( भारत होगा अब दिल से हेल्दी )	CONSUMABLES WITH INVENTORY	PCS	 	BUSINESS PROMOTION	N	DL-POP	DELHI PAPER MEDIA	1196	0	0	0
EX0000003	CSD POSTER ENGLISH (BHARAT HOGA AB DIL SE HEALTHY)	CONSUMABLES WITH INVENTORY	PCS	 	BUSINESS PROMOTION	N	DL-FG	Mayapuri Finished	0	0	50	0
EX0000003	CSD POSTER ENGLISH (BHARAT HOGA AB DIL SE HEALTHY)	CONSUMABLES WITH INVENTORY	PCS	 	BUSINESS PROMOTION	N	DL-POP	DELHI PAPER MEDIA	790	0	0	0
PM0000862	CAP 10 ML	PACKAGING MATERIAL	PCS		CAPS	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	0	14000	0	0
PM0000862	CAP 10 ML	PACKAGING MATERIAL	PCS		CAPS	N	BH-PC	Bhakharpur Production Consumption	5148	0	14000	4633.2
EX0000009	JIVO PROFILE DIGITAL	CONSUMABLES WITH INVENTORY	PCS	 	STATIONARY	N	DL-POP	DELHI PAPER MEDIA	31	0	0	4185
FG0000254	PET BOTTLE 500 MLS MANGO 18 PCS	FINISHED	PCS	OTHERS	DRINKS	N	BH-FG	Bhakharpur Finished Basement	127	0	2240	4535.72
FG0000254	PET BOTTLE 500 MLS MANGO 18 PCS	FINISHED	PCS	OTHERS	DRINKS	N	BH-PP	Bhakharpur Production Process 1st Floor	223	0	0	7964.29
EX0000011	JIVO PROFILE	CONSUMABLES WITH INVENTORY	PCS	 	STATIONARY	N	DL-POP	DELHI PAPER MEDIA	13	0	0	715
EX0000023	LEAFLET-DIVINE HARVEST OLIVE EXTRA VIRGIN	CONSUMABLES WITH INVENTORY	PCS	 	PAPER AND MEDIA-ADVERTISEMENT	N	DL-POP	DELHI PAPER MEDIA	100	0	0	0
EX0000022	LEAFLET -PREMIUM OLIVE OIL	CONSUMABLES WITH INVENTORY	PCS	 	PAPER AND MEDIA-ADVERTISEMENT	N	DL-POP	DELHI PAPER MEDIA	20	0	0	0
