ItemCode	Warehouse	OUT90	RET90	IN90
PM0000003	BH-PC	66227.06	0	154
PM0000075	BH-PC	339989.58	0	189.4
FG0000028	BH-PF	31740	942	286913
FG0000004	BH-PF	3632	713	76417
FG0000004	GP-FG	33071	600	1800
PM0000058	BH-PM	0	0	161529
PM0000395	BH-PM	0	0	25690
PM0000076	BH-PM	3136	0	50563
PM0000053	BH-PM	36659	0	296617
PM0000468	BH-PM	31186	0	161043
PM0000003	BH-PM	1675	0	68049
FG0000106	BH-GR	386	50	50
PM0000852	BH-PM	0	0	1203713
PM0000057	BH-PM	0	0	21850
PM0000125	BH-PM	0	0	87840
FG0000047	BH-GR	204	169	169
FG0000081	GP-FG	106469	0	0
FG0000053	GP-FG	10862	0	40
PM0000535	BH-PM	2	0	89650
PM0000535	BH-BS	0	0	0
PM0000046	BH-PM	0	0	63450
PM0000046	BH-BS	0	0	0
PM0000824	BH-PM	0	0	372200
PM0000824	BH-BS	0	0	0
PM0000080	BH-PM	12	0	58093
PM0000080	BH-BS	0	0	0
PM0000825	BH-PM	0	0	5836
PM0000825	BH-BS	0	0	0
PM0000013	BH-PM	0	0	63791
PM0000013	BH-BS	1	0	1
PM0000082	BH-PM	0	0	15496
PM0000082	BH-BS	0	0	0
PM0000076	BH-BS	0	0	0
PM0000817	BH-SDL	226630	0	0
PM0000054	BH-BS	0	0	151566
FG0000116	GP-FG	120	0	0
FG0000116	BH-PF	957	0	718
FG0000157	GP-FG	331	0	0
FG0000157	BH-PF	2	100	100
FG0000083	GP-FG	2	0	0
FG0000083	BH-PF	32	0	0
FG0000082	GP-FG	1	1	1
FG0000082	BH-PF	0	0	0
PM0000053	BH-BS	0	0	0
PM0000053	BH-PC	253923	0	0
PM0000054	BH-PC	257356	0	72064
PM0000121	BH-BS	0	0	942825
PM0000121	BH-PC	1123398	0	141421
PM0000058	BH-BS	0	0	0
PM0000058	BH-PC	105233	0	0
PM0000535	BH-PC	75704	0	0
PM0000046	BH-PC	78599	0	0
PM0000824	BH-PC	219592	0	0
PM0000887	BH-BS	0	0	0
PM0000887	BH-PC	30	0	0
PM0000085	BH-BS	0	0	36000
PM0000085	BH-PC	808971	0	0
PM0000235	BH-BS	0	0	90000
PM0000235	BH-PC	977468	0	0
PM0000078	BH-BS	0	0	0
PM0000078	BH-PC	140356	0	0
PM0000080	BH-PC	55880	0	0
PM0000825	BH-PC	13331.8	0	0
PM0000003	BH-BS	0	0	0
PM0000013	BH-PC	66006.25	0	0
PM0000082	BH-PC	17982.25	0	0
PM0000076	BH-PC	41331	0	0
PM0000075	BH-BS	0	0	0
RM0000001	BH-PC	1212438.75	0	1974.77
FG0000008	BH-PF	2988	0	55880
PM0000073	BH-PC	483	0	0
FG0000328	BH-PF	63	0	63
PM0000469	BH-PM	5053	0	95939
RM0000003	BH-PC	1384340.59	0	0
FG0000379	BH-PF	80873	0	219592
RM0000011	BH-PC	712692	0	0
PM0000425	BH-PC	492528	0	0
PM0000426	BH-PC	492528	0	0
FG0000142	BH-PF	142144	0	492528
FG0000032	GP-FG	47763	4000	4000
FG0000193	GP-FG	907	0	0
FG0000028	GP-FG	158807	7040	9760
FG0000005	BH-PF	513	0	147945
FG0000005	GP-FG	109540	8335	11987
PM0000884	BH-PM	955	0	2818
PM0000884	BH-BS	0	0	0
PM0000469	BH-BS	0	0	10630
PM0000891	BH-PM	0	0	7437.68
PM0000891	BH-BS	0	0	0
RM0000003	BH-GJ	42813.14	0	1942668.61
RM0000003	BH-LO	749746	0	64185
PM0000426	BH-BS	0	0	0
PM0000425	BH-BS	0	0	0
PM0000428	BH-BS	0	0	0
PM0000428	BH-PC	39239	0	0
PM0000427	BH-BS	0	0	0
PM0000427	BH-PC	39239	0	0
PM0000884	BH-PC	679.18	0	0
PM0000469	BH-PC	105518	0	0
PM0000891	BH-PC	3072.03	0	0
PM0000868	BH-PC	210	0	0
PM0000660	BH-PC	312.08	0	0
PM0000629	BH-PC	35461	0	0
FG0000367	BH-PF	218	0	210
FG0000447	BH-PF	2	0	2
RM0000025	BH-PC	891366.79	0	5500
PM0000466	BH-PC	16634	0	0
FG0000316	BH-PF	17397	0	17434
FG0000136	GP-FG	18200	0	0
FG0000011	GP-FG	24828	0	440
SF0000001	GP-FG	3430	0	0
SF0000001	BH-PF	0	0	0
FG0000317	GP-FG	2865	0	0
