rank,code,name,group,rs_per_litre_oil,sell_price,material_cost,contribution,oil_litres_per_bottle,need,can_make
1,FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,CANOLA,171.34,903.98,410.88,493.10,2.878,1149,0
2,FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,CANOLA,143.93,1100.46,548.16,552.30,3.837,583,0
3,FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,CANOLA,132.35,1056.01,548.16,507.85,3.837,955,0
4,FG0000414,COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS,CANOLA,115.13,1229.34,677.14,552.20,4.797,47,0
5,FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,CANOLA,107.48,1192.43,676.90,515.53,4.797,300,0
6,FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,CANOLA,85.67,1223.38,755.14,468.23,5.466,559,0
7,FG0000013,REFINED OIL 1000 MLS,CANOLA,85.55,4347.63,2706.27,1641.37,19.186,154,0
8,FG0000016,REFINED OIL 2 LTR,CANOLA,83.37,4310.94,2711.42,1599.51,19.186,321,0
9,FG0000020,REFINED OIL 5 LTR,CANOLA,74.36,4137.54,2710.78,1426.77,19.186,348,0
10,FG0000383,REFINED OIL 13 KG,CANOLA,60.99,2714.29,1878.16,836.13,13.708,116,0
11,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,CANOLA,47.11,171.16,125.97,45.19,0.959,2049,0
12,FG0000373,EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS,CANOLA,41.20,510.00,390.23,119.77,2.907,771,0
13,FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,CANOLA,36.92,340.00,269.17,70.83,1.919,5605,0
14,FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,CANOLA,32.96,935.11,754.99,180.12,5.464,252,0
15,FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,MUSTARD,29.42,175.21,145.79,29.42,1.000,21269,21268
16,FG0000035,COLD PRESS 500 MLS 24 PCS,CANOLA,28.17,85.00,71.49,13.51,0.480,13216,0
17,FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,SUNFLOWER,28.00,170.00,142.00,27.99,1.000,6890,0
18,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,GROUNDNUT,26.04,869.76,743.54,126.22,4.848,22204,0
19,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,GROUNDNUT,26.00,173.60,148.40,25.21,0.970,154024,0
20,FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,MUSTARD,24.32,170.00,145.68,24.32,1.000,4905,4905
21,FG0000130,COLD PRESS SUNFLOWER 200 LTR 1 PCS,SUNFLOWER,20.58,33238.10,29122.18,4115.92,199.996,5,0
22,FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,GROUNDNUT,19.79,87.49,77.90,9.59,0.485,4936,0
23,FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,GROUNDNUT,19.54,340.00,302.11,37.89,1.939,11029,0
24,FG0000032,COLD PRESS 1 LTR 20 PCS,CANOLA,19.15,152.31,133.94,18.37,0.959,92569,0
25,FG0000243,SANO MUSTARD OIL 869 GMS 20 PCS,MUSTARD,14.94,152.79,138.54,14.25,0.954,2077,2077
26,FG0000022,COLD PRESS 2 LTR 10 PCS,CANOLA,13.99,295.24,268.40,26.84,1.919,2,0
27,FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,GROUNDNUT,11.98,34.49,32.17,2.32,0.194,102152,0
28,FG0000176,COLD PRESS 4 LTR + POMACE OLIVE 1 LTR 5 PCS,CANOLA,11.37,590.48,546.86,43.61,3.837,8,0
29,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,SUNFLOWER,8.38,154.61,146.23,8.38,1.000,264608,0
30,FG0000178,MUSTARD KACHI GHANI 15 KGS,MUSTARD,3.51,2520.86,2463.01,57.85,16.480,495,495
31,FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,MUSTARD,2.79,823.13,809.20,13.93,5.000,3439,3438
32,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,MUSTARD,0.92,151.62,150.70,0.92,1.000,458583,412399
33,FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,MUSTARD,0.68,144.93,144.28,0.65,0.955,37694,20880
34,FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),MUSTARD,-1.82,2979.00,3015.35,-36.35,20.000,546,467
35,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,MUSTARD,-2.17,762.45,773.32,-10.87,5.000,31766,25760
36,FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,MUSTARD,-2.67,148.04,150.71,-2.67,1.000,55602,0
37,FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,MUSTARD,-3.25,297.80,304.30,-6.50,2.000,3028,3028
38,FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),MUSTARD,-5.78,2979.04,3094.69,-115.65,20.000,517,399
39,FG0000449,MUSTARD KACHI GHANI 200 ML 70 PCS,MUSTARD,-9.72,31.42,33.36,-1.94,0.200,15830,7014
40,FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,MUSTARD,-12.11,134.10,146.21,-12.11,1.000,58016,0
41,FG0000026,MUSTARD KACCHI GHANI 15 LTR,MUSTARD,-13.97,2034.82,2244.40,-209.57,15.000,372,350
42,FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,SUNFLOWER,-41.74,531.93,740.63,-208.70,5.000,11400,0
