rank,code,name,group,rs_per_litre_oil,sell_price,material_cost,contribution,oil_litres_per_bottle,need,can_make
1,FG0000381,EXTRA VIRGIN OLIVE OIL 10ML,OLIVE,1567.08,14.25,3.79,10.46,0.007,1330,0
2,FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),OLIVE,1403.96,12269.76,997.09,11272.67,8.029,21,0
3,FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),OLIVE,1115.75,13409.44,1464.65,11944.79,10.706,31,0
4,FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,OLIVE,736.65,288.06,41.54,246.52,0.335,460,0
5,FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),OLIVE,634.83,8179.84,1398.48,6781.36,10.682,43,0
6,FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,OLIVE,505.81,2079.10,386.93,1692.18,3.346,781,0
7,FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),OLIVE,432.74,6034.24,1401.44,4632.80,10.706,33,0
8,FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,OLIVE,408.11,700.64,155.70,544.94,1.335,480,0
9,FG0000434,EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET,OLIVE,385.42,700.00,184.23,515.77,1.338,192,0
10,FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,OLIVE,365.31,661.86,174.07,487.79,1.335,12401,0
11,FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,OLIVE,346.36,323.31,91.49,231.82,0.669,2455,0
12,FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,COCONUT,326.47,501.94,12.23,489.71,1.500,5006,0
13,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,OLIVE,296.48,1459.28,467.61,991.68,3.345,9781,0
14,FG0000152,SANO OLIVE CLASSIC 5 LTR TIN 4 PCS,OLIVE,257.71,1250.00,389.72,860.28,3.338,378,0
15,FG0000367,SANO POMACE OLIVE OIL 15 L,OLIVE,256.28,3816.84,1245.22,2571.62,10.035,55,0
16,FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,OLIVE,241.24,501.04,178.28,322.76,1.338,5152,0
17,FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,OLIVE,236.61,48721.93,17059.22,31662.72,133.820,13,0
18,FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),COCONUT,235.14,5840.00,196.76,5643.24,24.000,94,0
19,FG0000028,POMACE OLIVE 1 LTR 16 PCS,OLIVE,215.27,231.52,87.49,144.04,0.669,65977,0
20,FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,OLIVE,206.98,225.51,87.33,138.18,0.668,20385,0
21,FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,OLIVE,192.73,219.04,90.37,128.67,0.668,1896,0
22,FG0000221,JIVO HONEY 500 GMS,HONEY,189.78,190.48,0.70,189.78,1.000,1,0
23,FG0000447,EXTRA LIGHT OLIVE 15 LTR,OLIVE,175.80,3000.00,1239.44,1760.56,10.014,1,0
24,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,OLIVE,172.71,203.02,87.49,115.54,0.669,26776,0
25,FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,OLIVE,172.08,40000.00,17022.34,22977.66,133.527,35,0
26,FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,CANOLA,171.32,903.98,410.93,493.05,2.878,1149,0
27,FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,CANOLA,143.91,1100.46,548.22,552.23,3.837,583,0
28,FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,CANOLA,132.33,1056.01,548.22,507.78,3.837,955,0
29,FG0000414,COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS,CANOLA,115.11,1229.34,677.22,552.12,4.797,47,0
30,FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,CANOLA,107.46,1192.43,676.98,515.44,4.797,300,0
31,FG0000224,JIVO RICE 1 KGS 4 PCS,RICE,95.10,95.24,0.14,95.10,1.000,3,0
32,FG0000386,CHAI 250 GMS 40 PCS,TEA,94.68,94.68,0.00,94.68,1.000,1725,1724
33,FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,CANOLA,85.65,1223.38,755.23,468.14,5.466,559,0
34,FG0000013,REFINED OIL 1000 MLS,CANOLA,85.53,4347.63,2706.60,1641.04,19.186,154,0
35,FG0000232,SO OLIVE OIL 5 LTR 4 PCS,BLENDED,84.75,850.11,484.97,365.15,4.309,3354,0
36,FG0000016,REFINED OIL 2 LTR,CANOLA,83.35,4310.94,2711.75,1599.18,19.186,321,0
37,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,OLIVE,77.68,727.12,467.28,259.84,3.345,19194,0
38,FG0000228,SO OLIVE OIL 1 LTR 16 PCS,BLENDED,74.92,169.95,105.40,64.56,0.862,16745,0
39,FG0000020,REFINED OIL 5 LTR,CANOLA,74.35,4137.54,2711.11,1426.44,19.186,348,0
40,FG0000318,KIRPA DESI GHEE 1 LTR 12 PCS,GHEE,67.05,519.48,452.43,67.05,1.000,183,183
41,FG0000383,REFINED OIL 13 KG,CANOLA,60.98,2714.29,1878.40,835.89,13.708,116,0
42,FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,OLIVE,56.42,654.55,466.22,188.33,3.338,3845,0
43,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,CANOLA,47.09,171.16,125.99,45.17,0.959,2049,0
44,FG0000324,SESAME OIL 1 LTR 20 PCS,SESAME,43.70,251.01,207.32,43.70,1.000,19964,3039
45,FG0000373,EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS,CANOLA,41.19,510.00,390.28,119.72,2.907,771,0
46,FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,CANOLA,36.90,340.00,269.20,70.80,1.919,5605,0
47,FG0000004,COLD PRESS 5 LTR 4 PCS,CANOLA,34.77,846.11,679.32,166.78,4.797,893,0
48,FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,CANOLA,32.95,935.11,755.08,180.03,5.464,252,0
49,FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,MUSTARD,29.42,175.21,145.79,29.42,1.000,21269,21268
50,FG0000035,COLD PRESS 500 MLS 24 PCS,CANOLA,28.16,85.00,71.49,13.51,0.480,13216,0
51,FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,SUNFLOWER,27.97,170.00,142.03,27.97,1.000,6890,0
52,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,GROUNDNUT,26.13,173.74,148.41,25.33,0.970,139896,0
53,FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,GROUNDNUT,26.02,869.76,743.60,126.17,4.848,22204,0
54,FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,MUSTARD,24.32,170.00,145.68,24.32,1.000,4905,4905
55,FG0000130,COLD PRESS SUNFLOWER 200 LTR 1 PCS,SUNFLOWER,20.56,33238.10,29126.89,4111.20,199.996,5,0
56,FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,GROUNDNUT,19.78,87.49,77.91,9.59,0.485,4936,0
57,FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,GROUNDNUT,19.53,340.00,302.14,37.86,1.939,11029,0
58,FG0000032,COLD PRESS 1 LTR 20 PCS,CANOLA,19.13,152.31,133.96,18.35,0.959,94769,0
59,FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,SOYABEAN,18.53,157.84,139.31,18.53,1.000,20918,20918
60,FG0000243,SANO MUSTARD OIL 869 GMS 20 PCS,MUSTARD,14.94,152.79,138.54,14.25,0.954,2077,2077
61,FG0000022,COLD PRESS 2 LTR 10 PCS,CANOLA,13.97,295.24,268.43,26.80,1.919,2,0
62,FG0000389,JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE,BLENDED,12.18,150.18,138.17,12.01,0.987,7760,0
63,FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,GROUNDNUT,11.97,34.49,32.17,2.32,0.194,102152,0
64,FG0000176,COLD PRESS 4 LTR + POMACE OLIVE 1 LTR 5 PCS,CANOLA,11.35,590.48,546.93,43.55,3.837,8,0
65,FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,SOYABEAN,9.18,115.19,108.13,7.06,0.769,64019,64019
66,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,SUNFLOWER,8.36,154.61,146.25,8.36,1.000,264608,0
67,FG0000226,RICE BRAN OIL 5 LTR 4 PCS,RICE BRAN,5.93,762.34,732.71,29.63,5.000,2924,2924
68,FG0000169,REFINED COTTON SEED OIL 13 KGS,COTTON SEED,3.69,2082.75,2030.01,52.74,14.290,212,211
69,FG0000178,MUSTARD KACHI GHANI 15 KGS,MUSTARD,3.51,2520.86,2463.01,57.85,16.480,495,495
70,FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,MUSTARD,2.79,823.13,809.20,13.93,5.000,3439,3438
71,FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,SOYABEAN,2.54,117.65,115.56,2.09,0.824,45725,45725
72,FG0000149,JIVO GOLD 1 LTR 20 PCS,BLENDED,2.47,144.60,142.16,2.44,0.987,50365,0
