code,sku,plan_pieces,fg_onhand,wip,net_required,makeable_stock_only,makeable_with_po,binding_component,binding_component_name,root_binding_component,root_binding_component_name,shortfall_pieces,plan_litres_at_risk,plan_litres,litres_per_piece,makeable_litres_with_po,makeable_litres_stock_only,binding_stock_only,wip_stale_pieces,note
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,380000,4074,11776,364150,3847,3847,RM0000011,GROUNDNUT LOOSE OIL,RM0000011,GROUNDNUT LOOSE OIL,360302,360302.0,380000.0,1.0,3848.0,3848.0,RM0000011,11776,
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,270000,2735,920,266345,9931,9931,RM0000009,REFINED SUNFLOWER OIL,RM0000009,REFINED SUNFLOWER OIL,256414,256413.5,270000.0,1.0,9931.5,9931.5,RM0000009,920,
FG0000004,COLD PRESS 5 LTR 4 PCS,45000,3324,4744,36932,2307,3156,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,33776,168878.9,225000.0,5.0,15781.1,11535.0,PM0000053,4744,
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,370000,1765,15480,352755,86100,202000,PM0000824,LABEL 1 LTR KACHI GHANI FULL,PM0000824,LABEL 1 LTR KACHI GHANI FULL,150755,150755.0,370000.0,1.0,202000.0,86100.0,PM0000825,15480,
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,31000,904,0,30096,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,30096,150480.0,155000.0,5.0,0.0,0.0,RM0000001,0,
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,48000,9923,432,37645,0,12500,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,25145,125725.0,240000.0,5.0,62500.0,0.0,PM0000469,432,
FG0000442,JIVO SOYABEAN OIL 12 KGS,7583,0,0,7583,0,0,PM0000890,LABEL 12 KG REFINED SOYABEAN OIL,PM0000890,LABEL 12 KG REFINED SOYABEAN OIL,7583,99995.5,100000.0,13.1868,0.0,0.0,RM0000025,0,
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,220000,257,18400,201343,16817,102477,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,98865,98865.4,220000.0,1.0,102477.6,16817.4,RM0000003,18400,
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,20000,909,2148,16943,0,0,RM0000011,GROUNDNUT LOOSE OIL,RM0000011,GROUNDNUT LOOSE OIL,16943,84715.0,100000.0,5.0,0.0,0.0,RM0000011,2148,
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,23000,7238,1180,14582,0,0,RM0000009,REFINED SUNFLOWER OIL,RM0000009,REFINED SUNFLOWER OIL,14582,72910.0,115000.0,5.0,0.0,0.0,RM0000009,1180,
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,85000,13975,0,71025,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,71025,71025.0,85000.0,1.0,0.0,0.0,RM0000003,0,
FG0000028,POMACE OLIVE 1 LTR 16 PCS,160000,17178,5767,137055,67849,67914,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,69140,69140.1,160000.0,1.0,67914.9,67849.1,RM0000001,5767,
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,70000,927,176,68897,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,68897,68897.0,70000.0,1.0,0.0,0.0,RM0000001,176,
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,62831,742,0,62089,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,62089,59288.8,60000.0,0.9549,0.0,0.0,RM0000003,0,
