order_ref,date_raised,promised_date,customer,channel,item_code,sku,pieces,value,source_system,open_on_aug01
1726056874,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,44,45301.08,SAP_ORDR_RDR1,Y
1726056875,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,260,54875.60,SAP_ORDR_RDR1,Y
1726056875,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,172,177086.04,SAP_ORDR_RDR1,Y
1726056875,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,60,59974.20,SAP_ORDR_RDR1,Y
1726056875,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,200,41214.00,SAP_ORDR_RDR1,Y
1726056879,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,220,45335.40,SAP_ORDR_RDR1,Y
1726056880,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,68,67971.44,SAP_ORDR_RDR1,Y
1726056881,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,420,88649.40,SAP_ORDR_RDR1,Y
1726056881,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,80,16485.60,SAP_ORDR_RDR1,Y
1726056884,2026-05-28,2026-05-28,INNOVATIVE RETAIL CONCEPTS PVT LTD,E-COMMERCE,FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,76,78248.08,SAP_ORDR_RDR1,Y
